 Total battles: 61951
 Avg. weight/team: 0.014
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Tyranitar          | 62.37316% | 58194  | 46.968% | 49536  | 48.465% | 
 | 2    | Metagross          | 53.57415% | 45295  | 36.557% | 37538  | 36.727% | 
 | 3    | Skarmory           | 39.20075% | 40581  | 32.752% | 37307  | 36.501% | 
 | 4    | Zapdos             | 35.06968% | 30630  | 24.721% | 27980  | 27.375% | 
 | 5    | Suicune            | 32.02597% | 21896  | 17.672% | 18598  | 18.196% | 
 | 6    | Salamence          | 29.92783% | 35392  | 28.565% | 29505  | 28.867% | 
 | 7    | Celebi             | 29.52724% | 26408  | 21.314% | 22769  | 22.277% | 
 | 8    | Blissey            | 29.49426% | 34134  | 27.549% | 28638  | 28.019% | 
 | 9    | Swampert           | 29.28080% | 38397  | 30.990% | 31635  | 30.951% | 
 | 10   | Dugtrio            | 26.47782% | 26210  | 21.154% | 20016  | 19.583% | 
 | 11   | Gengar             | 23.82581% | 36291  | 29.290% | 29143  | 28.513% | 
 | 12   | Starmie            | 23.64367% | 23542  | 19.001% | 19022  | 18.611% | 
 | 13   | Jirachi            | 22.14128% | 18024  | 14.547% | 14760  | 14.441% | 
 | 14   | Snorlax            | 20.40328% | 27000  | 21.791% | 22306  | 21.824% | 
 | 15   | Claydol            | 20.33639% | 15817  | 12.766% | 12924  | 12.645% | 
 | 16   | Magneton           | 15.41879% | 24564  | 19.825% | 18574  | 18.173% | 
 | 17   | Aerodactyl         | 11.25548% | 17801  | 14.367% | 13267  | 12.980% | 
 | 18   | Charizard          |  9.49354% | 11047  |  8.916% | 8830   |  8.639% | 
 | 19   | Milotic            |  6.46917% | 10014  |  8.082% | 8115   |  7.940% | 
 | 20   | Jynx               |  6.13879% | 1919   |  1.549% | 1665   |  1.629% | 
 | 21   | Forretress         |  5.96595% | 8739   |  7.053% | 7632   |  7.467% | 
 | 22   | Heracross          |  5.39248% | 13583  | 10.963% | 10459  | 10.233% | 
 | 23   | Moltres            |  5.29108% | 7671   |  6.191% | 6232   |  6.097% | 
 | 24   | Breloom            |  5.14183% | 11212  |  9.049% | 9139   |  8.941% | 
 | 25   | Jolteon            |  4.51337% | 11727  |  9.465% | 9795   |  9.583% | 
 | 26   | Flygon             |  4.47273% | 9679   |  7.812% | 7904   |  7.733% | 
 | 27   | Kingdra            |  4.06627% | 4102   |  3.311% | 3045   |  2.979% | 
 | 28   | Gyarados           |  4.04106% | 8084   |  6.525% | 6689   |  6.544% | 
 | 29   | Regice             |  3.90593% | 2500   |  2.018% | 2110   |  2.064% | 
 | 30   | Smeargle           |  3.62792% | 2806   |  2.265% | 2339   |  2.288% | 
 | 31   | Raikou             |  2.85976% | 4148   |  3.348% | 3318   |  3.246% | 
 | 32   | Hariyama           |  2.82322% | 5092   |  4.110% | 4571   |  4.472% | 
 | 33   | Porygon2           |  2.73803% | 3777   |  3.048% | 2889   |  2.827% | 
 | 34   | Venusaur           |  1.79354% | 3287   |  2.653% | 2666   |  2.608% | 
 | 35   | Cloyster           |  1.53375% | 5563   |  4.490% | 4892   |  4.786% | 
 | 36   | Machamp            |  1.46563% | 2698   |  2.178% | 2144   |  2.098% | 
 | 37   | Roselia            |  1.41842% | 279    |  0.225% | 242    |  0.237% | 
 | 38   | Ludicolo           |  0.92656% | 3480   |  2.809% | 2781   |  2.721% | 
 | 39   | Weezing            |  0.80376% | 1881   |  1.518% | 1625   |  1.590% | 
 | 40   | Medicham           |  0.72207% | 2789   |  2.251% | 2125   |  2.079% | 
 | 41   | Glalie             |  0.66842% | 1243   |  1.003% | 1174   |  1.149% | 
 | 42   | Registeel          |  0.65182% | 1016   |  0.820% | 803    |  0.786% | 
 | 43   | Camerupt           |  0.64120% | 1223   |  0.987% | 1002   |  0.980% | 
 | 44   | Banette            |  0.57542% | 275    |  0.222% | 225    |  0.220% | 
 | 45   | Rhydon             |  0.50471% | 568    |  0.458% | 437    |  0.428% | 
 | 46   | Marowak            |  0.48461% | 3533   |  2.851% | 2441   |  2.388% | 
 | 47   | Umbreon            |  0.48184% | 1711   |  1.381% | 1404   |  1.374% | 
 | 48   | Regirock           |  0.47126% | 1217   |  0.982% | 1004   |  0.982% | 
 | 49   | Houndoom           |  0.46407% | 4043   |  3.263% | 2918   |  2.855% | 
 | 50   | Blaziken           |  0.45603% | 4400   |  3.551% | 3581   |  3.504% | 
 | 51   | Alakazam           |  0.45550% | 3176   |  2.563% | 2425   |  2.373% | 
 | 52   | Vaporeon           |  0.37868% | 2854   |  2.303% | 2469   |  2.416% | 
 | 53   | Slaking            |  0.32437% | 1511   |  1.220% | 1245   |  1.218% | 
 | 54   | Ninjask            |  0.31356% | 2313   |  1.867% | 2104   |  2.059% | 
 | 55   | Misdreavus         |  0.31161% | 903    |  0.729% | 693    |  0.678% | 
