 Total battles: 24
 Avg. weight/team: 0.523
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Kangaskhan         | 45.15894% | 19     | 39.583% | 18     | 48.869% | 
 | 2    | Hitmontop          | 37.97049% | 19     | 39.583% | 17     | 46.154% | 
 | 3    | Granbull           | 37.03987% | 17     | 35.417% | 12     | 32.579% | 
 | 4    | Hypno              | 32.86886% | 15     | 31.250% | 10     | 27.149% | 
 | 5    | Omastar            | 30.50534% | 13     | 27.083% | 12     | 32.579% | 
 | 6    | Blastoise          | 30.45728% | 16     | 33.333% | 15     | 40.724% | 
 | 7    | Aggron             | 27.95287% | 15     | 31.250% | 14     | 38.009% | 
 | 8    | Xatu               | 26.47015% | 14     | 29.167% | 9      | 24.434% | 
 | 9    | Arcanine           | 24.71249% | 11     | 22.917% | 9      | 24.434% | 
 | 10   | Camerupt           | 24.38379% | 13     | 27.083% | 7      | 19.005% | 
 | 11   | Tentacruel         | 21.04837% | 8      | 16.667% | 4      | 10.860% | 
 | 12   | Haunter            | 17.29034% | 6      | 12.500% | 4      | 10.860% | 
 | 13   | Gligar             | 14.88554% | 7      | 14.583% | 4      | 10.860% | 
 | 14   | Altaria            | 14.46578% | 7      | 14.583% | 6      | 16.290% | 
 | 15   | Ampharos           | 14.00474% | 6      | 12.500% | 5      | 13.575% | 
 | 16   | Scyther            | 12.98306% | 6      | 12.500% | 5      | 13.575% | 
 | 17   | Linoone            | 11.96137% | 6      | 12.500% | 5      | 13.575% | 
 | 18   | Grumpig            | 10.93969% | 6      | 12.500% | 3      |  8.145% | 
 | 19   | Lanturn            | 10.89842% | 5      | 10.417% | 4      | 10.860% | 
 | 20   | Duskull            |  9.45697% | 5      | 10.417% | 3      |  8.145% | 
 | 21   | Clefable           |  9.45697% | 5      | 10.417% | 5      | 13.575% | 
 | 22   | Koffing            |  9.45697% | 5      | 10.417% | 5      | 13.575% | 
 | 23   | Quagsire           |  9.22502% | 4      |  8.333% | 4      | 10.860% | 
 | 24   | Nidoking           |  8.43529% | 5      | 10.417% | 4      | 10.860% | 
 | 25   | Misdreavus         |  7.93297% | 3      |  6.250% | 2      |  5.430% | 
 | 26   | Qwilfish           |  7.74230% | 3      |  6.250% | 3      |  8.145% | 
 | 27   | Cradily            |  6.95257% | 4      |  8.333% | 3      |  8.145% | 
 | 28   | Meganium           |  6.95257% | 4      |  8.333% | 2      |  5.430% | 
 | 29   | Electabuzz         |  6.95257% | 4      |  8.333% | 2      |  5.430% | 
 | 30   | Muk                |  6.49153% | 3      |  6.250% | 0      |  0.000% | 
 | 31   | Shedinja           |  6.25958% | 2      |  4.167% | 1      |  2.715% | 
 | 32   | Cacturne           |  5.46985% | 3      |  6.250% | 2      |  5.430% | 
 | 33   | Primeape           |  5.42857% | 2      |  4.167% | 1      |  2.715% | 
 | 34   | Gorebyss           |  5.00881% | 2      |  4.167% | 2      |  5.430% | 
 | 35   | Walrein            |  4.44816% | 3      |  6.250% | 2      |  5.430% | 
 | 36   | Azumarill          |  3.98712% | 2      |  4.167% | 1      |  2.715% | 
 | 37   | Raichu             |  3.98712% | 2      |  4.167% | 2      |  5.430% | 
 | 38   | Golduck            |  3.98712% | 2      |  4.167% | 2      |  5.430% | 
 | 39   | Vileplume          |  3.56909% | 2      |  4.167% | 1      |  2.715% | 
 | 40   | Banette            |  2.96544% | 2      |  4.167% | 1      |  2.715% | 
 | 41   | Slowking           |  2.96544% | 2      |  4.167% | 1      |  2.715% | 
 | 42   | Absol              |  2.96544% | 2      |  4.167% | 2      |  5.430% | 
 | 43   | Feraligatr         |  2.50440% | 1      |  2.083% | 1      |  2.715% | 
 | 44   | Manectric          |  2.50440% | 1      |  2.083% | 1      |  2.715% | 
 | 45   | Golem              |  1.48272% | 1      |  2.083% | 1      |  2.715% | 
 | 46   | Pinsir             |  1.48272% | 1      |  2.083% | 1      |  2.715% | 
 | 47   | Exploud            |  1.48272% | 1      |  2.083% | 1      |  2.715% | 
 | 48   | Lunatone           |  1.48272% | 1      |  2.083% | 0      |  0.000% | 
 | 49   | Sharpedo           |  1.48272% | 1      |  2.083% | 1      |  2.715% | 
 | 50   | Sneasel            |  1.48272% | 1      |  2.083% | 1      |  2.715% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
