 Total battles: 2332
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 19.68268% | 918    | 19.683% | 634    | 21.352% | 
 | 2    | Aegislash          | 18.48199% | 862    | 18.482% | 564    | 18.994% | 
 | 3    | Amoonguss          | 14.32247% | 668    | 14.322% | 434    | 14.616% | 
 | 4    | Kangaskhan-Mega    | 13.82933% | 645    | 13.829% | 367    | 12.360% | 
 | 5    | Charizard-Mega-Y   | 13.12178% | 612    | 13.122% | 366    | 12.326% | 
 | 6    | Talonflame         | 12.45712% | 581    | 12.457% | 345    | 11.619% | 
 | 7    | Garchomp           | 11.23499% | 524    | 11.235% | 360    | 12.124% | 
 | 8    | Togekiss           | 11.12779% | 519    | 11.128% | 334    | 11.248% | 
 | 9    | Gengar             | 10.63465% | 496    | 10.635% | 284    |  9.564% | 
 | 10   | Heatran            | 10.07719% | 470    | 10.077% | 314    | 10.575% | 
 | 11   | Rotom-Wash         |  9.62693% | 449    |  9.627% | 269    |  9.059% | 
 | 12   | Sylveon            |  8.85506% | 413    |  8.855% | 260    |  8.756% | 
 | 13   | Gengar-Mega        |  8.66209% | 404    |  8.662% | 263    |  8.857% | 
 | 14   | Conkeldurr         |  8.66209% | 404    |  8.662% | 268    |  9.026% | 
 | 15   | Whimsicott         |  8.23328% | 384    |  8.233% | 218    |  7.342% | 
 | 16   | Ferrothorn         |  8.19039% | 382    |  8.190% | 270    |  9.093% | 
 | 17   | Arcanine           |  8.04031% | 375    |  8.040% | 257    |  8.655% | 
 | 18   | Cresselia          |  7.86878% | 367    |  7.869% | 237    |  7.982% | 
 | 19   | Thundurus          |  7.22556% | 337    |  7.226% | 221    |  7.443% | 
 | 20   | Sableye            |  6.96827% | 325    |  6.968% | 246    |  8.285% | 
 | 21   | Tyranitar          |  6.58233% | 307    |  6.582% | 197    |  6.634% | 
 | 22   | Gastrodon          |  6.53945% | 305    |  6.539% | 211    |  7.106% | 
 | 23   | Politoed           |  6.00343% | 280    |  6.003% | 160    |  5.388% | 
 | 24   | Suicune            |  5.96055% | 278    |  5.961% | 168    |  5.658% | 
 | 25   | Greninja           |  5.93911% | 277    |  5.939% | 153    |  5.153% | 
 | 26   | Salamence-Mega     |  5.87479% | 274    |  5.875% | 172    |  5.793% | 
 | 27   | Hydreigon          |  5.81046% | 271    |  5.810% | 195    |  6.567% | 
 | 28   | Azumarill          |  5.74614% | 268    |  5.746% | 174    |  5.860% | 
 | 29   | Weavile            |  5.66038% | 264    |  5.660% | 176    |  5.927% | 
 | 30   | Venusaur           |  5.61750% | 262    |  5.617% | 169    |  5.692% | 
 | 31   | Scrafty            |  5.40309% | 252    |  5.403% | 187    |  6.298% | 
 | 32   | Hitmontop          |  5.36021% | 250    |  5.360% | 173    |  5.826% | 
 | 33   | Keldeo             |  5.25300% | 245    |  5.253% | 158    |  5.321% | 
 | 34   | Breloom            |  5.18868% | 242    |  5.189% | 165    |  5.557% | 
 | 35   | Lucario-Mega       |  4.84563% | 226    |  4.846% | 152    |  5.119% | 
 | 36   | Gardevoir-Mega     |  4.82419% | 225    |  4.824% | 153    |  5.153% | 
 | 37   | Raichu             |  4.71698% | 220    |  4.717% | 146    |  4.917% | 
 | 38   | Charizard-Mega-X   |  4.39537% | 205    |  4.395% | 128    |  4.311% | 
 | 39   | Snorlax            |  4.28816% | 200    |  4.288% | 119    |  4.008% | 
 | 40   | Volcanion          |  4.28816% | 200    |  4.288% | 128    |  4.311% | 
 | 41   | Garchomp-Mega      |  4.03087% | 188    |  4.031% | 134    |  4.513% | 
 | 42   | Ludicolo           |  3.94511% | 184    |  3.945% | 123    |  4.142% | 
 | 43   | Bisharp            |  3.92367% | 183    |  3.924% | 102    |  3.435% | 
 | 44   | Kyurem-Black       |  3.90223% | 182    |  3.902% | 118    |  3.974% | 
 | 45   | Latios             |  3.55918% | 166    |  3.559% | 88     |  2.964% | 
 | 46   | Serperior          |  3.55918% | 166    |  3.559% | 95     |  3.199% | 
 | 47   | Zapdos             |  3.49485% | 163    |  3.495% | 104    |  3.502% | 
 | 48   | Hitmonlee          |  3.43053% | 160    |  3.431% | 91     |  3.065% | 
 | 49   | Sceptile-Mega      |  3.34477% | 156    |  3.345% | 95     |  3.199% | 
 | 50   | Salamence          |  3.32333% | 155    |  3.323% | 99     |  3.334% | 
 | 51   | Metagross-Mega     |  3.21612% | 150    |  3.216% | 112    |  3.772% | 
