 Total battles: 37585
 Avg. weight/team: 0.515
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Rayquaza-Mega      | 44.95555% | 33799  | 44.963% | 16923  | 42.236% | 
 | 2    | Deoxys-Speed       | 38.43559% | 27617  | 36.739% | 15372  | 38.365% | 
 | 3    | Mewtwo-Mega-X      | 26.40129% | 18165  | 24.165% | 9220   | 23.011% | 
 | 4    | Shedinja           | 24.74479% | 20129  | 26.778% | 11017  | 27.496% | 
 | 5    | Gengar-Mega        | 19.95336% | 13884  | 18.470% | 8063   | 20.123% | 
 | 6    | Mewtwo-Mega-Y      | 18.44395% | 13099  | 17.426% | 7266   | 18.134% | 
 | 7    | Groudon-Primal     | 17.16518% | 12532  | 16.672% | 6923   | 17.278% | 
 | 8    | Blissey            | 13.38461% | 9358   | 12.449% | 4642   | 11.585% | 
 | 9    | Giratina           | 12.95530% | 7876   | 10.478% | 4844   | 12.089% | 
 | 10   | Arceus-Electric    | 12.04443% | 8723   | 11.604% | 5242   | 13.083% | 
 | 11   | Arceus             | 11.89192% | 8387   | 11.157% | 4754   | 11.865% | 
 | 12   | Kyogre-Primal      | 11.72186% | 8664   | 11.526% | 4934   | 12.314% | 
 | 13   | Regigigas          | 10.51264% | 6952   |  9.248% | 3687   |  9.202% | 
 | 14   | Manectric-Mega     |  9.85055% | 6651   |  8.848% | 4317   | 10.774% | 
 | 15   | Shuckle            |  9.79806% | 7415   |  9.864% | 4797   | 11.972% | 
 | 16   | Xerneas            |  9.54234% | 6180   |  8.221% | 3683   |  9.192% | 
 | 17   | Gyarados-Mega      |  8.64279% | 5462   |  7.266% | 3566   |  8.900% | 
 | 18   | Sableye-Mega       |  7.88036% | 5291   |  7.039% | 3645   |  9.097% | 
 | 19   | Deoxys-Attack      |  6.99947% | 5030   |  6.691% | 2841   |  7.090% | 
 | 20   | Aegislash          |  6.14164% | 4906   |  6.527% | 2844   |  7.098% | 
 | 21   | Diancie-Mega       |  6.09092% | 3902   |  5.191% | 2580   |  6.439% | 
 | 22   | Deoxys-Defense     |  5.68641% | 4137   |  5.504% | 2670   |  6.664% | 
 | 23   | Scizor-Mega        |  5.62243% | 3587   |  4.772% | 2284   |  5.700% | 
 | 24   | Swampert-Mega      |  5.37100% | 3491   |  4.644% | 2461   |  6.142% | 
 | 25   | Chansey            |  4.96867% | 3224   |  4.289% | 2140   |  5.341% | 
 | 26   | Pikachu            |  4.89229% | 3508   |  4.667% | 1337   |  3.337% | 
 | 27   | Slaking            |  4.79149% | 3575   |  4.756% | 1949   |  4.864% | 
 | 28   | Garchomp-Mega      |  4.39762% | 3252   |  4.326% | 1950   |  4.867% | 
 | 29   | Lucario-Mega       |  4.29580% | 3793   |  5.046% | 2081   |  5.194% | 
 | 30   | Spiritomb          |  4.24132% | 2912   |  3.874% | 1905   |  4.754% | 
 | 31   | Blaziken-Mega      |  4.22585% | 3564   |  4.741% | 1959   |  4.889% | 
 | 32   | Darkrai            |  4.06257% | 3534   |  4.701% | 2104   |  5.251% | 
 | 33   | Audino-Mega        |  3.99397% | 2401   |  3.194% | 1732   |  4.323% | 
 | 34   | Raikou             |  3.64695% | 2714   |  3.610% | 1717   |  4.285% | 
 | 35   | Hoopa-Unbound      |  3.62111% | 2877   |  3.827% | 1597   |  3.986% | 
 | 36   | Electrode          |  3.49098% | 2372   |  3.156% | 1269   |  3.167% | 
 | 37   | Arceus-Ghost       |  3.31487% | 2143   |  2.851% | 1301   |  3.247% | 
 | 38   | Ho-Oh              |  3.00048% | 1930   |  2.568% | 1116   |  2.785% | 
 | 39   | Yveltal            |  2.92719% | 2300   |  3.060% | 1323   |  3.302% | 
 | 40   | Greninja           |  2.85707% | 2524   |  3.358% | 1412   |  3.524% | 
 | 41   | Aerodactyl-Mega    |  2.85217% | 1854   |  2.466% | 1090   |  2.720% | 
 | 42   | Lugia              |  2.84646% | 1869   |  2.486% | 1263   |  3.152% | 
 | 43   | Charizard-Mega-X   |  2.82641% | 2367   |  3.149% | 1312   |  3.274% | 
 | 44   | Gardevoir-Mega     |  2.82528% | 2239   |  2.979% | 1324   |  3.304% | 
 | 45   | Giratina-Origin    |  2.78535% | 2214   |  2.945% | 1231   |  3.072% | 
 | 46   | Dialga             |  2.74846% | 2243   |  2.984% | 1267   |  3.162% | 
 | 47   | Beedrill-Mega      |  2.55590% | 1651   |  2.196% | 1079   |  2.693% | 
 | 48   | Heracross-Mega     |  2.47512% | 1784   |  2.373% | 1104   |  2.755% | 
 | 49   | Arceus-Fairy       |  2.40521% | 1740   |  2.315% | 961    |  2.398% | 
 | 50   | Ninjask            |  2.39485% | 1847   |  2.457% | 1229   |  3.067% | 
 | 51   | Metagross-Mega     |  2.36717% | 1885   |  2.508% | 1089   |  2.718% | 
 | 52   | Aggron-Mega        |  2.30180% | 1916   |  2.549% | 1063   |  2.653% | 
 | 53   | Eelektross         |  2.25840% | 1783   |  2.372% | 1113   |  2.778% | 
 | 54   | Sceptile-Mega      |  2.25110% | 1791   |  2.383% | 994    |  2.481% | 
 | 55   | Slowbro-Mega       |  2.16144% | 1376   |  1.831% | 768    |  1.917% | 
 | 56   | Absol-Mega         |  2.11946% | 1529   |  2.034% | 950    |  2.371% | 
 | 57   | Lopunny-Mega       |  2.04823% | 1494   |  1.987% | 790    |  1.972% | 
 | 58   | Aron               |  1.99079% | 1861   |  2.476% | 825    |  2.059% | 
 | 59   | Tyranitar-Mega     |  1.95681% | 1546   |  2.057% | 926    |  2.311% | 
 | 60   | Kyurem-Black       |  1.92827% | 1496   |  1.990% | 866    |  2.161% | 
 | 61   | Ferrothorn         |  1.91535% | 1496   |  1.990% | 951    |  2.373% | 
 | 62   | Rattata            |  1.88715% | 1988   |  2.645% | 680    |  1.697% | 
 | 63   | Mew                |  1.77578% | 1368   |  1.820% | 788    |  1.967% | 
 | 64   | Alakazam-Mega      |  1.71058% | 1319   |  1.755% | 695    |  1.735% | 
 | 65   | Salamence-Mega     |  1.63664% | 1246   |  1.658% | 696    |  1.737% | 
 | 66   | Kyurem-White       |  1.62288% | 1308   |  1.740% | 792    |  1.977% | 
 | 67   | Ditto              |  1.62000% | 1354   |  1.801% | 651    |  1.625% | 
 | 68   | Genesect           |  1.58545% | 1295   |  1.723% | 679    |  1.695% | 
 | 69   | Palkia             |  1.58011% | 1267   |  1.686% | 689    |  1.720% | 
 | 70   | Latios-Mega        |  1.54748% | 1059   |  1.409% | 578    |  1.443% | 
 | 71   | Charizard-Mega-Y   |  1.38061% | 1177   |  1.566% | 625    |  1.560% | 
 | 72   | Gallade-Mega       |  1.35856% | 1032   |  1.373% | 574    |  1.433% | 
 | 73   | Zekrom             |  1.27385% | 1100   |  1.463% | 606    |  1.512% | 
 | 74   | Arceus-Steel       |  1.25777% | 926    |  1.232% | 528    |  1.318% | 
 | 75   | Arceus-Dark        |  1.20906% | 871    |  1.159% | 484    |  1.208% | 
 | 76   | Drapion            |  1.11904% | 748    |  0.995% | 514    |  1.283% | 
 | 77   | Electivire         |  1.09825% | 867    |  1.153% | 523    |  1.305% | 
 | 78   | Kangaskhan-Mega    |  1.07931% | 884    |  1.176% | 591    |  1.475% | 
 | 79   | Bidoof             |  1.05083% | 912    |  1.213% | 398    |  0.993% | 
 | 80   | Jirachi            |  1.04063% | 852    |  1.133% | 476    |  1.188% | 
 | 81   | Arceus-Dragon      |  1.03947% | 830    |  1.104% | 411    |  1.026% | 
 | 82   | Reshiram           |  1.03741% | 786    |  1.046% | 447    |  1.116% | 
 | 83   | Magikarp           |  1.01782% | 830    |  1.104% | 389    |  0.971% | 
 | 84   | Snorlax            |  1.01416% | 986    |  1.312% | 468    |  1.168% | 
 | 85   | Banette-Mega       |  0.97131% | 679    |  0.903% | 402    |  1.003% | 
 | 86   | Steelix-Mega       |  0.96316% | 773    |  1.028% | 551    |  1.375% | 
 | 87   | Blastoise-Mega     |  0.94325% | 756    |  1.006% | 443    |  1.106% | 
 | 88   | Raichu             |  0.93938% | 674    |  0.897% | 425    |  1.061% | 
 | 89   | Venusaur-Mega      |  0.91808% | 710    |  0.945% | 455    |  1.136% | 
