 Total battles: 14775
 Avg. weight/team: 0.511
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon-Primal     | 22.80017% | 6363   | 21.533% | 4807   | 22.562% | 
 | 2    | Greninja-Ash       | 18.08177% | 5642   | 19.093% | 4258   | 19.985% | 
 | 3    | Kyogre-Primal      | 15.65791% | 4592   | 15.540% | 3299   | 15.484% | 
 | 4    | Zygarde            | 14.83006% | 3963   | 13.411% | 2802   | 13.151% | 
 | 5    | Charizard-Mega-X   | 13.15068% | 4220   | 14.281% | 3128   | 14.681% | 
 | 6    | Mewtwo-Mega-Y      | 11.16088% | 3310   | 11.201% | 2360   | 11.077% | 
 | 7    | Xerneas            | 10.02454% | 2684   |  9.083% | 1868   |  8.768% | 
 | 8    | Lucario-Mega       |  9.98465% | 3169   | 10.724% | 2334   | 10.955% | 
 | 9    | Blaziken-Mega      |  9.38849% | 2885   |  9.763% | 2137   | 10.030% | 
 | 10   | Necrozma-Dusk-Mane |  9.26289% | 2664   |  9.015% | 1759   |  8.256% | 
 | 11   | Rayquaza           |  8.84508% | 2742   |  9.279% | 1959   |  9.195% | 
 | 12   | Kartana            |  8.69379% | 2304   |  7.797% | 1540   |  7.228% | 
 | 13   | Garchomp-Mega      |  8.28510% | 2662   |  9.008% | 1842   |  8.646% | 
 | 14   | Marshadow          |  7.93539% | 2238   |  7.574% | 1598   |  7.500% | 
 | 15   | Zeraora            |  7.48654% | 1999   |  6.765% | 1432   |  6.721% | 
 | 16   | Metagross-Mega     |  7.21229% | 2167   |  7.333% | 1557   |  7.308% | 
 | 17   | Charizard-Mega-Y   |  6.66752% | 2004   |  6.782% | 1460   |  6.853% | 
 | 18   | Entei              |  6.66553% | 1593   |  5.391% | 1138   |  5.341% | 
 | 19   | Blissey            |  6.57373% | 1633   |  5.526% | 1223   |  5.740% | 
 | 20   | Volcarona          |  6.45277% | 1722   |  5.827% | 1143   |  5.365% | 
 | 21   | Magearna           |  6.30681% | 1526   |  5.164% | 1036   |  4.863% | 
 | 22   | Sceptile-Mega      |  5.85705% | 1966   |  6.653% | 1356   |  6.364% | 
 | 23   | Toxapex            |  5.69764% | 1525   |  5.161% | 1198   |  5.623% | 
 | 24   | Gardevoir-Mega     |  5.45671% | 1718   |  5.814% | 1169   |  5.487% | 
 | 25   | Salamence-Mega     |  5.38089% | 1535   |  5.195% | 1004   |  4.712% | 
 | 26   | Garchomp           |  5.26940% | 1467   |  4.964% | 1090   |  5.116% | 
 | 27   | Mewtwo-Mega-X      |  5.01674% | 1604   |  5.428% | 1177   |  5.524% | 
 | 28   | Arceus             |  4.93289% | 1362   |  4.609% | 893    |  4.191% | 
 | 29   | Gliscor            |  4.88245% | 1459   |  4.937% | 1119   |  5.252% | 
 | 30   | Swampert-Mega      |  4.80231% | 1520   |  5.144% | 1201   |  5.637% | 
 | 31   | Yveltal            |  4.79463% | 1369   |  4.633% | 991    |  4.651% | 
 | 32   | Diancie-Mega       |  4.71210% | 1410   |  4.772% | 1025   |  4.811% | 
 | 33   | Ferrothorn         |  4.64906% | 1313   |  4.443% | 1077   |  5.055% | 
 | 34   | Darkrai            |  4.48291% | 1367   |  4.626% | 1021   |  4.792% | 
 | 35   | Tyranitar-Mega     |  4.45636% | 1376   |  4.657% | 1051   |  4.933% | 
 | 36   | Gyarados-Mega      |  4.28671% | 1311   |  4.437% | 965    |  4.529% | 
 | 37   | Greninja           |  4.18337% | 1215   |  4.112% | 878    |  4.121% | 
 | 38   | Serperior          |  4.18005% | 1175   |  3.976% | 817    |  3.835% | 
 | 39   | Venusaur-Mega      |  4.12993% | 1322   |  4.474% | 946    |  4.440% | 
 | 40   | Aegislash          |  4.07897% | 1200   |  4.061% | 853    |  4.004% | 
 | 41   | Gengar             |  3.90074% | 1172   |  3.966% | 875    |  4.107% | 
 | 42   | Lunala             |  3.87778% | 994    |  3.364% | 678    |  3.182% | 
 | 43   | Tapu Koko          |  3.69483% | 1090   |  3.689% | 825    |  3.872% | 
 | 44   | Mimikyu            |  3.66965% | 1141   |  3.861% | 887    |  4.163% | 
 | 45   | Scizor-Mega        |  3.32302% | 1024   |  3.465% | 759    |  3.562% | 
 | 46   | Alakazam-Mega      |  3.12862% | 1006   |  3.404% | 734    |  3.445% | 
 | 47   | Necrozma-Dawn-Wings |  2.98976% | 922    |  3.120% | 611    |  2.868% | 
 | 48   | Mew                |  2.88867% | 767    |  2.596% | 585    |  2.746% | 
 | 49   | Victini            |  2.84521% | 806    |  2.728% | 603    |  2.830% | 
 | 50   | Milotic            |  2.82864% | 818    |  2.768% | 568    |  2.666% | 
 | 51   | Gallade-Mega       |  2.82798% | 933    |  3.157% | 688    |  3.229% | 
 | 52   | Lopunny-Mega       |  2.73292% | 817    |  2.765% | 623    |  2.924% | 
 | 53   | Heatran            |  2.73194% | 751    |  2.541% | 522    |  2.450% | 
 | 54   | Landorus           |  2.69653% | 619    |  2.095% | 387    |  1.816% | 
 | 55   | Azumarill          |  2.67860% | 860    |  2.910% | 662    |  3.107% | 
 | 56   | Celesteela         |  2.63151% | 745    |  2.521% | 555    |  2.605% | 
 | 57   | Mawile-Mega        |  2.62653% | 746    |  2.525% | 575    |  2.699% | 
 | 58   | Excadrill          |  2.59239% | 714    |  2.416% | 523    |  2.455% | 
 | 59   | Mandibuzz          |  2.52740% | 585    |  1.980% | 502    |  2.356% | 
 | 60   | Kangaskhan-Mega    |  2.51930% | 760    |  2.572% | 567    |  2.661% | 
 | 61   | Buzzwole           |  2.48087% | 626    |  2.118% | 388    |  1.821% | 
 | 62   | Infernape          |  2.43669% | 781    |  2.643% | 556    |  2.610% | 
 | 63   | Dragonite          |  2.43627% | 796    |  2.694% | 575    |  2.699% | 
 | 64   | Blacephalon        |  2.43211% | 680    |  2.301% | 460    |  2.159% | 
 | 65   | Kommo-o            |  2.39729% | 803    |  2.717% | 599    |  2.811% | 
 | 66   | Pikachu            |  2.37834% | 800    |  2.707% | 622    |  2.919% | 
 | 67   | Landorus-Therian   |  2.34109% | 649    |  2.196% | 483    |  2.267% | 
 | 68   | Kyurem-Black       |  2.32057% | 749    |  2.535% | 507    |  2.380% | 
 | 69   | Lugia              |  2.29475% | 601    |  2.034% | 412    |  1.934% | 
 | 70   | Hoopa-Unbound      |  2.28737% | 713    |  2.413% | 502    |  2.356% | 
 | 71   | Breloom            |  2.23720% | 657    |  2.223% | 462    |  2.168% | 
 | 72   | Shuckle            |  2.21046% | 644    |  2.179% | 571    |  2.680% | 
 | 73   | Golisopod          |  2.16637% | 539    |  1.824% | 413    |  1.938% | 
 | 74   | Stakataka          |  2.09093% | 562    |  1.902% | 335    |  1.572% | 
 | 75   | Latios-Mega        |  2.04164% | 638    |  2.159% | 446    |  2.093% | 
 | 76   | Togekiss           |  2.02768% | 620    |  2.098% | 482    |  2.262% | 
 | 77   | Beedrill-Mega      |  2.01372% | 598    |  2.024% | 415    |  1.948% | 
 | 78   | Tyranitar          |  1.98834% | 573    |  1.939% | 433    |  2.032% | 
 | 79   | Naganadel          |  1.97768% | 588    |  1.990% | 390    |  1.830% | 
 | 80   | Tapu Lele          |  1.95559% | 522    |  1.766% | 372    |  1.746% | 
 | 81   | Snorlax            |  1.94427% | 571    |  1.932% | 434    |  2.037% | 
 | 82   | Shedinja           |  1.93585% | 587    |  1.986% | 443    |  2.079% | 
 | 83   | Noivern            |  1.93011% | 553    |  1.871% | 434    |  2.037% | 
 | 84   | Manaphy            |  1.89327% | 530    |  1.794% | 376    |  1.765% | 
 | 85   | Blastoise-Mega     |  1.87824% | 610    |  2.064% | 458    |  2.150% | 
 | 86   | Sableye-Mega       |  1.82492% | 550    |  1.861% | 407    |  1.910% | 
 | 87   | Decidueye          |  1.80900% | 570    |  1.929% | 435    |  2.042% | 
 | 88   | Weavile            |  1.73819% | 481    |  1.628% | 372    |  1.746% | 
 | 89   | Smeargle           |  1.71483% | 478    |  1.618% | 403    |  1.892% | 
 | 90   | Gardevoir          |  1.66401% | 469    |  1.587% | 333    |  1.563% | 
 | 91   | Salamence          |  1.66319% | 458    |  1.550% | 355    |  1.666% | 
 | 92   | Ditto              |  1.64621% | 460    |  1.557% | 301    |  1.413% | 
 | 93   | Aggron-Mega        |  1.64578% | 534    |  1.807% | 397    |  1.863% | 
 | 94   | Mamoswine          |  1.63670% | 414    |  1.401% | 351    |  1.647% | 
 | 95   | Hawlucha           |  1.62406% | 521    |  1.763% | 396    |  1.859% | 
 | 96   | Klefki             |  1.62137% | 421    |  1.425% | 380    |  1.784% | 
 | 97   | Gyarados           |  1.58879% | 436    |  1.475% | 327    |  1.535% | 
 | 98   | Pheromosa          |  1.58071% | 466    |  1.577% | 308    |  1.446% | 
 | 99   | Altaria-Mega       |  1.54220% | 476    |  1.611% | 354    |  1.662% | 
 | 100  | Hydreigon          |  1.53726% | 451    |  1.526% | 319    |  1.497% | 
 | 101  | Skarmory           |  1.52460% | 401    |  1.357% | 312    |  1.464% | 
 | 102  | Chansey            |  1.51499% | 452    |  1.530% | 322    |  1.511% | 
 | 103  | Giratina-Origin    |  1.49975% | 469    |  1.587% | 334    |  1.568% | 
 | 104  | Talonflame         |  1.49592% | 445    |  1.506% | 354    |  1.662% | 
 | 105  | Arceus-Fairy       |  1.49419% | 408    |  1.381% | 286    |  1.342% | 
 | 106  | Cloyster           |  1.48421% | 425    |  1.438% | 297    |  1.394% | 
 | 107  | Dialga             |  1.48335% | 462    |  1.563% | 309    |  1.450% | 
 | 108  | Incineroar         |  1.47920% | 478    |  1.618% | 369    |  1.732% | 
 | 109  | Ho-Oh              |  1.43083% | 423    |  1.431% | 311    |  1.460% | 
 | 110  | Latias-Mega        |  1.40593% | 438    |  1.482% | 291    |  1.366% | 
 | 111  | Primarina          |  1.39626% | 420    |  1.421% | 311    |  1.460% | 
 | 112  | Zekrom             |  1.38074% | 430    |  1.455% | 273    |  1.281% | 
 | 113  | Solgaleo           |  1.31476% | 432    |  1.462% | 301    |  1.413% | 
 | 114  | Deoxys-Defense     |  1.29597% | 351    |  1.188% | 281    |  1.319% | 
 | 115  | Zapdos             |  1.27903% | 398    |  1.347% | 301    |  1.413% | 
 | 116  | Lucario            |  1.27550% | 390    |  1.320% | 290    |  1.361% | 
 | 117  | Zoroark            |  1.23491% | 409    |  1.384% | 209    |  0.981% | 
 | 118  | Clefable           |  1.22889% | 367    |  1.242% | 285    |  1.338% | 
 | 119  | Kyurem-White       |  1.22131% | 376    |  1.272% | 263    |  1.234% | 
 | 120  | Genesect           |  1.20525% | 327    |  1.107% | 222    |  1.042% | 
 | 121  | Kyogre             |  1.20033% | 321    |  1.086% | 209    |  0.981% | 
 | 122  | Rotom-Wash         |  1.16795% | 349    |  1.181% | 255    |  1.197% | 
 | 123  | Terrakion          |  1.16697% | 271    |  0.917% | 180    |  0.845% | 
 | 124  | Deoxys-Attack      |  1.16041% | 349    |  1.181% | 227    |  1.065% | 
 | 125  | Manectric-Mega     |  1.15810% | 370    |  1.252% | 291    |  1.366% | 
 | 126  | Cresselia          |  1.15233% | 298    |  1.008% | 236    |  1.108% | 
