 Total battles: 9
 Avg. weight/team: 0.5
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Tangrowth          | 36.18051% | 6      | 33.333% | 5      | 31.250% | 
 | 2    | Togekiss           | 33.33333% | 6      | 33.333% | 6      | 37.500% | 
 | 3    | Heatran            | 29.20136% | 5      | 27.778% | 5      | 31.250% | 
 | 4    | Gliscor            | 25.06940% | 4      | 22.222% | 4      | 25.000% | 
 | 5    | Blissey            | 25.06940% | 4      | 22.222% | 4      | 25.000% | 
 | 6    | Rotom-Wash         | 22.22222% | 4      | 22.222% | 4      | 25.000% | 
 | 7    | Scizor             | 22.22222% | 4      | 22.222% | 3      | 18.750% | 
 | 8    | Garchomp           | 20.93743% | 3      | 16.667% | 3      | 18.750% | 
 | 9    | Clefable           | 20.93743% | 3      | 16.667% | 2      | 12.500% | 
 | 10   | Infernape          | 19.37505% | 4      | 22.222% | 4      | 25.000% | 
 | 11   | Shaymin            | 18.09025% | 3      | 16.667% | 2      | 12.500% | 
 | 12   | Salamence          | 18.09025% | 3      | 16.667% | 3      | 18.750% | 
 | 13   | Metagross          | 18.09025% | 3      | 16.667% | 2      | 12.500% | 
 | 14   | Regice             | 18.09025% | 3      | 16.667% | 3      | 18.750% | 
 | 15   | Azumarill          | 18.09025% | 3      | 16.667% | 3      | 18.750% | 
 | 16   | Sharpedo           | 18.09025% | 3      | 16.667% | 3      | 18.750% | 
 | 17   | Weavile            | 15.24308% | 3      | 16.667% | 3      | 18.750% | 
 | 18   | Magnezone          | 15.24308% | 3      | 16.667% | 3      | 18.750% | 
 | 19   | Crawdaunt          | 13.95828% | 2      | 11.111% | 1      |  6.250% | 
 | 20   | Milotic            | 11.11111% | 2      | 11.111% | 2      | 12.500% | 
 | 21   | Machamp            | 11.11111% | 2      | 11.111% | 1      |  6.250% | 
 | 22   | Dusknoir           | 11.11111% | 2      | 11.111% | 2      | 12.500% | 
 | 23   | Mew                | 11.11111% | 2      | 11.111% | 2      | 12.500% | 
 | 24   | Starmie            | 11.11111% | 2      | 11.111% | 2      | 12.500% | 
 | 25   | Latias             | 11.11111% | 2      | 11.111% | 1      |  6.250% | 
 | 26   | Gallade            | 11.11111% | 2      | 11.111% | 1      |  6.250% | 
 | 27   | Alakazam           | 11.11111% | 2      | 11.111% | 1      |  6.250% | 
 | 28   | Moltres            |  8.26394% | 2      | 11.111% | 1      |  6.250% | 
 | 29   | Spiritomb          |  8.26394% | 2      | 11.111% | 2      | 12.500% | 
 | 30   | Lopunny            |  8.26394% | 2      | 11.111% | 1      |  6.250% | 
 | 31   | Skarmory           |  8.26394% | 2      | 11.111% | 2      | 12.500% | 
 | 32   | Roserade           |  8.26394% | 2      | 11.111% | 2      | 12.500% | 
 | 33   | Celebi             |  8.26394% | 2      | 11.111% | 2      | 12.500% | 
 | 34   | Donphan            |  8.26394% | 2      | 11.111% | 2      | 12.500% | 
 | 35   | Dragonite          |  6.97914% | 1      |  5.556% | 1      |  6.250% | 
 | 36   | Tyranitar          |  6.97914% | 1      |  5.556% | 1      |  6.250% | 
 | 37   | Mamoswine          |  6.97914% | 1      |  5.556% | 1      |  6.250% | 
 | 38   | Porygon-Z          |  4.13197% | 1      |  5.556% | 1      |  6.250% | 
 | 39   | Staraptor          |  4.13197% | 1      |  5.556% | 1      |  6.250% | 
 | 40   | Cloyster           |  4.13197% | 1      |  5.556% | 1      |  6.250% | 
 | 41   | Lucario            |  4.13197% | 1      |  5.556% | 1      |  6.250% | 
 | 42   | Heracross          |  4.13197% | 1      |  5.556% | 1      |  6.250% | 
 | 43   | Feraligatr         |  4.13197% | 1      |  5.556% | 1      |  6.250% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
