 Total battles: 2
 Avg. weight/team: 0.5
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Noivern            | 50.00000% | 2      | 50.000% | 2      | 57.143% | 
 | 2    | Togekiss           | 50.00000% | 2      | 50.000% | 2      | 57.143% | 
 | 3    | Cloyster           | 31.40614% | 1      | 25.000% | 1      | 28.571% | 
 | 4    | Registeel          | 31.40614% | 1      | 25.000% | 1      | 28.571% | 
 | 5    | Xurkitree          | 31.40614% | 1      | 25.000% | 1      | 28.571% | 
 | 6    | Lopunny            | 31.40614% | 1      | 25.000% | 1      | 28.571% | 
 | 7    | Polteageist        | 31.40614% | 1      | 25.000% | 0      |  0.000% | 
 | 8    | Metagross          | 31.40614% | 1      | 25.000% | 0      |  0.000% | 
 | 9    | Flygon             | 31.40614% | 1      | 25.000% | 1      | 28.571% | 
 | 10   | Lucario            | 31.40614% | 1      | 25.000% | 0      |  0.000% | 
 | 11   | Golisopod          | 31.40614% | 1      | 25.000% | 1      | 28.571% | 
 | 12   | Tsareena           | 31.40614% | 1      | 25.000% | 1      | 28.571% | 
 | 13   | Klefki             | 18.59386% | 1      | 25.000% | 1      | 28.571% | 
 | 14   | Vaporeon           | 18.59386% | 1      | 25.000% | 1      | 28.571% | 
 | 15   | Raikou             | 18.59386% | 1      | 25.000% | 1      | 28.571% | 
 | 16   | Reuniclus          | 18.59386% | 1      | 25.000% | 1      | 28.571% | 
 | 17   | Mimikyu            | 18.59386% | 1      | 25.000% | 1      | 28.571% | 
 | 18   | Porygon2           | 18.59386% | 1      | 25.000% | 1      | 28.571% | 
 | 19   | Sylveon            | 18.59386% | 1      | 25.000% | 1      | 28.571% | 
 | 20   | Milotic            | 18.59386% | 1      | 25.000% | 1      | 28.571% | 
 | 21   | Blastoise          | 18.59386% | 1      | 25.000% | 1      | 28.571% | 
 | 22   | Rhyperior          | 18.59386% | 1      | 25.000% | 1      | 28.571% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
