 Total battles: 130468
 Avg. weight/team: 0.034
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Sylveon            | 23.65751% | 31029  | 11.636% | 11376  | 26.158% | 
 | 2    | Walking Wake       | 15.01477% | 27605  | 10.352% | 9441   | 21.709% | 
 | 3    | Iron Hands         | 14.10552% | 22791  |  8.547% | 8739   | 20.095% | 
 | 4    | Azumarill          | 12.01676% | 19986  |  7.495% | 6931   | 15.937% | 
 | 5    | Iron Valiant       | 11.87347% | 30520  | 11.445% | 11105  | 25.535% | 
 | 6    | Meowscarada        | 11.29051% | 27059  | 10.147% | 9232   | 21.228% | 
 | 7    | Bellibolt          | 10.74643% | 15849  |  5.943% | 5668   | 13.033% | 
 | 8    | Annihilape         | 10.15206% | 18145  |  6.804% | 6461   | 14.857% | 
 | 9    | Great Tusk         |  9.99431% | 17209  |  6.453% | 5555   | 12.773% | 
 | 10   | Iron Bundle        |  9.67260% | 21552  |  8.082% | 7235   | 16.636% | 
 | 11   | Iron Moth          |  9.30838% | 15686  |  5.882% | 4401   | 10.120% | 
 | 12   | Corviknight        |  9.10052% | 19795  |  7.423% | 5298   | 12.182% | 
 | 13   | Donphan            |  8.80738% | 18434  |  6.913% | 6905   | 15.877% | 
 | 14   | Skeledirge         |  7.94550% | 15487  |  5.808% | 4620   | 10.623% | 
 | 15   | Magnezone          |  7.77501% | 14434  |  5.413% | 4846   | 11.143% | 
 | 16   | Dragapult          |  6.16583% | 20943  |  7.854% | 6895   | 15.854% | 
 | 17   | Espathra           |  5.85280% | 13918  |  5.219% | 4683   | 10.768% | 
 | 18   | Dondozo            |  4.55697% | 9743   |  3.654% | 2950   |  6.783% | 
 | 19   | Avalugg            |  4.42286% | 7160   |  2.685% | 2782   |  6.397% | 
 | 20   | Garchomp           |  4.18012% | 11951  |  4.482% | 3809   |  8.758% | 
 | 21   | Arcanine           |  4.08119% | 7049   |  2.643% | 2174   |  4.999% | 
 | 22   | Talonflame         |  3.82002% | 7040   |  2.640% | 2044   |  4.700% | 
 | 23   | Chien-Pao          |  3.38469% | 10772  |  4.040% | 3380   |  7.772% | 
 | 24   | Volcarona          |  3.31410% | 8014   |  3.005% | 2350   |  5.404% | 
 | 25   | Gardevoir          |  3.24360% | 2933   |  1.100% | 1173   |  2.697% | 
 | 26   | Kingambit          |  3.17445% | 6857   |  2.571% | 2103   |  4.836% | 
 | 27   | Scizor             |  3.13059% | 7456   |  2.796% | 2432   |  5.592% | 
 | 28   | Greninja           |  3.08394% | 16725  |  6.272% | 5567   | 12.801% | 
 | 29   | Sableye            |  2.96534% | 9983   |  3.744% | 3979   |  9.149% | 
 | 30   | Baxcalibur         |  2.85230% | 8685   |  3.257% | 3023   |  6.951% | 
 | 31   | Armarouge          |  2.78944% | 7050   |  2.644% | 2440   |  5.611% | 
 | 32   | Iron Leaves        |  2.69256% | 7955   |  2.983% | 2765   |  6.358% | 
 | 33   | Iron Jugulis       |  2.67737% | 3631   |  1.362% | 1235   |  2.840% | 
 | 34   | Iron Treads        |  2.51549% | 4623   |  1.734% | 1323   |  3.042% | 
 | 35   | Zoroark-Hisui      |  2.29068% | 9583   |  3.594% | 3478   |  7.997% | 
 | 36   | Breloom            |  2.23861% | 10325  |  3.872% | 3418   |  7.859% | 
 | 37   | Haxorus            |  2.20112% | 6726   |  2.522% | 2229   |  5.125% | 
 | 38   | Garganacl          |  2.18120% | 11671  |  4.377% | 3745   |  8.611% | 
 | 39   | Ting-Lu            |  2.05264% | 5103   |  1.914% | 1811   |  4.164% | 
 | 40   | Tyranitar          |  2.00769% | 8307   |  3.115% | 2918   |  6.710% | 
 | 41   | Goodra             |  1.96456% | 2965   |  1.112% | 1092   |  2.511% | 
 | 42   | Rotom-Wash         |  1.91286% | 3957   |  1.484% | 1279   |  2.941% | 
 | 43   | Roaring Moon       |  1.90547% | 7948   |  2.981% | 2406   |  5.532% | 
 | 44   | Ceruledge          |  1.83883% | 10224  |  3.834% | 3170   |  7.289% | 
 | 45   | Clodsire           |  1.61486% | 6341   |  2.378% | 2016   |  4.636% | 
 | 46   | Hatterene          |  1.56958% | 5041   |  1.890% | 1849   |  4.252% | 
 | 47   | Torkoal            |  1.56375% | 3550   |  1.331% | 1212   |  2.787% | 
 | 48   | Slaking            |  1.50371% | 7768   |  2.913% | 3272   |  7.524% | 
 | 49   | Sandy Shocks       |  1.48806% | 1658   |  0.622% | 559    |  1.285% | 
 | 50   | Tinkaton           |  1.30627% | 6265   |  2.349% | 2268   |  5.215% | 
 | 51   | Maushold           |  1.27793% | 9553   |  3.582% | 3609   |  8.299% | 
 | 52   | Farigiraf          |  1.06439% | 3109   |  1.166% | 1114   |  2.562% | 
 | 53   | Salazzle           |  0.99879% | 2192   |  0.822% | 803    |  1.846% | 
 | 54   | Charizard          |  0.96363% | 2765   |  1.037% | 1062   |  2.442% | 
 | 55   | Gastrodon          |  0.89177% | 2192   |  0.822% | 760    |  1.748% | 
 | 56   | Gallade            |  0.84646% | 4831   |  1.812% | 2202   |  5.063% | 
 | 57   | Polteageist        |  0.83659% | 1723   |  0.646% | 581    |  1.336% | 
 | 58   | Dragalge           |  0.83336% | 1861   |  0.698% | 582    |  1.338% | 
 | 59   | Ursaring           |  0.78245% | 1658   |  0.622% | 687    |  1.580% | 
 | 60   | Brute Bonnet       |  0.76140% | 1156   |  0.434% | 404    |  0.929% | 
 | 61   | Arboliva           |  0.73718% | 3144   |  1.179% | 1112   |  2.557% | 
 | 62   | Squawkabilly       |  0.65193% | 355    |  0.133% | 128    |  0.294% | 
 | 63   | Wo-Chien           |  0.64471% | 2483   |  0.931% | 985    |  2.265% | 
 | 64   | Mudsdale           |  0.53623% | 2425   |  0.909% | 912    |  2.097% | 
 | 65   | Toxapex            |  0.53020% | 5659   |  2.122% | 1995   |  4.587% | 
 | 66   | Slither Wing       |  0.51745% | 2713   |  1.017% | 882    |  2.028% | 
 | 67   | Forretress         |  0.50054% | 941    |  0.353% | 364    |  0.837% | 
 | 68   | Glimmora           |  0.49095% | 2497   |  0.936% | 877    |  2.017% | 
 | 69   | Salamence          |  0.48766% | 1675   |  0.628% | 521    |  1.198% | 
 | 70   | Bronzong           |  0.47795% | 1144   |  0.429% | 394    |  0.906% | 
 | 71   | Cloyster           |  0.44003% | 2299   |  0.862% | 832    |  1.913% | 
 | 72   | Pelipper           |  0.43753% | 1233   |  0.462% | 407    |  0.936% | 
 | 73   | Florges            |  0.43600% | 1828   |  0.686% | 649    |  1.492% | 
 | 74   | Decidueye          |  0.42262% | 1822   |  0.683% | 597    |  1.373% | 
 | 75   | Blissey            |  0.39469% | 1220   |  0.458% | 433    |  0.996% | 
 | 76   | Hydreigon          |  0.39047% | 2135   |  0.801% | 661    |  1.520% | 
 | 77   | Quaquaval          |  0.38753% | 2465   |  0.924% | 733    |  1.685% | 
 | 78   | Gengar             |  0.36965% | 5385   |  2.019% | 1034   |  2.378% | 
 | 79   | Bisharp            |  0.35627% | 2077   |  0.779% | 575    |  1.322% | 
 | 80   | Revavroom          |  0.32499% | 1032   |  0.387% | 321    |  0.738% | 
 | 81   | Ditto              |  0.29766% | 3842   |  1.441% | 1591   |  3.658% | 
 | 82   | Quagsire           |  0.27386% | 1034   |  0.388% | 365    |  0.839% | 
 | 83   | Scovillain         |  0.26912% | 1404   |  0.527% | 489    |  1.124% | 
 | 84   | Amoonguss          |  0.26461% | 1584   |  0.594% | 423    |  0.973% | 
 | 85   | Orthworm           |  0.25319% | 1393   |  0.522% | 361    |  0.830% | 
 | 86   | Tauros-Paldea-Blaze |  0.24885% | 613    |  0.230% | 208    |  0.478% | 
 | 87   | Vaporeon           |  0.24837% | 785    |  0.294% | 262    |  0.602% | 
 | 88   | Grimmsnarl         |  0.24685% | 2351   |  0.882% | 819    |  1.883% | 
 | 89   | Lokix              |  0.24602% | 1370   |  0.514% | 456    |  1.049% | 
 | 90   | Grafaiai           |  0.23762% | 2531   |  0.949% | 947    |  2.178% | 
 | 91   | Samurott           |  0.23484% | 75     |  0.028% | 49     |  0.113% | 
 | 92   | Gyarados           |  0.23103% | 1695   |  0.636% | 581    |  1.336% | 
 | 93   | Tropius            |  0.22896% | 1113   |  0.417% | 469    |  1.078% | 
 | 94   | Espeon             |  0.22656% | 2077   |  0.779% | 716    |  1.646% | 
 | 95   | Houndoom           |  0.18626% | 397    |  0.149% | 138    |  0.317% | 
 | 96   | Pawmot             |  0.18463% | 889    |  0.333% | 348    |  0.800% | 
 | 97   | Hawlucha           |  0.16727% | 2017   |  0.756% | 695    |  1.598% | 
 | 98   | Rotom-Heat         |  0.16310% | 1062   |  0.398% | 415    |  0.954% | 
 | 99   | Staraptor          |  0.16046% | 1292   |  0.485% | 487    |  1.120% | 
 | 100  | Toxtricity         |  0.14339% | 969    |  0.363% | 336    |  0.773% | 
 | 101  | Slowbro            |  0.14023% | 802    |  0.301% | 337    |  0.775% | 
 | 102  | Weavile            |  0.13779% | 3820   |  1.433% | 1342   |  3.086% | 
 | 103  | Abomasnow          |  0.13303% | 965    |  0.362% | 304    |  0.699% | 
 | 104  | Tauros-Paldea-Aqua |  0.13234% | 975    |  0.366% | 254    |  0.584% | 
 | 105  | Muk                |  0.12229% | 1967   |  0.738% | 595    |  1.368% | 
 | 106  | Bonsly             |  0.12207% | 199    |  0.075% | 60     |  0.138% | 
 | 107  | Bergmite           |  0.12186% | 102    |  0.038% | 41     |  0.094% | 
 | 108  | Eiscue             |  0.12166% | 1185   |  0.444% | 489    |  1.124% | 
 | 109  | Kilowattrel        |  0.11598% | 657    |  0.246% | 256    |  0.589% | 
 | 110  | Lucario            |  0.11587% | 1931   |  0.724% | 687    |  1.580% | 
 | 111  | Dudunsparce        |  0.11337% | 1485   |  0.557% | 610    |  1.403% | 
 | 112  | Umbreon            |  0.10889% | 874    |  0.328% | 396    |  0.911% | 
 | 113  | Klefki             |  0.10025% | 634    |  0.238% | 243    |  0.559% | 
 | 114  | Toxicroak          |  0.09762% | 395    |  0.148% | 152    |  0.350% | 
 | 115  | Iron Thorns        |  0.09364% | 926    |  0.347% | 263    |  0.605% | 
 | 116  | Clawitzer          |  0.08752% | 881    |  0.330% | 294    |  0.676% | 
 | 117  | Lilligant          |  0.08089% | 193    |  0.072% | 33     |  0.076% | 
 | 118  | Slowking           |  0.07956% | 956    |  0.359% | 275    |  0.632% | 
 | 119  | Indeedee-F         |  0.07675% | 62     |  0.023% | 19     |  0.044% | 
 | 120  | Tsareena           |  0.07379% | 557    |  0.209% | 157    |  0.361% | 
 | 121  | Sudowoodo          |  0.07287% | 709    |  0.266% | 307    |  0.706% | 
 | 122  | Sandaconda         |  0.07024% | 105    |  0.039% | 31     |  0.071% | 
 | 123  | Noivern            |  0.06849% | 831    |  0.312% | 264    |  0.607% | 
 | 124  | Chansey            |  0.06716% | 872    |  0.327% | 234    |  0.538% | 
 | 125  | Skuntank           |  0.06057% | 245    |  0.092% | 86     |  0.198% | 
 | 126  | Ampharos           |  0.05733% | 344    |  0.129% | 164    |  0.377% | 
