 Total battles: 3994
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Iron Hands         | 12.78167% | 1021   | 12.782% | 281    | 20.841% | 
 | 2    | Walking Wake       | 12.21833% | 976    | 12.218% | 309    | 22.917% | 
 | 3    | Torkoal            | 11.01652% | 880    | 11.017% | 290    | 21.508% | 
 | 4    | Armarouge          |  9.41412% | 752    |  9.414% | 181    | 13.424% | 
 | 5    | Maushold           |  9.37656% | 749    |  9.377% | 247    | 18.319% | 
 | 6    | Gholdengo          |  8.86329% | 708    |  8.863% | 172    | 12.756% | 
 | 7    | Indeedee-F         |  7.99950% | 639    |  7.999% | 247    | 18.319% | 
 | 8    | Flutter Mane       |  7.92439% | 633    |  7.924% | 156    | 11.570% | 
 | 9    | Garchomp           |  7.79920% | 623    |  7.799% | 118    |  8.752% | 
 | 10   | Chi-Yu             |  6.55984% | 524    |  6.560% | 115    |  8.529% | 
 | 11   | Volcarona          |  6.23435% | 498    |  6.234% | 155    | 11.496% | 
 | 12   | Dragapult          |  6.08413% | 486    |  6.084% | 131    |  9.716% | 
 | 13   | Amoonguss          |  5.89634% | 471    |  5.896% | 140    | 10.383% | 
 | 14   | Chien-Pao          |  5.62093% | 449    |  5.621% | 108    |  8.010% | 
 | 15   | Zoroark-Hisui      |  5.43315% | 434    |  5.433% | 204    | 15.130% | 
 | 16   | Meowscarada        |  5.40811% | 432    |  5.408% | 116    |  8.603% | 
 | 17   | Mimikyu            |  5.03255% | 402    |  5.033% | 176    | 13.053% | 
 | 18   | Greninja           |  4.96995% | 397    |  4.970% | 108    |  8.010% | 
 | 19   | Iron Bundle        |  4.94492% | 395    |  4.945% | 105    |  7.787% | 
 | 20   | Garganacl          |  4.94492% | 395    |  4.945% | 112    |  8.307% | 
 | 21   | Ting-Lu            |  4.81973% | 385    |  4.820% | 67     |  4.969% | 
 | 22   | Arcanine           |  4.70706% | 376    |  4.707% | 96     |  7.120% | 
 | 23   | Dragonite          |  4.69454% | 375    |  4.695% | 97     |  7.194% | 
 | 24   | Annihilape         |  4.48172% | 358    |  4.482% | 84     |  6.230% | 
 | 25   | Talonflame         |  4.43165% | 354    |  4.432% | 89     |  6.601% | 
 | 26   | Murkrow            |  4.24387% | 339    |  4.244% | 95     |  7.046% | 
 | 27   | Great Tusk         |  4.16875% | 333    |  4.169% | 82     |  6.082% | 
 | 28   | Pelipper           |  3.86830% | 309    |  3.868% | 49     |  3.634% | 
 | 29   | Baxcalibur         |  3.74311% | 299    |  3.743% | 55     |  4.079% | 
 | 30   | Grimmsnarl         |  3.66800% | 293    |  3.668% | 93     |  6.897% | 
 | 31   | Oranguru           |  3.55533% | 284    |  3.555% | 132    |  9.790% | 
 | 32   | Iron Leaves        |  3.45518% | 276    |  3.455% | 70     |  5.192% | 
 | 33   | Abomasnow          |  3.35503% | 268    |  3.355% | 64     |  4.747% | 
 | 34   | Roaring Moon       |  3.14221% | 251    |  3.142% | 56     |  4.153% | 
 | 35   | Slaking            |  3.12969% | 250    |  3.130% | 97     |  7.194% | 
 | 36   | Ceruledge          |  3.01703% | 241    |  3.017% | 59     |  4.376% | 
 | 37   | Gyarados           |  2.99199% | 239    |  2.992% | 64     |  4.747% | 
 | 38   | Tyranitar          |  2.92939% | 234    |  2.929% | 70     |  5.192% | 
 | 39   | Azumarill          |  2.80421% | 224    |  2.804% | 57     |  4.227% | 
 | 40   | Charizard          |  2.76665% | 221    |  2.767% | 72     |  5.340% | 
 | 41   | Oricorio-Pom-Pom   |  2.76665% | 221    |  2.767% | 98     |  7.268% | 
 | 42   | Sableye            |  2.72909% | 218    |  2.729% | 70     |  5.192% | 
 | 43   | Sylveon            |  2.70406% | 216    |  2.704% | 63     |  4.672% | 
 | 44   | Ditto              |  2.47872% | 198    |  2.479% | 51     |  3.782% | 
 | 45   | Iron Valiant       |  2.45368% | 196    |  2.454% | 59     |  4.376% | 
 | 46   | Skeledirge         |  2.41612% | 193    |  2.416% | 54     |  4.005% | 
 | 47   | Grafaiai           |  2.37857% | 190    |  2.379% | 66     |  4.895% | 
 | 48   | Kingambit          |  2.30346% | 184    |  2.303% | 34     |  2.522% | 
 | 49   | Clodsire           |  2.22834% | 178    |  2.228% | 27     |  2.002% | 
 | 50   | Lucario            |  2.21582% | 177    |  2.216% | 52     |  3.857% | 
 | 51   | Bellibolt          |  2.19079% | 175    |  2.191% | 41     |  3.041% | 
 | 52   | Kilowattrel        |  2.15323% | 172    |  2.153% | 53     |  3.931% | 
 | 53   | Gardevoir          |  2.14071% | 171    |  2.141% | 47     |  3.486% | 
 | 54   | Palafin            |  2.14071% | 171    |  2.141% | 35     |  2.596% | 
 | 55   | Gengar             |  2.12819% | 170    |  2.128% | 36     |  2.670% | 
 | 56   | Hydreigon          |  2.10315% | 168    |  2.103% | 46     |  3.412% | 
 | 57   | Rotom-Wash         |  2.05308% | 164    |  2.053% | 48     |  3.560% | 
 | 58   | Dondozo            |  2.02804% | 162    |  2.028% | 39     |  2.892% | 
 | 59   | Gallade            |  2.00300% | 160    |  2.003% | 53     |  3.931% | 
 | 60   | Scream Tail        |  1.91537% | 153    |  1.915% | 45     |  3.337% | 
 | 61   | Iron Moth          |  1.89034% | 151    |  1.890% | 46     |  3.412% | 
 | 62   | Brute Bonnet       |  1.87782% | 150    |  1.878% | 43     |  3.189% | 
 | 63   | Quaquaval          |  1.84026% | 147    |  1.840% | 34     |  2.522% | 
 | 64   | Hatterene          |  1.82774% | 146    |  1.828% | 34     |  2.522% | 
 | 65   | Toxapex            |  1.80270% | 144    |  1.803% | 40     |  2.967% | 
 | 66   | Scizor             |  1.80270% | 144    |  1.803% | 30     |  2.225% | 
 | 67   | Tinkaton           |  1.80270% | 144    |  1.803% | 44     |  3.263% | 
 | 68   | Pincurchin         |  1.75263% | 140    |  1.753% | 45     |  3.337% | 
 | 69   | Lilligant          |  1.74011% | 139    |  1.740% | 45     |  3.337% | 
 | 70   | Breloom            |  1.74011% | 139    |  1.740% | 32     |  2.373% | 
 | 71   | Gastrodon          |  1.70255% | 136    |  1.703% | 35     |  2.596% | 
 | 72   | Wo-Chien           |  1.65248% | 132    |  1.652% | 21     |  1.557% | 
 | 73   | Farigiraf          |  1.65248% | 132    |  1.652% | 30     |  2.225% | 
 | 74   | Oricorio-Sensu     |  1.63996% | 131    |  1.640% | 38     |  2.818% | 
 | 75   | Lycanroc-Dusk      |  1.58988% | 127    |  1.590% | 42     |  3.115% | 
 | 76   | Cinderace          |  1.57737% | 126    |  1.577% | 33     |  2.447% | 
 | 77   | Glimmora           |  1.56485% | 125    |  1.565% | 32     |  2.373% | 
 | 78   | Medicham           |  1.53981% | 123    |  1.540% | 35     |  2.596% | 
 | 79   | Slither Wing       |  1.48973% | 119    |  1.490% | 24     |  1.780% | 
 | 80   | Corviknight        |  1.46470% | 117    |  1.465% | 29     |  2.151% | 
