 Total battles: 82644
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Corviknight        | 42.79621% | 70737  | 42.796% | 58896  | 46.830% | 
 | 2    | Iron Moth          | 24.10338% | 39840  | 24.103% | 29813  | 23.705% | 
 | 3    | Dragonite          | 21.71120% | 35886  | 21.711% | 25704  | 20.438% | 
 | 4    | Roaring Moon       | 21.05295% | 34798  | 21.053% | 25840  | 20.546% | 
 | 5    | Meowscarada        | 17.06355% | 28204  | 17.064% | 21858  | 17.380% | 
 | 6    | Garganacl          | 16.62432% | 27478  | 16.624% | 21929  | 17.437% | 
 | 7    | Iron Leaves        | 16.21049% | 26794  | 16.210% | 19295  | 15.342% | 
 | 8    | Sandy Shocks       | 15.78275% | 26087  | 15.783% | 21398  | 17.014% | 
 | 9    | Zoroark-Hisui      | 12.76620% | 21101  | 12.766% | 14984  | 11.914% | 
 | 10   | Iron Treads        | 12.71417% | 21015  | 12.714% | 16537  | 13.149% | 
 | 11   | Garchomp           | 12.14244% | 20070  | 12.142% | 16487  | 13.109% | 
 | 12   | Hatterene          | 12.07831% | 19964  | 12.078% | 14217  | 11.304% | 
 | 13   | Cinderace          | 11.26821% | 18625  | 11.268% | 13883  | 11.039% | 
 | 14   | Quaquaval          | 10.62328% | 17559  | 10.623% | 13214  | 10.507% | 
 | 15   | Gengar             | 10.53313% | 17410  | 10.533% | 12221  |  9.717% | 
 | 16   | Scream Tail        | 10.38127% | 17159  | 10.381% | 13501  | 10.735% | 
 | 17   | Greninja           | 10.23789% | 16922  | 10.238% | 13111  | 10.425% | 
 | 18   | Chien-Pao          |  9.76356% | 16138  |  9.764% | 11155  |  8.870% | 
 | 19   | Kingambit          |  9.72908% | 16081  |  9.729% | 11848  |  9.421% | 
 | 20   | Great Tusk         |  9.51128% | 15721  |  9.511% | 11954  |  9.505% | 
 | 21   | Kilowattrel        |  9.33704% | 15433  |  9.337% | 12442  |  9.893% | 
