 Total battles: 277797
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Miraidon           | 22.35589% | 124208 | 22.356% | 83077  | 22.718% | 
 | 2    | Koraidon           | 15.39829% | 85552  | 15.398% | 59792  | 16.351% | 
 | 3    | Maushold           | 15.02770% | 83493  | 15.028% | 41174  | 11.259% | 
 | 4    | Espathra           | 12.15654% | 67541  | 12.157% | 48313  | 13.212% | 
 | 5    | Flutter Mane       | 11.93677% | 66320  | 11.937% | 45124  | 12.340% | 
 | 6    | Annihilape         | 11.89898% | 66110  | 11.899% | 41987  | 11.482% | 
 | 7    | Clodsire           | 11.44721% | 63600  | 11.447% | 47470  | 12.981% | 
 | 8    | Chien-Pao          | 10.66228% | 59239  | 10.662% | 39631  | 10.837% | 
 | 9    | Palafin            | 10.60847% | 58940  | 10.608% | 46440  | 12.699% | 
 | 10   | Kingambit          | 10.50065% | 58341  | 10.501% | 35278  |  9.647% | 
 | 11   | Glimmora           | 10.27009% | 57060  | 10.270% | 48257  | 13.196% | 
 | 12   | Zoroark-Hisui      | 10.03305% | 55743  | 10.033% | 22023  |  6.022% | 
 | 13   | Dragapult          |  9.64409% | 53582  |  9.644% | 37148  | 10.158% | 
 | 14   | Walking Wake       |  9.51198% | 52848  |  9.512% | 35028  |  9.579% | 
 | 15   | Skeledirge         |  9.41155% | 52290  |  9.412% | 35862  |  9.807% | 
 | 16   | Meowscarada        |  9.17613% | 50982  |  9.176% | 35626  |  9.742% | 
 | 17   | Ceruledge          |  9.09423% | 50527  |  9.094% | 35132  |  9.607% | 
 | 18   | Gholdengo          |  8.96446% | 49806  |  8.964% | 33109  |  9.054% | 
 | 19   | Houndstone         |  8.94340% | 49689  |  8.943% | 25992  |  7.108% | 
 | 20   | Garganacl          |  8.83973% | 49113  |  8.840% | 33289  |  9.103% | 
 | 21   | Cyclizar           |  7.65235% | 42516  |  7.652% | 33412  |  9.137% | 
 | 22   | Quaquaval          |  7.58162% | 42123  |  7.582% | 29297  |  8.012% | 
 | 23   | Garchomp           |  7.54922% | 41943  |  7.549% | 29729  |  8.130% | 
 | 24   | Great Tusk         |  7.51484% | 41752  |  7.515% | 29224  |  7.992% | 
 | 25   | Iron Bundle        |  7.47812% | 41548  |  7.478% | 28214  |  7.715% | 
 | 26   | Ditto              |  7.27402% | 40414  |  7.274% | 17250  |  4.717% | 
 | 27   | Breloom            |  7.23676% | 40207  |  7.237% | 27408  |  7.495% | 
 | 28   | Iron Valiant       |  6.43995% | 35780  |  6.440% | 23872  |  6.528% | 
 | 29   | Dragonite          |  6.43006% | 35725  |  6.430% | 23890  |  6.533% | 
 | 30   | Drifblim           |  6.28840% | 34938  |  6.288% | 28197  |  7.711% | 
 | 31   | Corviknight        |  6.26681% | 34818  |  6.267% | 24859  |  6.798% | 
 | 32   | Toxapex            |  6.12966% | 34056  |  6.130% | 25514  |  6.977% | 
 | 33   | Baxcalibur         |  6.01608% | 33425  |  6.016% | 22138  |  6.054% | 
 | 34   | Chi-Yu             |  5.61003% | 31169  |  5.610% | 20173  |  5.516% | 
 | 35   | Greninja           |  5.33393% | 29635  |  5.334% | 20581  |  5.628% | 
 | 36   | Iron Treads        |  5.18040% | 28782  |  5.180% | 21237  |  5.807% | 
 | 37   | Grimmsnarl         |  4.76589% | 26479  |  4.766% | 21017  |  5.747% | 
 | 38   | Tyranitar          |  4.59220% | 25514  |  4.592% | 17690  |  4.837% | 
 | 39   | Azumarill          |  4.54307% | 25241  |  4.543% | 17668  |  4.831% | 
 | 40   | Armarouge          |  4.48457% | 24916  |  4.485% | 16687  |  4.563% | 
 | 41   | Roaring Moon       |  4.42391% | 24579  |  4.424% | 15682  |  4.288% | 
 | 42   | Cinderace          |  4.38594% | 24368  |  4.386% | 16214  |  4.434% | 
 | 43   | Cloyster           |  4.35804% | 24213  |  4.358% | 16032  |  4.384% | 
 | 44   | Volcarona          |  4.32726% | 24042  |  4.327% | 15708  |  4.296% | 
 | 45   | Dondozo            |  4.27974% | 23778  |  4.280% | 16487  |  4.509% | 
 | 46   | Scovillain         |  4.24213% | 23569  |  4.242% | 15038  |  4.112% | 
 | 47   | Mimikyu            |  4.20127% | 23342  |  4.201% | 15963  |  4.365% | 
