 Total battles: 27407
 Avg. weight/team: 0.012
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Chansey            | 41.40785% | 9767   | 17.818% | 7111   | 19.894% | 
 | 2    | Slaking            | 38.00381% | 13788  | 25.154% | 9366   | 26.203% | 
 | 3    | Groudon            | 35.97624% | 6087   | 11.105% | 4432   | 12.399% | 
 | 4    | Arceus-Ghost       | 31.13447% | 5273   |  9.620% | 3520   |  9.848% | 
 | 5    | Dondozo            | 29.31044% | 9018   | 16.452% | 6417   | 17.953% | 
 | 6    | Ting-Lu            | 27.68783% | 7149   | 13.042% | 5483   | 15.340% | 
 | 7    | Dialga-Origin      | 27.14712% | 5865   | 10.700% | 4067   | 11.378% | 
 | 8    | Zacian-Crowned     | 23.27240% | 11414  | 20.823% | 7968   | 22.292% | 
 | 9    | Miraidon           | 22.76725% | 9432   | 17.207% | 5912   | 16.540% | 
 | 10   | Eternatus          | 20.58771% | 6206   | 11.322% | 4413   | 12.346% | 
 | 11   | Arceus-Fairy       | 20.22341% | 1435   |  2.618% | 1028   |  2.876% | 
 | 12   | Zacian             | 19.89728% | 2275   |  4.150% | 1609   |  4.501% | 
 | 13   | Zamazenta-Crowned  | 19.79696% | 7537   | 13.750% | 5344   | 14.951% | 
 | 14   | Giratina           | 19.17283% | 5021   |  9.160% | 3591   | 10.046% | 
 | 15   | Blissey            | 17.38170% | 9447   | 17.235% | 6719   | 18.798% | 
 | 16   | Arceus-Ground      | 14.57242% | 1453   |  2.651% | 1121   |  3.136% | 
 | 17   | Corviknight        | 11.65195% | 2653   |  4.840% | 1891   |  5.290% | 
 | 18   | Palkia-Origin      | 10.96962% | 4508   |  8.224% | 2808   |  7.856% | 
 | 19   | Palafin            | 10.22987% | 11460  | 20.907% | 7258   | 20.306% | 
 | 20   | Calyrex-Ice        | 10.12138% | 4750   |  8.666% | 3181   |  8.899% | 
 | 21   | Dragapult          |  9.53908% | 4469   |  8.153% | 3046   |  8.522% | 
 | 22   | Arceus-Fire        |  9.20927% | 2993   |  5.460% | 2103   |  5.884% | 
 | 23   | Moltres            |  8.55462% | 472    |  0.861% | 345    |  0.965% | 
 | 24   | Mewtwo             |  8.25080% | 3018   |  5.506% | 1949   |  5.453% | 
 | 25   | Flutter Mane       |  7.77977% | 7594   | 13.854% | 4871   | 13.627% | 
 | 26   | Goodra-Hisui       |  7.75269% | 3357   |  6.124% | 2487   |  6.958% | 
 | 27   | Heatran            |  7.30208% | 1137   |  2.074% | 685    |  1.916% | 
 | 28   | Toxapex            |  6.15261% | 5599   | 10.215% | 4269   | 11.943% | 
 | 29   | Enamorus           |  5.11321% | 1521   |  2.775% | 998    |  2.792% | 
 | 30   | Arceus-Water       |  5.06205% | 1437   |  2.622% | 1099   |  3.075% | 
 | 31   | Arceus             |  5.05533% | 2413   |  4.402% | 1584   |  4.432% | 
 | 32   | Cetitan            |  4.45984% | 608    |  1.109% | 419    |  1.172% | 
 | 33   | Hoopa-Unbound      |  4.24141% | 5596   | 10.209% | 3575   | 10.002% | 
 | 34   | Koraidon           |  4.18524% | 6066   | 11.067% | 3754   | 10.502% | 
 | 35   | Rayquaza           |  4.15516% | 2814   |  5.134% | 1866   |  5.220% | 
 | 36   | Spiritomb          |  3.68903% | 458    |  0.836% | 311    |  0.870% | 
 | 37   | Annihilape         |  2.96373% | 2322   |  4.236% | 1491   |  4.171% | 
 | 38   | Ursaluna           |  2.56024% | 2280   |  4.160% | 1603   |  4.485% | 
 | 39   | Kyogre             |  2.30212% | 1540   |  2.810% | 1002   |  2.803% | 
 | 40   | Clodsire           |  2.17502% | 1858   |  3.390% | 1374   |  3.844% | 
 | 41   | Arceus-Poison      |  2.02988% | 583    |  1.064% | 477    |  1.334% | 
 | 42   | Arceus-Steel       |  1.92597% | 1104   |  2.014% | 804    |  2.249% | 
 | 43   | Iron Valiant       |  1.88662% | 2578   |  4.703% | 1663   |  4.653% | 
 | 44   | Regieleki          |  1.80917% | 7721   | 14.086% | 5777   | 16.162% | 
 | 45   | Meloetta           |  1.73149% | 894    |  1.631% | 593    |  1.659% | 
 | 46   | Iron Bundle        |  1.67056% | 3988   |  7.276% | 2420   |  6.770% | 
 | 47   | Brute Bonnet       |  1.53350% | 498    |  0.909% | 381    |  1.066% | 
 | 48   | Magearna           |  1.49189% | 704    |  1.284% | 504    |  1.410% | 
 | 49   | Arceus-Grass       |  1.48580% | 785    |  1.432% | 568    |  1.589% | 
 | 50   | Diancie            |  1.37090% | 764    |  1.394% | 515    |  1.441% | 
 | 51   | Roaring Moon       |  1.32669% | 1887   |  3.443% | 1146   |  3.206% | 
 | 52   | Giratina-Origin    |  1.09698% | 685    |  1.250% | 464    |  1.298% | 
 | 53   | Zorua-Hisui        |  1.05111% | 151    |  0.275% | 91     |  0.255% | 
 | 54   | Urshifu            |  0.94942% | 703    |  1.283% | 474    |  1.326% | 
 | 55   | Landorus-Therian   |  0.92787% | 472    |  0.861% | 305    |  0.853% | 
 | 56   | Iron Treads        |  0.89561% | 788    |  1.438% | 504    |  1.410% | 
 | 57   | Muk-Alola          |  0.81129% | 491    |  0.896% | 378    |  1.058% | 
 | 58   | Iron Hands         |  0.77486% | 2126   |  3.879% | 1461   |  4.087% | 
 | 59   | Gholdengo          |  0.70960% | 1651   |  3.012% | 1110   |  3.105% | 
 | 60   | Skeledirge         |  0.60268% | 828    |  1.511% | 547    |  1.530% | 
 | 61   | Tyranitar          |  0.60141% | 788    |  1.438% | 521    |  1.458% | 
 | 62   | Gogoat             |  0.59283% | 69     |  0.126% | 52     |  0.145% | 
 | 63   | Zarude             |  0.54814% | 344    |  0.628% | 238    |  0.666% | 
 | 64   | Ceruledge          |  0.54474% | 2117   |  3.862% | 1374   |  3.844% | 
 | 65   | Arceus-Dark        |  0.53018% | 1047   |  1.910% | 725    |  2.028% | 
 | 66   | Scream Tail        |  0.43805% | 1077   |  1.965% | 709    |  1.984% | 
 | 67   | Kingambit          |  0.41055% | 1625   |  2.965% | 1031   |  2.884% | 
 | 68   | Arceus-Electric    |  0.40539% | 692    |  1.262% | 440    |  1.231% | 
 | 69   | Iron Moth          |  0.39065% | 2604   |  4.751% | 1690   |  4.728% | 
 | 70   | Arceus-Flying      |  0.37560% | 448    |  0.817% | 301    |  0.842% | 
 | 71   | Baxcalibur         |  0.34697% | 1576   |  2.875% | 1030   |  2.882% | 
 | 72   | Zoroark-Hisui      |  0.33730% | 3646   |  6.652% | 2424   |  6.782% | 
 | 73   | Garganacl          |  0.30734% | 1204   |  2.197% | 897    |  2.510% | 
 | 74   | Chien-Pao          |  0.30492% | 2808   |  5.123% | 1732   |  4.846% | 
 | 75   | Spectrier          |  0.29863% | 479    |  0.874% | 317    |  0.887% | 
 | 76   | Chi-Yu             |  0.26914% | 2021   |  3.687% | 1189   |  3.326% | 
 | 77   | Cresselia          |  0.26674% | 233    |  0.425% | 169    |  0.473% | 
 | 78   | Dialga             |  0.23964% | 775    |  1.414% | 619    |  1.732% | 
 | 79   | Urshifu-Rapid-Strike |  0.23473% | 499    |  0.910% | 327    |  0.915% | 
 | 80   | Palkia             |  0.22173% | 276    |  0.504% | 191    |  0.534% | 
 | 81   | Volcarona          |  0.21365% | 924    |  1.686% | 546    |  1.528% | 
 | 82   | Arceus-Psychic     |  0.20183% | 312    |  0.569% | 192    |  0.537% | 
 | 83   | Volcanion          |  0.19248% | 408    |  0.744% | 272    |  0.761% | 
 | 84   | Coalossal          |  0.17215% | 123    |  0.224% | 85     |  0.238% | 
 | 85   | Electrode-Hisui    |  0.15752% | 362    |  0.660% | 271    |  0.758% | 
 | 86   | Walking Wake       |  0.15407% | 2237   |  4.081% | 1439   |  4.026% | 
 | 87   | Sneasler           |  0.14039% | 1126   |  2.054% | 770    |  2.154% | 
 | 88   | Sandy Shocks       |  0.13284% | 552    |  1.007% | 341    |  0.954% | 
 | 89   | Scizor             |  0.10695% | 1748   |  3.189% | 1166   |  3.262% | 
 | 90   | Umbreon            |  0.10494% | 686    |  1.252% | 471    |  1.318% | 
 | 91   | Gyarados           |  0.10397% | 491    |  0.896% | 297    |  0.831% | 
 | 92   | Goodra             |  0.09965% | 228    |  0.416% | 158    |  0.442% | 
 | 93   | Carbink            |  0.09341% | 463    |  0.845% | 356    |  0.996% | 
 | 94   | Carkol             |  0.09317% | 111    |  0.203% | 86     |  0.241% | 
 | 95   | Barraskewda        |  0.09091% | 670    |  1.222% | 430    |  1.203% | 
 | 96   | Armarouge          |  0.09024% | 1070   |  1.952% | 587    |  1.642% | 
 | 97   | Thundurus-Therian  |  0.08755% | 591    |  1.078% | 374    |  1.046% | 
 | 98   | Breloom            |  0.08151% | 658    |  1.200% | 425    |  1.189% | 
 | 99   | Glimmora           |  0.08115% | 393    |  0.717% | 308    |  0.862% | 
 | 100  | Cyclizar           |  0.07877% | 1187   |  2.166% | 655    |  1.832% | 
 | 101  | Great Tusk         |  0.07088% | 1509   |  2.753% | 1040   |  2.910% | 
 | 102  | Tauros-Paldea-Blaze |  0.06860% | 154    |  0.281% | 104    |  0.291% | 
 | 103  | Zamazenta          |  0.06290% | 279    |  0.509% | 187    |  0.523% | 
 | 104  | Pelipper           |  0.06053% | 129    |  0.235% | 94     |  0.263% | 
 | 105  | Slither Wing       |  0.05945% | 912    |  1.664% | 604    |  1.690% | 
 | 106  | Wo-Chien           |  0.05695% | 537    |  0.980% | 390    |  1.091% | 
 | 107  | Forretress         |  0.05537% | 1017   |  1.855% | 787    |  2.202% | 
 | 108  | Meowscarada        |  0.05107% | 1305   |  2.381% | 861    |  2.409% | 
 | 109  | Gallade            |  0.04961% | 344    |  0.628% | 219    |  0.613% | 
 | 110  | Glastrier          |  0.04768% | 93     |  0.170% | 64     |  0.179% | 
 | 111  | Regidrago          |  0.04753% | 692    |  1.262% | 512    |  1.432% | 
 | 112  | Jumpluff           |  0.04636% | 130    |  0.237% | 79     |  0.221% | 
 | 113  | Dunsparce          |  0.04521% | 196    |  0.358% | 130    |  0.364% | 
 | 114  | Iron Thorns        |  0.03896% | 614    |  1.120% | 362    |  1.013% | 
 | 115  | Wiglett            |  0.03854% | 170    |  0.310% | 126    |  0.353% | 
 | 116  | Bellibolt          |  0.03715% | 280    |  0.511% | 213    |  0.596% | 
 | 117  | Arceus-Ice         |  0.03459% | 286    |  0.522% | 223    |  0.624% | 
 | 118  | Flapple            |  0.03380% | 50     |  0.091% | 34     |  0.095% | 
 | 119  | Iron Leaves        |  0.03363% | 1432   |  2.612% | 893    |  2.498% | 
 | 120  | Garchomp           |  0.03213% | 1156   |  2.109% | 753    |  2.107% | 
 | 121  | Azumarill          |  0.02992% | 204    |  0.372% | 143    |  0.400% | 
 | 122  | Gengar             |  0.02759% | 586    |  1.069% | 429    |  1.200% | 
 | 123  | Enamorus-Therian   |  0.02619% | 637    |  1.162% | 460    |  1.287% | 
 | 124  | Snom               |  0.02552% | 127    |  0.232% | 76     |  0.213% | 
 | 125  | Gastrodon          |  0.02454% | 339    |  0.618% | 238    |  0.666% | 
 | 126  | Samurott-Hisui     |  0.02416% | 567    |  1.034% | 428    |  1.197% | 
 | 127  | Hariyama           |  0.02311% | 83     |  0.151% | 42     |  0.118% | 
 | 128  | Espeon             |  0.02311% | 269    |  0.491% | 171    |  0.478% | 
 | 129  | Pikachu            |  0.02229% | 334    |  0.609% | 238    |  0.666% | 
 | 130  | Dudunsparce        |  0.02151% | 130    |  0.237% | 70     |  0.196% | 
 | 131  | Raichu-Alola       |  0.02100% | 236    |  0.431% | 171    |  0.478% | 
 | 132  | Zoroark            |  0.02057% | 65     |  0.119% | 40     |  0.112% | 
 | 133  | Dachsbun           |  0.02056% | 44     |  0.080% | 36     |  0.101% | 
 | 134  | Shroodle           |  0.01982% | 26     |  0.047% | 9      |  0.025% | 
 | 135  | Sylveon            |  0.01941% | 350    |  0.639% | 246    |  0.688% | 
 | 136  | Hatterene          |  0.01938% | 937    |  1.709% | 608    |  1.701% | 
 | 137  | Salazzle           |  0.01929% | 222    |  0.405% | 157    |  0.439% | 
 | 138  | Hoopa              |  0.01858% | 151    |  0.275% | 99     |  0.277% | 
 | 139  | Decidueye          |  0.01835% | 332    |  0.606% | 251    |  0.702% | 
 | 140  | Toedscruel         |  0.01827% | 156    |  0.285% | 103    |  0.288% | 
 | 141  | Amoonguss          |  0.01796% | 722    |  1.317% | 524    |  1.466% | 
 | 142  | Flareon            |  0.01783% | 147    |  0.268% | 109    |  0.305% | 
 | 143  | Cinderace          |  0.01724% | 736    |  1.343% | 488    |  1.365% | 
 | 144  | Arceus-Bug         |  0.01667% | 35     |  0.064% | 27     |  0.076% | 
 | 145  | Gardevoir          |  0.01651% | 725    |  1.323% | 284    |  0.795% | 
 | 146  | Rotom-Wash         |  0.01621% | 551    |  1.005% | 320    |  0.895% | 
 | 147  | Greninja           |  0.01549% | 1019   |  1.859% | 671    |  1.877% | 
 | 148  | Dragonite          |  0.01464% | 820    |  1.496% | 474    |  1.326% | 
 | 149  | Iron Jugulis       |  0.01462% | 644    |  1.175% | 375    |  1.049% | 
 | 150  | Tinkaton           |  0.01426% | 747    |  1.363% | 480    |  1.343% | 
 | 151  | Magikarp           |  0.01382% | 428    |  0.781% | 324    |  0.906% | 
 | 152  | Decidueye-Hisui    |  0.01354% | 491    |  0.896% | 315    |  0.881% | 
 | 153  | Landorus           |  0.01273% | 144    |  0.263% | 86     |  0.241% | 
 | 154  | Naclstack          |  0.01158% | 129    |  0.235% | 104    |  0.291% | 
 | 155  | Alomomola          |  0.01140% | 210    |  0.383% | 151    |  0.422% | 
 | 156  | Salamence          |  0.01105% | 271    |  0.494% | 183    |  0.512% | 
 | 157  | Jolteon            |  0.01056% | 214    |  0.390% | 146    |  0.408% | 
 | 158  | Pineco             |  0.01049% | 13     |  0.024% | 13     |  0.036% | 
 | 159  | Haxorus            |  0.01018% | 417    |  0.761% | 270    |  0.755% | 
 | 160  | Arcanine-Hisui     |  0.00957% | 731    |  1.334% | 501    |  1.402% | 
 | 161  | Lycanroc-Dusk      |  0.00880% | 148    |  0.270% | 105    |  0.294% | 
 | 162  | Mimikyu            |  0.00816% | 352    |  0.642% | 296    |  0.828% | 
 | 163  | Crabominable       |  0.00815% | 52     |  0.095% | 40     |  0.112% | 
 | 164  | Drednaw            |  0.00778% | 67     |  0.122% | 45     |  0.126% | 
 | 165  | Noivern            |  0.00769% | 306    |  0.558% | 193    |  0.540% | 
 | 166  | Electrode          |  0.00759% | 694    |  1.266% | 537    |  1.502% | 
 | 167  | Kilowattrel        |  0.00729% | 221    |  0.403% | 165    |  0.462% | 
 | 168  | Arceus-Rock        |  0.00726% | 114    |  0.208% | 93     |  0.260% | 
 | 169  | Kleavor            |  0.00703% | 354    |  0.646% | 256    |  0.716% | 
 | 170  | Florges            |  0.00681% | 565    |  1.031% | 397    |  1.111% | 
 | 171  | Dreepy             |  0.00673% | 59     |  0.108% | 41     |  0.115% | 
 | 172  | Arceus-Fighting    |  0.00669% | 64     |  0.117% | 35     |  0.098% | 
 | 173  | Arboliva           |  0.00602% | 109    |  0.199% | 78     |  0.218% | 
 | 174  | Maushold           |  0.00577% | 962    |  1.755% | 678    |  1.897% | 
 | 175  | Toedscool          |  0.00523% | 17     |  0.031% | 10     |  0.028% | 
 | 176  | Foongus            |  0.00462% | 41     |  0.075% | 28     |  0.078% | 
 | 177  | Rotom-Mow          |  0.00462% | 103    |  0.188% | 77     |  0.215% | 
 | 178  | Bronzong           |  0.00433% | 157    |  0.286% | 128    |  0.358% | 
 | 179  | Mew                |  0.00408% | 233    |  0.425% | 176    |  0.492% | 
 | 180  | Tatsugiri          |  0.00394% | 114    |  0.208% | 84     |  0.235% | 
 | 181  | Pichu              |  0.00388% | 88     |  0.161% | 54     |  0.151% | 
