 Total battles: 103080
 Avg. weight/team: 0.547
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flutter Mane       | 46.81619% | 88303  | 42.832% | 42352  | 46.504% | 
 | 2    | Dragonite          | 33.20442% | 62673  | 30.400% | 23575  | 25.886% | 
 | 3    | Baxcalibur         | 31.44782% | 60932  | 29.556% | 28977  | 31.818% | 
 | 4    | Gholdengo          | 30.90613% | 59988  | 29.098% | 20170  | 22.147% | 
 | 5    | Iron Moth          | 22.15262% | 41769  | 20.260% | 16771  | 18.415% | 
 | 6    | Iron Bundle        | 21.05368% | 39691  | 19.253% | 18678  | 20.509% | 
 | 7    | Kingambit          | 19.12699% | 37852  | 18.360% | 14546  | 15.972% | 
 | 8    | Annihilape         | 17.92866% | 34612  | 16.789% | 18800  | 20.643% | 
 | 9    | Dondozo            | 16.85662% | 32116  | 15.578% | 12140  | 13.330% | 
 | 10   | Corviknight        | 14.15772% | 28111  | 13.636% | 10715  | 11.765% | 
 | 11   | Garganacl          | 13.43864% | 26883  | 13.040% | 11497  | 12.624% | 
 | 12   | Roaring Moon       | 13.34414% | 25783  | 12.506% | 12427  | 13.645% | 
 | 13   | Espathra           | 13.06711% | 25946  | 12.585% | 15517  | 17.038% | 
 | 14   | Meowscarada        | 12.03109% | 24423  | 11.847% | 12310  | 13.517% | 
 | 15   | Garchomp           | 11.49024% | 22280  | 10.807% | 10212  | 11.213% | 
 | 16   | Magnezone          | 11.21904% | 21234  | 10.300% | 8844   |  9.711% | 
 | 17   | Mimikyu            | 10.24598% | 20560  |  9.973% | 7883   |  8.656% | 
 | 18   | Hippowdon          | 10.11663% | 18297  |  8.875% | 9798   | 10.759% | 
 | 19   | Rotom-Wash         |  9.96695% | 20105  |  9.752% | 7971   |  8.752% | 
 | 20   | Palafin            |  9.79370% | 20020  |  9.711% | 10983  | 12.060% | 
 | 21   | Skeledirge         |  9.74070% | 21266  | 10.315% | 8997   |  9.879% | 
 | 22   | Dragapult          |  9.46267% | 20707  | 10.044% | 9990   | 10.969% | 
 | 23   | Scizor             |  9.35843% | 19194  |  9.310% | 8171   |  8.972% | 
 | 24   | Iron Valiant       |  8.91685% | 18052  |  8.756% | 9019   |  9.903% | 
 | 25   | Great Tusk         |  8.30150% | 17541  |  8.508% | 7980   |  8.762% | 
 | 26   | Iron Hands         |  8.14865% | 15517  |  7.527% | 6853   |  7.525% | 
 | 27   | Breloom            |  7.64845% | 15763  |  7.646% | 6823   |  7.492% | 
 | 28   | Clodsire           |  7.61629% | 15828  |  7.678% | 5982   |  6.568% | 
 | 29   | Volcarona          |  6.49679% | 13081  |  6.345% | 4953   |  5.439% | 
 | 30   | Glimmora           |  6.36184% | 13303  |  6.453% | 7964   |  8.745% | 
 | 31   | Azumarill          |  5.19064% | 10943  |  5.308% | 4493   |  4.933% | 
 | 32   | Hydreigon          |  4.97888% | 10036  |  4.868% | 3806   |  4.179% | 
 | 33   | Brute Bonnet       |  4.53672% | 8698   |  4.219% | 3639   |  3.996% | 
 | 34   | Sylveon            |  4.34623% | 8746   |  4.242% | 3623   |  3.978% | 
 | 35   | Amoonguss          |  4.05001% | 7986   |  3.874% | 2739   |  3.008% | 
 | 36   | Grimmsnarl         |  3.99264% | 9130   |  4.429% | 5118   |  5.620% | 
 | 37   | Tinkaton           |  3.53841% | 8053   |  3.906% | 3873   |  4.253% | 
 | 38   | Ceruledge          |  3.48766% | 9066   |  4.398% | 4461   |  4.898% | 
 | 39   | Bellibolt          |  3.10887% | 7015   |  3.403% | 2780   |  3.053% | 
 | 40   | Orthworm           |  2.90462% | 6156   |  2.986% | 2926   |  3.213% | 
 | 41   | Toxapex            |  2.81525% | 5759   |  2.793% | 2398   |  2.633% | 
 | 42   | Torkoal            |  2.72902% | 6479   |  3.143% | 3866   |  4.245% | 
 | 43   | Umbreon            |  2.62161% | 5389   |  2.614% | 2132   |  2.341% | 
 | 44   | Rotom-Heat         |  2.54963% | 5427   |  2.632% | 2198   |  2.413% | 
 | 45   | Tyranitar          |  2.50648% | 5801   |  2.814% | 2807   |  3.082% | 
 | 46   | Pawmot             |  2.46290% | 4971   |  2.411% | 2149   |  2.360% | 
 | 47   | Armarouge          |  2.34168% | 5799   |  2.813% | 2825   |  3.102% | 
 | 48   | Sandy Shocks       |  2.20265% | 4280   |  2.076% | 2123   |  2.331% | 
 | 49   | Gengar             |  2.19173% | 5056   |  2.452% | 2335   |  2.564% | 
 | 50   | Blissey            |  1.98295% | 4363   |  2.116% | 1610   |  1.768% | 
 | 51   | Pelipper           |  1.95749% | 4756   |  2.307% | 2373   |  2.606% | 
 | 52   | Arcanine           |  1.90801% | 4394   |  2.131% | 1838   |  2.018% | 
 | 53   | Cloyster           |  1.87882% | 3803   |  1.845% | 1801   |  1.978% | 
 | 54   | Scream Tail        |  1.83079% | 4043   |  1.961% | 2169   |  2.382% | 
 | 55   | Haxorus            |  1.74523% | 3984   |  1.932% | 1678   |  1.843% | 
 | 56   | Quaquaval          |  1.73558% | 4487   |  2.176% | 2224   |  2.442% | 
 | 57   | Slither Wing       |  1.72523% | 3768   |  1.828% | 1631   |  1.791% | 
 | 58   | Arboliva           |  1.63561% | 3991   |  1.936% | 1516   |  1.665% | 
 | 59   | Gyarados           |  1.58877% | 3291   |  1.596% | 1378   |  1.513% | 
 | 60   | Iron Treads        |  1.57695% | 3326   |  1.613% | 1595   |  1.751% | 
 | 61   | Gallade            |  1.57607% | 3646   |  1.769% | 1803   |  1.980% | 
 | 62   | Hatterene          |  1.43210% | 4001   |  1.941% | 1810   |  1.987% | 
 | 63   | Abomasnow          |  1.41544% | 3258   |  1.580% | 1873   |  2.057% | 
 | 64   | Salamence          |  1.40116% | 3439   |  1.668% | 1647   |  1.808% | 
 | 65   | Drifblim           |  1.22012% | 2852   |  1.383% | 1818   |  1.996% | 
 | 66   | Lokix              |  1.09171% | 2661   |  1.291% | 1256   |  1.379% | 
 | 67   | Donphan            |  1.05874% | 2248   |  1.090% | 989    |  1.086% | 
 | 68   | Goodra             |  1.04849% | 2962   |  1.437% | 1023   |  1.123% | 
 | 69   | Zoroark            |  1.04193% | 2587   |  1.255% | 746    |  0.819% | 
 | 70   | Houndstone         |  1.02685% | 2473   |  1.200% | 1081   |  1.187% | 
 | 71   | Lucario            |  1.00975% | 2639   |  1.280% | 1121   |  1.231% | 
 | 72   | Bronzong           |  0.97294% | 2327   |  1.129% | 977    |  1.073% | 
 | 73   | Gothitelle         |  0.96664% | 2315   |  1.123% | 727    |  0.798% | 
 | 74   | Avalugg            |  0.94657% | 1819   |  0.882% | 693    |  0.761% | 
 | 75   | Maushold           |  0.92529% | 2789   |  1.353% | 1244   |  1.366% | 
