 Total battles: 137055
 Avg. weight/team: 0.047
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Magearna           |  3.00117% | 7392   |  2.697% | 5821   |  2.731% | 
 | 2    | Raikou             |  2.98305% | 7579   |  2.765% | 5921   |  2.778% | 
 | 3    | Rillaboom          |  2.92367% | 7428   |  2.710% | 5723   |  2.685% | 
 | 4    | Iron Hands         |  2.91537% | 7440   |  2.714% | 5785   |  2.714% | 
 | 5    | Iron Treads        |  2.88710% | 7370   |  2.689% | 5860   |  2.749% | 
 | 6    | Celebi             |  2.87534% | 7427   |  2.709% | 5719   |  2.683% | 
 | 7    | Xurkitree          |  2.84375% | 7395   |  2.698% | 5701   |  2.675% | 
 | 8    | Tapu Fini          |  2.83629% | 7504   |  2.738% | 5978   |  2.805% | 
 | 9    | Slither Wing       |  2.82815% | 7363   |  2.686% | 5638   |  2.645% | 
 | 10   | Incineroar         |  2.82570% | 7237   |  2.640% | 5675   |  2.663% | 
 | 11   | Magmortar          |  2.82549% | 7353   |  2.682% | 5746   |  2.696% | 
 | 12   | Blacephalon        |  2.81313% | 7411   |  2.704% | 5647   |  2.649% | 
 | 13   | Altaria-Mega       |  2.81028% | 7502   |  2.737% | 5965   |  2.799% | 
 | 14   | Cinderace          |  2.80848% | 7247   |  2.644% | 5750   |  2.698% | 
 | 15   | Rhyperior          |  2.80527% | 7239   |  2.641% | 5608   |  2.631% | 
 | 16   | Golisopod          |  2.79955% | 7284   |  2.657% | 5791   |  2.717% | 
 | 17   | Iron Moth          |  2.79531% | 7322   |  2.671% | 5659   |  2.655% | 
 | 18   | Kingambit          |  2.79457% | 7311   |  2.667% | 5599   |  2.627% | 
 | 19   | Electivire         |  2.79123% | 7406   |  2.702% | 5776   |  2.710% | 
 | 20   | Tapu Koko          |  2.79069% | 7397   |  2.699% | 5895   |  2.766% | 
 | 21   | Sylveon            |  2.78825% | 7488   |  2.732% | 5828   |  2.734% | 
 | 22   | Victini            |  2.78664% | 7350   |  2.681% | 5692   |  2.670% | 
 | 23   | Magnezone          |  2.78525% | 7317   |  2.669% | 5815   |  2.728% | 
 | 24   | Koraidon           |  2.78334% | 7279   |  2.656% | 5624   |  2.639% | 
 | 25   | Gholdengo          |  2.77716% | 7344   |  2.679% | 5776   |  2.710% | 
 | 26   | Archeops           |  2.77567% | 7413   |  2.704% | 5708   |  2.678% | 
 | 27   | Slaking            |  2.77493% | 7413   |  2.704% | 5910   |  2.773% | 
 | 28   | Genesect           |  2.77460% | 7370   |  2.689% | 5866   |  2.752% | 
 | 29   | Dragapult          |  2.77410% | 7353   |  2.682% | 5715   |  2.681% | 
 | 30   | Iron Thorns        |  2.76830% | 7351   |  2.682% | 5598   |  2.626% | 
 | 31   | Sandy Shocks       |  2.76384% | 7259   |  2.648% | 5694   |  2.671% | 
 | 32   | Annihilape         |  2.76283% | 7445   |  2.716% | 5733   |  2.690% | 
 | 33   | Crobat             |  2.76100% | 7353   |  2.682% | 5823   |  2.732% | 
 | 34   | Iron Leaves        |  2.75548% | 7403   |  2.701% | 5675   |  2.663% | 
 | 35   | Keldeo             |  2.75545% | 7302   |  2.664% | 5706   |  2.677% | 
 | 36   | Celesteela         |  2.75377% | 7287   |  2.658% | 5812   |  2.727% | 
 | 37   | Lapras             |  2.74277% | 7299   |  2.663% | 5655   |  2.653% | 
 | 38   | Leafeon            |  2.74160% | 7285   |  2.658% | 5644   |  2.648% | 
 | 39   | Regieleki          |  2.74083% | 7242   |  2.642% | 5654   |  2.653% | 
