 Total battles: 18
 Avg. weight/team: 0.008
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Haxorus            | 99.20143% | 2      |  5.556% | 1      |  3.974% | 
 | 2    | Barraskewda        | 99.20143% | 5      | 13.889% | 4      | 15.894% | 
 | 3    | Grafaiai           | 99.20143% | 2      |  5.556% | 1      |  3.974% | 
 | 4    | Pelipper           | 99.20143% | 3      |  8.333% | 2      |  7.947% | 
 | 5    | Scizor             | 99.20143% | 3      |  8.333% | 3      | 11.921% | 
 | 6    | Breloom            | 99.20143% | 5      | 13.889% | 4      | 15.894% | 
 | 7    | Dragapult          |  0.79857% | 8      | 22.222% | 7      | 27.815% | 
 | 8    | Quaquaval          |  0.79857% | 8      | 22.222% | 8      | 31.788% | 
 | 9    | Walking Wake       |  0.27083% | 12     | 33.333% | 7      | 27.815% | 
 | 10   | Azumarill          |  0.27083% | 3      |  8.333% | 2      |  7.947% | 
 | 11   | Scream Tail        |  0.00000% | 10     | 27.778% | 3      | 11.921% | 
 | 12   | Torkoal            |  0.00000% | 7      | 19.444% | 7      | 27.815% | 
 | 13   | Great Tusk         |  0.00000% | 14     | 38.889% | 9      | 35.762% | 
 | 14   | Slither Wing       |  0.00000% | 3      |  8.333% | 1      |  3.974% | 
 | 15   | Brute Bonnet       |  0.00000% | 4      | 11.111% | 2      |  7.947% | 
 | 16   | Iron Leaves        |  0.00000% | 2      |  5.556% | 2      |  7.947% | 
 | 17   | Banette            |  0.00000% | 1      |  2.778% | 1      |  3.974% | 
 | 18   | Iron Valiant       |  0.00000% | 3      |  8.333% | 2      |  7.947% | 
 | 19   | Sandy Shocks       |  0.00000% | 2      |  5.556% | 2      |  7.947% | 
 | 20   | Gyarados           |  0.00000% | 1      |  2.778% | 0      |  0.000% | 
 | 21   | Dondozo            |  0.00000% | 2      |  5.556% | 2      |  7.947% | 
 | 22   | Ting-Lu            |  0.00000% | 1      |  2.778% | 1      |  3.974% | 
 | 23   | Garganacl          |  0.00000% | 4      | 11.111% | 3      | 11.921% | 
 | 24   | Orthworm           |  0.00000% | 2      |  5.556% | 2      |  7.947% | 
 | 25   | Tyranitar          |  0.00000% | 2      |  5.556% | 2      |  7.947% | 
 | 26   | Scovillain         |  0.00000% | 3      |  8.333% | 2      |  7.947% | 
 | 27   | Iron Hands         |  0.00000% | 6      | 16.667% | 5      | 19.868% | 
 | 28   | Salamence          |  0.00000% | 1      |  2.778% | 1      |  3.974% | 
 | 29   | Iron Moth          |  0.00000% | 2      |  5.556% | 2      |  7.947% | 
 | 30   | Armarouge          |  0.00000% | 1      |  2.778% | 1      |  3.974% | 
 | 31   | Rotom              |  0.00000% | 1      |  2.778% | 1      |  3.974% | 
