 Total battles: 7130
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Snaelstrom         | 29.60028% | 4221   | 29.600% | 3615   | 34.164% | 
 | 2    | Astrolotl          | 21.98457% | 3135   | 21.985% | 2281   | 21.557% | 
 | 3    | Cawmodore          | 20.28050% | 2892   | 20.281% | 2227   | 21.047% | 
 | 4    | Miasmaw            | 19.56522% | 2790   | 19.565% | 1914   | 18.089% | 
 | 5    | Equilibra          | 18.87798% | 2692   | 18.878% | 2075   | 19.610% | 
 | 6    | Stratagem          | 18.80084% | 2681   | 18.801% | 2011   | 19.005% | 
 | 7    | Caribolt           | 18.23983% | 2601   | 18.240% | 1849   | 17.474% | 
 | 8    | Revenankh          | 17.98036% | 2564   | 17.980% | 1857   | 17.550% | 
 | 9    | Arghonaut          | 17.00561% | 2425   | 17.006% | 1795   | 16.964% | 
 | 10   | Smokomodo          | 16.99860% | 2424   | 16.999% | 1797   | 16.983% | 
 | 11   | Jumbao             | 15.50491% | 2211   | 15.505% | 1747   | 16.510% | 
 | 12   | Venomicon          | 15.07714% | 2150   | 15.077% | 1702   | 16.085% | 
 | 13   | Tomohawk           | 15.00701% | 2140   | 15.007% | 1631   | 15.414% | 
 | 14   | Colossoil          | 14.98597% | 2137   | 14.986% | 1558   | 14.724% | 
 | 15   | Kitsunoh           | 12.70687% | 1812   | 12.707% | 1341   | 12.673% | 
 | 16   | Pajantom           | 12.49649% | 1782   | 12.496% | 1279   | 12.088% | 
 | 17   | Syclant            | 12.23703% | 1745   | 12.237% | 1246   | 11.776% | 
 | 18   | Aurumoth           | 12.12482% | 1729   | 12.125% | 1189   | 11.237% | 
 | 19   | Krilowatt          | 11.90743% | 1698   | 11.907% | 1345   | 12.711% | 
 | 20   | Crucibelle         | 11.88640% | 1695   | 11.886% | 1401   | 13.241% | 
 | 21   | Naviathan          | 11.25526% | 1605   | 11.255% | 1043   |  9.857% | 
 | 22   | Pyroak             | 10.84151% | 1546   | 10.842% | 1098   | 10.377% | 
 | 23   | Saharaja           | 10.62412% | 1515   | 10.624% | 1129   | 10.670% | 
 | 24   | Chromera           | 10.20337% | 1455   | 10.203% | 1041   |  9.838% | 
 | 25   | Cyclohm            | 10.17532% | 1451   | 10.175% | 1047   |  9.895% | 
 | 26   | Plasmanta          | 10.04909% | 1433   | 10.049% | 1099   | 10.386% | 
 | 27   | Malaconda          |  9.94390% | 1418   |  9.944% | 1048   |  9.904% | 
 | 28   | Volkraken          |  9.69846% | 1383   |  9.698% | 971    |  9.177% | 
 | 29   | Great Tusk         |  8.68864% | 1239   |  8.689% | 945    |  8.931% | 
 | 30   | Voodoom            |  8.66760% | 1236   |  8.668% | 871    |  8.232% | 
 | 31   | Gholdengo          |  7.38429% | 1053   |  7.384% | 745    |  7.041% | 
 | 32   | Mollux             |  7.24404% | 1033   |  7.244% | 761    |  7.192% | 
 | 33   | Fidgit             |  7.18794% | 1025   |  7.188% | 875    |  8.269% | 
 | 34   | Venomicon-Epilogue |  6.86536% | 979    |  6.865% | 749    |  7.079% | 
 | 35   | Kerfluffle         |  6.83731% | 975    |  6.837% | 684    |  6.464% | 
 | 36   | Walking Wake       |  6.73913% | 961    |  6.739% | 714    |  6.748% | 
 | 37   | Necturna           |  6.19215% | 883    |  6.192% | 596    |  5.633% | 
 | 38   | Iron Valiant       |  6.06592% | 865    |  6.066% | 545    |  5.151% | 
 | 39   | Skeledirge         |  6.03787% | 861    |  6.038% | 651    |  6.152% | 
 | 40   | Garganacl          |  5.40673% | 771    |  5.407% | 601    |  5.680% | 
 | 41   | Roaring Moon       |  5.38569% | 768    |  5.386% | 582    |  5.500% | 
 | 42   | Dragapult          |  4.74755% | 677    |  4.748% | 534    |  5.047% | 
 | 43   | Zoroark-Hisui      |  4.36185% | 622    |  4.362% | 286    |  2.703% | 
 | 44   | Meowscarada        |  4.20056% | 599    |  4.201% | 487    |  4.603% | 
 | 45   | Orthworm           |  3.91304% | 558    |  3.913% | 479    |  4.527% | 
 | 46   | Glimmora           |  3.74474% | 534    |  3.745% | 486    |  4.593% | 
 | 47   | Cinderace          |  2.98036% | 425    |  2.980% | 294    |  2.779% | 
 | 48   | Kingambit          |  2.90323% | 414    |  2.903% | 268    |  2.533% | 
 | 49   | Iron Moth          |  2.67882% | 382    |  2.679% | 294    |  2.779% | 
 | 50   | Dragonite          |  2.66480% | 380    |  2.665% | 261    |  2.467% | 
 | 51   | Corviknight        |  2.64376% | 377    |  2.644% | 309    |  2.920% | 
 | 52   | Hatterene          |  2.59467% | 370    |  2.595% | 268    |  2.533% | 
 | 53   | Rotom-Wash         |  2.27910% | 325    |  2.279% | 276    |  2.608% | 
 | 54   | Clodsire           |  2.20196% | 314    |  2.202% | 241    |  2.278% | 
 | 55   | Grimmsnarl         |  2.13885% | 305    |  2.139% | 258    |  2.438% | 
 | 56   | Garchomp           |  2.01262% | 287    |  2.013% | 232    |  2.193% | 
 | 57   | Volcarona          |  1.88640% | 269    |  1.886% | 166    |  1.569% | 
 | 58   | Iron Leaves        |  1.47265% | 210    |  1.473% | 155    |  1.465% | 
 | 59   | Greninja           |  1.39551% | 199    |  1.396% | 166    |  1.569% | 
 | 60   | Tyranitar          |  1.22020% | 174    |  1.220% | 146    |  1.380% | 
 | 61   | Ceruledge          |  1.19215% | 170    |  1.192% | 111    |  1.049% | 
 | 62   | Baxcalibur         |  1.15007% | 164    |  1.150% | 114    |  1.077% | 
 | 63   | Ting-Lu            |  1.14306% | 163    |  1.143% | 140    |  1.323% | 
 | 64   | Toxapex            |  1.03086% | 147    |  1.031% | 111    |  1.049% | 
 | 65   | Pelipper           |  0.94670% | 135    |  0.947% | 120    |  1.134% | 
 | 66   | Slowking           |  0.92567% | 132    |  0.926% | 109    |  1.030% | 
 | 67   | Breloom            |  0.82749% | 118    |  0.827% | 91     |  0.860% | 
 | 68   | Armarouge          |  0.80645% | 115    |  0.806% | 82     |  0.775% | 
 | 69   | Scream Tail        |  0.79944% | 114    |  0.799% | 91     |  0.860% | 
 | 70   | Quaquaval          |  0.75736% | 108    |  0.757% | 74     |  0.699% | 
 | 71   | Dondozo            |  0.72931% | 104    |  0.729% | 74     |  0.699% | 
 | 72   | Torkoal            |  0.70827% | 101    |  0.708% | 86     |  0.813% | 
 | 73   | Azumarill          |  0.70126% | 100    |  0.701% | 77     |  0.728% | 
 | 74   | Scovillain         |  0.70126% | 100    |  0.701% | 73     |  0.690% | 
 | 75   | Amoonguss          |  0.70126% | 100    |  0.701% | 82     |  0.775% | 
 | 76   | Maushold           |  0.65919% | 94     |  0.659% | 64     |  0.605% | 
 | 77   | Iron Treads        |  0.64516% | 92     |  0.645% | 75     |  0.709% | 
 | 78   | Blissey            |  0.62412% | 89     |  0.624% | 77     |  0.728% | 
 | 79   | Flarelm            |  0.61711% | 88     |  0.617% | 60     |  0.567% | 
 | 80   | Pawmot             |  0.61711% | 88     |  0.617% | 63     |  0.595% | 
 | 81   | Scizor             |  0.61010% | 87     |  0.610% | 70     |  0.662% | 
 | 82   | Tinkaton           |  0.58906% | 84     |  0.589% | 75     |  0.709% | 
 | 83   | Pincurchin         |  0.57504% | 82     |  0.575% | 75     |  0.709% | 
 | 84   | Hydreigon          |  0.54698% | 78     |  0.547% | 64     |  0.605% | 
 | 85   | Charizard          |  0.53296% | 76     |  0.533% | 59     |  0.558% | 
 | 86   | Polteageist        |  0.50491% | 72     |  0.505% | 51     |  0.482% | 
 | 87   | Lokix              |  0.47686% | 68     |  0.477% | 56     |  0.529% | 
 | 88   | Slither Wing       |  0.46985% | 67     |  0.470% | 40     |  0.378% | 
 | 89   | Lucario            |  0.46283% | 66     |  0.463% | 50     |  0.473% | 
 | 90   | Forretress         |  0.44881% | 64     |  0.449% | 52     |  0.491% | 
 | 91   | Gengar             |  0.41374% | 59     |  0.414% | 42     |  0.397% | 
 | 92   | Iron Hands         |  0.39972% | 57     |  0.400% | 38     |  0.359% | 
 | 93   | Sandy Shocks       |  0.39271% | 56     |  0.393% | 48     |  0.454% | 
 | 94   | Cloyster           |  0.37167% | 53     |  0.372% | 45     |  0.425% | 
 | 95   | Floatzel           |  0.37167% | 53     |  0.372% | 43     |  0.406% | 
 | 96   | Brute Bonnet       |  0.36466% | 52     |  0.365% | 37     |  0.350% | 
 | 97   | Mimikyu            |  0.35063% | 50     |  0.351% | 37     |  0.350% | 
 | 98   | Gyarados           |  0.35063% | 50     |  0.351% | 42     |  0.397% | 
 | 99   | Bisharp            |  0.33661% | 48     |  0.337% | 39     |  0.369% | 
 | 100  | Iron Jugulis       |  0.33661% | 48     |  0.337% | 31     |  0.293% | 
 | 101  | Salamence          |  0.32959% | 47     |  0.330% | 39     |  0.369% | 
 | 102  | Umbreon            |  0.32258% | 46     |  0.323% | 34     |  0.321% | 
 | 103  | Gardevoir          |  0.31557% | 45     |  0.316% | 41     |  0.387% | 
 | 104  | Gastrodon          |  0.30154% | 43     |  0.302% | 34     |  0.321% | 
 | 105  | Ditto              |  0.29453% | 42     |  0.295% | 30     |  0.284% | 
 | 106  | Gallade            |  0.27349% | 39     |  0.273% | 30     |  0.284% | 
 | 107  | Arboliva           |  0.25245% | 36     |  0.252% | 29     |  0.274% | 
 | 108  | Magnezone          |  0.25245% | 36     |  0.252% | 30     |  0.284% | 
 | 109  | Abomasnow          |  0.25245% | 36     |  0.252% | 33     |  0.312% | 
 | 110  | Espeon             |  0.24544% | 35     |  0.245% | 23     |  0.217% | 
 | 111  | Arcanine           |  0.23843% | 34     |  0.238% | 25     |  0.236% | 
