 Total battles: 236
 Avg. weight/team: 0.003
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Vaporeon           | 56.79183% | 31     |  6.568% | 23     |  6.342% | 
 | 2    | Barraskewda        | 40.23693% | 85     | 18.008% | 64     | 17.647% | 
 | 3    | Garganacl          | 38.26373% | 143    | 30.297% | 103    | 28.401% | 
 | 4    | Stonjourner        | 29.86240% | 31     |  6.568% | 26     |  7.169% | 
 | 5    | Meowscarada        | 29.39533% | 57     | 12.076% | 49     | 13.511% | 
 | 6    | Hippowdon          | 29.07606% | 50     | 10.593% | 41     | 11.305% | 
 | 7    | Tyranitar          | 29.07606% | 6      |  1.271% | 6      |  1.654% | 
 | 8    | Mismagius          | 29.07606% | 5      |  1.059% | 5      |  1.379% | 
 | 9    | Gyarados           | 28.57791% | 45     |  9.534% | 38     | 10.478% | 
 | 10   | Gholdengo          | 27.57741% | 12     |  2.542% | 9      |  2.482% | 
 | 11   | Floatzel           | 27.57739% | 12     |  2.542% | 8      |  2.206% | 
 | 12   | Pelipper           | 27.57739% | 6      |  1.271% | 4      |  1.103% | 
 | 13   | Iron Hands         | 24.04847% | 125    | 26.483% | 102    | 28.125% | 
 | 14   | Flamigo            | 22.29837% | 29     |  6.144% | 20     |  5.515% | 
 | 15   | Jolteon            | 22.17004% | 28     |  5.932% | 22     |  6.066% | 
 | 16   | Alomomola          | 22.13919% | 14     |  2.966% | 13     |  3.585% | 
 | 17   | Gastrodon          | 22.13919% | 12     |  2.542% | 11     |  3.033% | 
 | 18   | Iron Jugulis       | 12.33606% | 24     |  5.085% | 21     |  5.790% | 
 | 19   | Skeledirge         | 12.22605% | 30     |  6.356% | 24     |  6.618% | 
 | 20   | Dudunsparce        | 12.22507% | 13     |  2.754% | 13     |  3.585% | 
 | 21   | Weavile            | 12.18035% | 18     |  3.814% | 16     |  4.412% | 
 | 22   | Walking Wake       |  7.02157% | 135    | 28.602% | 102    | 28.125% | 
