 Total battles: 999
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Foongus            | 33.83383% | 676    | 33.834% | 474    | 36.133% | 
 | 2    | Glimmet            | 24.27427% | 485    | 24.274% | 301    | 22.945% | 
 | 3    | Pawniard           | 20.87087% | 417    | 20.871% | 280    | 21.344% | 
 | 4    | Misdreavus         | 18.41842% | 368    | 18.418% | 239    | 18.219% | 
 | 5    | Mudbray            | 17.86787% | 357    | 17.868% | 245    | 18.676% | 
 | 6    | Impidimp           | 16.11612% | 322    | 16.116% | 213    | 16.237% | 
 | 7    | Growlithe          | 15.91592% | 318    | 15.916% | 194    | 14.788% | 
 | 8    | Zorua-Hisui        | 13.51351% | 270    | 13.514% | 134    | 10.215% | 
 | 9    | Drifloon           | 13.36336% | 267    | 13.363% | 151    | 11.511% | 
 | 10   | Meowth             | 13.21321% | 264    | 13.213% | 183    | 13.950% | 
 | 11   | Wattrel            | 12.46246% | 249    | 12.462% | 147    | 11.206% | 
 | 12   | Litleo             | 12.01201% | 240    | 12.012% | 162    | 12.349% | 
 | 13   | Finneon            | 11.81181% | 236    | 11.812% | 155    | 11.816% | 
 | 14   | Toedscool          | 11.21121% | 224    | 11.211% | 147    | 11.206% | 
 | 15   | Buizel             | 10.26026% | 205    | 10.260% | 142    | 10.825% | 
 | 16   | Girafarig          |  9.80981% | 196    |  9.810% | 125    |  9.529% | 
 | 17   | Riolu              |  9.45946% | 189    |  9.459% | 128    |  9.757% | 
 | 18   | Tinkatink          |  9.15916% | 183    |  9.159% | 123    |  9.376% | 
 | 19   | Larvitar           |  9.10911% | 182    |  9.109% | 140    | 10.672% | 
 | 20   | Gothita            |  8.90891% | 178    |  8.909% | 120    |  9.148% | 
 | 21   | Surskit            |  8.10811% | 162    |  8.108% | 82     |  6.251% | 
 | 22   | Cetoddle           |  8.05806% | 161    |  8.058% | 105    |  8.004% | 
 | 23   | Shroodle           |  7.75776% | 155    |  7.758% | 105    |  8.004% | 
 | 24   | Bronzor            |  7.35736% | 147    |  7.357% | 99     |  7.547% | 
 | 25   | Crabrawler         |  7.00701% | 140    |  7.007% | 75     |  5.717% | 
 | 26   | Maschiff           |  6.75676% | 135    |  6.757% | 87     |  6.632% | 
 | 27   | Magnemite          |  6.60661% | 132    |  6.607% | 95     |  7.242% | 
 | 28   | Cacnea             |  6.55656% | 131    |  6.557% | 87     |  6.632% | 
 | 29   | Diglett            |  6.55656% | 131    |  6.557% | 81     |  6.175% | 
 | 30   | Fletchling         |  6.20621% | 124    |  6.206% | 77     |  5.870% | 
 | 31   | Slowpoke           |  6.10611% | 122    |  6.106% | 81     |  6.175% | 
 | 32   | Croagunk           |  5.85586% | 117    |  5.856% | 81     |  6.175% | 
 | 33   | Axew               |  5.45546% | 109    |  5.455% | 76     |  5.793% | 
 | 34   | Larvesta           |  5.45546% | 109    |  5.455% | 81     |  6.175% | 
 | 35   | Bramblin           |  5.40541% | 108    |  5.405% | 73     |  5.565% | 
 | 36   | Swablu             |  5.35536% | 107    |  5.355% | 72     |  5.489% | 
 | 37   | Sprigatito         |  5.15516% | 103    |  5.155% | 74     |  5.641% | 
 | 38   | Hippopotas         |  4.90490% | 98     |  4.905% | 64     |  4.879% | 
 | 39   | Wingull            |  4.70470% | 94     |  4.705% | 59     |  4.498% | 
 | 40   | Makuhita           |  4.45445% | 89     |  4.454% | 64     |  4.879% | 
 | 41   | Charmander         |  4.45445% | 89     |  4.454% | 65     |  4.955% | 
 | 42   | Deerling           |  4.30430% | 86     |  4.304% | 53     |  4.040% | 
 | 43   | Azurill            |  4.25425% | 85     |  4.254% | 59     |  4.498% | 
 | 44   | Shellos            |  4.10410% | 82     |  4.104% | 55     |  4.193% | 
 | 45   | Rufflet            |  4.05405% | 81     |  4.054% | 56     |  4.269% | 
 | 46   | Sandile            |  4.05405% | 81     |  4.054% | 52     |  3.964% | 
 | 47   | Clauncher          |  4.00400% | 80     |  4.004% | 56     |  4.269% | 
 | 48   | Houndour           |  4.00400% | 80     |  4.004% | 60     |  4.574% | 
 | 49   | Snover             |  3.95395% | 79     |  3.954% | 54     |  4.116% | 
 | 50   | Meditite           |  3.90390% | 78     |  3.904% | 57     |  4.345% | 
 | 51   | Bagon              |  3.90390% | 78     |  3.904% | 57     |  4.345% | 
 | 52   | Numel              |  3.85385% | 77     |  3.854% | 48     |  3.659% | 
 | 53   | Voltorb            |  3.50350% | 70     |  3.504% | 45     |  3.430% | 
 | 54   | Froakie            |  3.45345% | 69     |  3.453% | 46     |  3.507% | 
 | 55   | Grimer             |  3.35335% | 67     |  3.353% | 50     |  3.811% | 
 | 56   | Eevee              |  3.30330% | 66     |  3.303% | 44     |  3.354% | 
 | 57   | Fuecoco            |  3.30330% | 66     |  3.303% | 43     |  3.278% | 
 | 58   | Mankey             |  3.30330% | 66     |  3.303% | 44     |  3.354% | 
 | 59   | Flittle            |  3.25325% | 65     |  3.253% | 39     |  2.973% | 
 | 60   | Finizen            |  3.15315% | 63     |  3.153% | 43     |  3.278% | 
 | 61   | Arrokuda           |  3.15315% | 63     |  3.153% | 38     |  2.897% | 
 | 62   | Skiddo             |  3.00300% | 60     |  3.003% | 45     |  3.430% | 
 | 63   | Quaxly             |  2.95295% | 59     |  2.953% | 45     |  3.430% | 
 | 64   | Mareanie           |  2.95295% | 59     |  2.953% | 39     |  2.973% | 
 | 65   | Bonsly             |  2.85285% | 57     |  2.853% | 36     |  2.744% | 
