 Total battles: 57195
 Avg. weight/team: 0.01
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Miraidon           | 71.80546% | 26180  | 22.887% | 16268  | 23.153% | 
 | 2    | Koraidon           | 59.91435% | 24011  | 20.990% | 13376  | 19.037% | 
 | 3    | Flutter Mane       | 59.19680% | 32693  | 28.580% | 21296  | 30.309% | 
 | 4    | Murkrow            | 36.71024% | 16848  | 14.729% | 9469   | 13.477% | 
 | 5    | Iron Hands         | 24.73216% | 10811  |  9.451% | 6833   |  9.725% | 
 | 6    | Iron Bundle        | 22.35236% | 13339  | 11.661% | 8557   | 12.179% | 
 | 7    | Dragonite          | 19.71553% | 8883   |  7.766% | 5413   |  7.704% | 
 | 8    | Walking Wake       | 18.74093% | 19117  | 16.712% | 12295  | 17.499% | 
 | 9    | Grimmsnarl         | 17.22435% | 9494   |  8.300% | 5712   |  8.129% | 
 | 10   | Iron Moth          | 14.99037% | 4427   |  3.870% | 2841   |  4.043% | 
 | 11   | Arcanine           | 13.54383% | 9080   |  7.938% | 5839   |  8.310% | 
 | 12   | Chien-Pao          | 13.48178% | 8003   |  6.996% | 4940   |  7.031% | 
 | 13   | Chi-Yu             | 12.26313% | 8085   |  7.068% | 5056   |  7.196% | 
 | 14   | Talonflame         | 11.78931% | 5590   |  4.887% | 3101   |  4.413% | 
 | 15   | Amoonguss          | 10.65885% | 16905  | 14.778% | 10645  | 15.150% | 
 | 16   | Iron Leaves        |  9.95393% | 7513   |  6.568% | 4800   |  6.832% | 
 | 17   | Tyranitar          |  9.76529% | 4399   |  3.846% | 2644   |  3.763% | 
 | 18   | Glimmora           |  9.69115% | 6829   |  5.970% | 3531   |  5.025% | 
 | 19   | Houndstone         |  8.86558% | 4670   |  4.083% | 2688   |  3.826% | 
 | 20   | Ditto              |  7.45843% | 3390   |  2.964% | 2167   |  3.084% | 
 | 21   | Dondozo            |  6.93285% | 22138  | 19.353% | 14446  | 20.560% | 
 | 22   | Tatsugiri          |  6.90809% | 22702  | 19.846% | 13150  | 18.715% | 
 | 23   | Mimikyu            |  6.86231% | 2846   |  2.488% | 1764   |  2.511% | 
 | 24   | Iron Treads        |  6.62281% | 2260   |  1.976% | 1480   |  2.106% | 
 | 25   | Great Tusk         |  6.52505% | 9044   |  7.906% | 5681   |  8.085% | 
 | 26   | Torkoal            |  5.78953% | 13729  | 12.002% | 8069   | 11.484% | 
 | 27   | Annihilape         |  5.40317% | 21146  | 18.486% | 12395  | 17.641% | 
 | 28   | Roaring Moon       |  5.08547% | 6410   |  5.604% | 3957   |  5.632% | 
 | 29   | Armarouge          |  4.86267% | 12600  | 11.015% | 7634   | 10.865% | 
 | 30   | Indeedee-F         |  4.80988% | 11695  | 10.224% | 6846   |  9.743% | 
 | 31   | Iron Jugulis       |  4.77370% | 1781   |  1.557% | 1075   |  1.530% | 
 | 32   | Gholdengo          |  4.55221% | 13432  | 11.742% | 8706   | 12.391% | 
 | 33   | Iron Valiant       |  4.52532% | 4819   |  4.213% | 3006   |  4.278% | 
 | 34   | Charizard          |  3.56068% | 2450   |  2.142% | 1662   |  2.365% | 
 | 35   | Garganacl          |  3.55499% | 9235   |  8.073% | 5987   |  8.521% | 
 | 36   | Sylveon            |  3.16374% | 4429   |  3.872% | 2966   |  4.221% | 
 | 37   | Scream Tail        |  3.08263% | 4025   |  3.519% | 2473   |  3.520% | 
 | 38   | Ting-Lu            |  2.69197% | 2422   |  2.117% | 1600   |  2.277% | 
 | 39   | Kingambit          |  2.65862% | 9050   |  7.912% | 5567   |  7.923% | 
 | 40   | Wo-Chien           |  2.61896% | 2206   |  1.928% | 1474   |  2.098% | 
 | 41   | Brute Bonnet       |  2.57411% | 4497   |  3.931% | 2899   |  4.126% | 
 | 42   | Hatterene          |  2.47703% | 4918   |  4.299% | 3078   |  4.381% | 
 | 43   | Pelipper           |  2.16180% | 5993   |  5.239% | 3632   |  5.169% | 
 | 44   | Maushold           |  2.13507% | 16743  | 14.637% | 10388  | 14.785% | 
 | 45   | Ceruledge          |  2.03079% | 5736   |  5.014% | 3811   |  5.424% | 
 | 46   | Palafin            |  2.02071% | 9942   |  8.691% | 7648   | 10.885% | 
 | 47   | Gothitelle         |  2.01508% | 4789   |  4.187% | 3267   |  4.650% | 
 | 48   | Meowscarada        |  1.91991% | 11352  |  9.924% | 7267   | 10.343% | 
 | 49   | Tinkaton           |  1.44174% | 2305   |  2.015% | 1497   |  2.131% | 
 | 50   | Volcarona          |  1.35792% | 5844   |  5.109% | 3617   |  5.148% | 
 | 51   | Farigiraf          |  1.26411% | 3516   |  3.074% | 1726   |  2.456% | 
 | 52   | Baxcalibur         |  1.21529% | 4339   |  3.793% | 2716   |  3.865% | 
 | 53   | Scovillain         |  1.19966% | 2636   |  2.304% | 1687   |  2.401% | 
 | 54   | Garchomp           |  1.19879% | 6954   |  6.079% | 4432   |  6.308% | 
 | 55   | Iron Thorns        |  1.07318% | 901    |  0.788% | 543    |  0.773% | 
 | 56   | Toxapex            |  1.06678% | 1376   |  1.203% | 843    |  1.200% | 
 | 57   | Sableye            |  1.05069% | 2182   |  1.908% | 1256   |  1.788% | 
 | 58   | Flamigo            |  1.03027% | 10402  |  9.093% | 7485   | 10.653% | 
 | 59   | Slither Wing       |  1.00366% | 841    |  0.735% | 551    |  0.784% | 
 | 60   | Dragapult          |  0.93598% | 5368   |  4.693% | 3488   |  4.964% | 
 | 61   | Pawmot             |  0.89904% | 3287   |  2.874% | 2148   |  3.057% | 
 | 62   | Dragalge           |  0.80398% | 350    |  0.306% | 209    |  0.297% | 
 | 63   | Zoroark-Hisui      |  0.75035% | 6459   |  5.646% | 2412   |  3.433% | 
 | 64   | Gardevoir          |  0.73803% | 1253   |  1.095% | 856    |  1.218% | 
 | 65   | Oranguru           |  0.73731% | 2380   |  2.081% | 1406   |  2.001% | 
 | 66   | Kilowattrel        |  0.66814% | 3317   |  2.900% | 2028   |  2.886% | 
