 Total battles: 11345
 Avg. weight/team: 0.533
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ceruledge          | 16.36064% | 3433   | 15.130% | 2369   | 16.314% | 
 | 2    | Iron Moth          | 15.38879% | 3274   | 14.429% | 2156   | 14.847% | 
 | 3    | Salamence          | 15.12833% | 3128   | 13.786% | 2108   | 14.516% | 
 | 4    | Grafaiai           | 14.85069% | 3307   | 14.575% | 2014   | 13.869% | 
 | 5    | Skeledirge         | 14.36833% | 2973   | 13.103% | 1932   | 13.304% | 
 | 6    | Scizor             | 13.87923% | 2793   | 12.309% | 1928   | 13.277% | 
 | 7    | Flamigo            | 13.07223% | 3148   | 13.874% | 2088   | 14.379% | 
 | 8    | Arboliva           | 12.65716% | 2909   | 12.821% | 1857   | 12.788% | 
 | 9    | Azumarill          | 12.57633% | 2790   | 12.296% | 1869   | 12.871% | 
 | 10   | Iron Jugulis       | 12.04629% | 2326   | 10.251% | 1507   | 10.378% | 
 | 11   | Tinkaton           | 11.37072% | 2379   | 10.485% | 1637   | 11.273% | 
 | 12   | Espathra           | 11.32750% | 2591   | 11.419% | 1646   | 11.335% | 
 | 13   | Gastrodon          | 10.89560% | 2545   | 11.216% | 1803   | 12.416% | 
 | 14   | Breloom            |  9.96122% | 2244   |  9.890% | 1427   |  9.827% | 
 | 15   | Talonflame         |  9.42235% | 2191   |  9.656% | 1331   |  9.166% | 
 | 16   | Hariyama           |  9.36155% | 2003   |  8.828% | 1312   |  9.035% | 
 | 17   | Quaquaval          |  9.21105% | 2075   |  9.145% | 1398   |  9.627% | 
 | 18   | Iron Valiant       |  9.15917% | 1906   |  8.400% | 1166   |  8.029% | 
 | 19   | Gallade            |  9.13229% | 1992   |  8.779% | 1289   |  8.876% | 
 | 20   | Sandy Shocks       |  8.98137% | 1888   |  8.321% | 1260   |  8.677% | 
 | 21   | Clodsire           |  8.76924% | 2204   |  9.714% | 1435   |  9.882% | 
 | 22   | Klefki             |  8.50890% | 1976   |  8.709% | 1145   |  7.885% | 
 | 23   | Pawmot             |  8.47617% | 1778   |  7.836% | 1072   |  7.382% | 
 | 24   | Kilowattrel        |  8.38929% | 1868   |  8.233% | 1186   |  8.167% | 
 | 25   | Sableye            |  8.21659% | 1936   |  8.532% | 1203   |  8.284% | 
 | 26   | Slaking            |  8.15515% | 1812   |  7.986% | 1117   |  7.692% | 
 | 27   | Oranguru           |  8.05812% | 1850   |  8.153% | 1199   |  8.257% | 
 | 28   | Scream Tail        |  7.67351% | 1642   |  7.237% | 1007   |  6.935% | 
 | 29   | Toedscruel         |  7.46546% | 1527   |  6.730% | 976    |  6.721% | 
 | 30   | Tauros-Paldea-Aqua |  7.08858% | 1470   |  6.479% | 1060   |  7.300% | 
 | 31   | Weavile            |  6.82849% | 1563   |  6.888% | 1033   |  7.114% | 
 | 32   | Mimikyu            |  6.57807% | 1438   |  6.338% | 888    |  6.115% | 
 | 33   | Dudunsparce        |  6.45270% | 1548   |  6.822% | 912    |  6.280% | 
 | 34   | Pachirisu          |  6.10832% | 1493   |  6.580% | 884    |  6.088% | 
 | 35   | Gardevoir          |  5.97175% | 1387   |  6.113% | 881    |  6.067% | 
 | 36   | Iron Treads        |  5.30854% | 1127   |  4.967% | 728    |  5.013% | 
 | 37   | Greninja           |  5.19441% | 1226   |  5.403% | 791    |  5.447% | 
 | 38   | Clawitzer          |  5.19252% | 1278   |  5.632% | 832    |  5.729% | 
 | 39   | Slowking           |  5.11917% | 1185   |  5.223% | 840    |  5.785% | 
 | 40   | Pincurchin         |  5.02815% | 1114   |  4.910% | 532    |  3.664% | 
 | 41   | Jolteon            |  4.67614% | 1020   |  4.495% | 683    |  4.703% | 
 | 42   | Indeedee           |  4.23431% | 776    |  3.420% | 439    |  3.023% | 
 | 43   | Krookodile         |  4.12413% | 950    |  4.187% | 530    |  3.650% | 
 | 44   | Slither Wing       |  4.09972% | 903    |  3.980% | 559    |  3.849% | 
 | 45   | Coalossal          |  3.81300% | 983    |  4.332% | 564    |  3.884% | 
 | 46   | Orthworm           |  3.80956% | 970    |  4.275% | 627    |  4.318% | 
 | 47   | Tsareena           |  3.77106% | 759    |  3.345% | 526    |  3.622% | 
 | 48   | Gengar             |  3.68685% | 837    |  3.689% | 543    |  3.739% | 
 | 49   | Bisharp            |  3.63561% | 761    |  3.354% | 506    |  3.484% | 
 | 50   | Frosmoth           |  3.45813% | 924    |  4.072% | 596    |  4.104% | 
 | 51   | Espeon             |  3.43158% | 841    |  3.706% | 579    |  3.987% | 
 | 52   | Oricorio-Pom-Pom   |  3.41683% | 867    |  3.821% | 504    |  3.471% | 
 | 53   | Hippowdon          |  3.35039% | 704    |  3.103% | 420    |  2.892% | 
