 Total battles: 146507
 Avg. weight/team: 0.03
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Meowscarada        | 37.64662% | 99784  | 34.054% | 72401  | 34.012% | 
 | 2    | Dragapult          | 37.43977% | 98506  | 33.618% | 69361  | 32.584% | 
 | 3    | Iron Treads        | 32.16890% | 60862  | 20.771% | 45502  | 21.375% | 
 | 4    | Skeledirge         | 30.82706% | 77260  | 26.367% | 57279  | 26.908% | 
 | 5    | Glimmora           | 26.35388% | 69114  | 23.587% | 59084  | 27.756% | 
 | 6    | Quaquaval          | 20.71295% | 58122  | 19.836% | 41953  | 19.708% | 
 | 7    | Hatterene          | 17.36882% | 38556  | 13.158% | 27006  | 12.687% | 
 | 8    | Iron Moth          | 15.65220% | 41392  | 14.126% | 29565  | 13.889% | 
 | 9    | Kingambit          | 15.53659% | 22203  |  7.577% | 15263  |  7.170% | 
 | 10   | Garganacl          | 14.52906% | 51394  | 17.540% | 37335  | 17.539% | 
 | 11   | Corviknight        | 12.32873% | 30011  | 10.242% | 22930  | 10.772% | 
 | 12   | Pelipper           | 11.00980% | 15368  |  5.245% | 13832  |  6.498% | 
 | 13   | Torkoal            | 10.68293% | 27515  |  9.390% | 22873  | 10.745% | 
 | 14   | Kilowattrel        |  9.58158% | 10793  |  3.683% | 8060   |  3.786% | 
 | 15   | Ting-Lu            |  8.96657% | 19140  |  6.532% | 14932  |  7.015% | 
 | 16   | Iron Valiant       |  8.15976% | 25568  |  8.726% | 17108  |  8.037% | 
 | 17   | Toxapex            |  8.15202% | 29501  | 10.068% | 22630  | 10.631% | 
 | 18   | Volcarona          |  8.09252% | 27918  |  9.528% | 18707  |  8.788% | 
 | 19   | Ceruledge          |  8.07126% | 34627  | 11.818% | 24296  | 11.413% | 
 | 20   | Rotom-Wash         |  8.06311% | 17656  |  6.026% | 14242  |  6.690% | 
 | 21   | Greninja           |  7.51566% | 26593  |  9.076% | 21354  | 10.031% | 
 | 22   | Azumarill          |  7.37148% | 27399  |  9.351% | 20340  |  9.555% | 
 | 23   | Dondozo            |  7.25669% | 15859  |  5.412% | 12028  |  5.650% | 
 | 24   | Gholdengo          |  6.84215% | 22391  |  7.642% | 15246  |  7.162% | 
 | 25   | Qwilfish           |  6.50380% | 8953   |  3.055% | 6939   |  3.260% | 
