 Total battles: 702
 Avg. weight/team: 0.012
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Koraidon           | 59.17489% | 572    | 40.741% | 454    | 41.658% | 
 | 2    | Toxapex            | 51.15229% | 309    | 22.009% | 255    | 23.398% | 
 | 3    | Dragapult          | 44.65850% | 232    | 16.524% | 183    | 16.792% | 
 | 4    | Clodsire           | 38.31489% | 330    | 23.504% | 276    | 25.325% | 
 | 5    | Dondozo            | 37.40299% | 95     |  6.766% | 74     |  6.790% | 
 | 6    | Miraidon           | 35.37027% | 549    | 39.103% | 416    | 38.171% | 
 | 7    | Ting-Lu            | 33.34068% | 194    | 13.818% | 162    | 14.865% | 
 | 8    | Gholdengo          | 23.73910% | 209    | 14.886% | 153    | 14.039% | 
 | 9    | Wo-Chien           | 20.35821% | 19     |  1.353% | 17     |  1.560% | 
 | 10   | Iron Treads        | 18.33622% | 245    | 17.450% | 201    | 18.443% | 
 | 11   | Hatterene          | 15.61308% | 231    | 16.453% | 186    | 17.067% | 
 | 12   | Kingambit          | 14.71081% | 219    | 15.598% | 147    | 13.488% | 
 | 13   | Corviknight        | 14.25811% | 118    |  8.405% | 87     |  7.983% | 
 | 14   | Lokix              | 13.17886% | 57     |  4.060% | 46     |  4.221% | 
 | 15   | Scream Tail        | 12.85343% | 203    | 14.459% | 162    | 14.865% | 
 | 16   | Brute Bonnet       | 11.96441% | 80     |  5.698% | 64     |  5.872% | 
 | 17   | Roaring Moon       | 11.57311% | 102    |  7.265% | 73     |  6.698% | 
 | 18   | Rotom-Heat         | 11.41023% | 66     |  4.701% | 59     |  5.414% | 
 | 19   | Baxcalibur         | 10.13284% | 104    |  7.407% | 81     |  7.432% | 
 | 20   | Rotom-Wash         |  7.81783% | 282    | 20.085% | 237    | 21.746% | 
 | 21   | Skeledirge         |  6.99584% | 129    |  9.188% | 99     |  9.084% | 
 | 22   | Iron Moth          |  6.86320% | 212    | 15.100% | 158    | 14.498% | 
 | 23   | Noivern            |  5.83031% | 44     |  3.134% | 33     |  3.028% | 
 | 24   | Tinkaton           |  5.17945% | 139    |  9.900% | 114    | 10.460% | 
 | 25   | Flutter Mane       |  5.08817% | 51     |  3.632% | 42     |  3.854% | 
 | 26   | Breloom            |  5.04212% | 82     |  5.840% | 66     |  6.056% | 
 | 27   | Magnezone          |  4.87223% | 19     |  1.353% | 17     |  1.560% | 
 | 28   | Greninja           |  4.65236% | 104    |  7.407% | 68     |  6.239% | 
 | 29   | Iron Thorns        |  3.93690% | 117    |  8.333% | 94     |  8.625% | 
 | 30   | Volcarona          |  3.86849% | 166    | 11.823% | 127    | 11.653% | 
 | 31   | Scizor             |  3.72233% | 23     |  1.638% | 18     |  1.652% | 
 | 32   | Slither Wing       |  3.71562% | 61     |  4.345% | 53     |  4.863% | 
 | 33   | Hippowdon          |  3.71553% | 12     |  0.855% | 11     |  1.009% | 
 | 34   | Orthworm           |  3.58653% | 106    |  7.550% | 92     |  8.442% | 
 | 35   | Primeape           |  3.54737% | 5      |  0.356% | 5      |  0.459% | 
 | 36   | Mimikyu            |  3.36579% | 47     |  3.348% | 34     |  3.120% | 
 | 37   | Sandy Shocks       |  3.16789% | 34     |  2.422% | 31     |  2.844% | 
 | 38   | Zoroark-Hisui      |  2.68780% | 96     |  6.838% | 46     |  4.221% | 
 | 39   | Torkoal            |  2.61581% | 115    |  8.191% | 92     |  8.442% | 
 | 40   | Dedenne            |  2.41009% | 23     |  1.638% | 18     |  1.652% | 
 | 41   | Bellibolt          |  2.41009% | 24     |  1.709% | 14     |  1.285% | 
 | 42   | Electrode          |  2.41009% | 48     |  3.419% | 25     |  2.294% | 
 | 43   | Weavile            |  2.33755% | 9      |  0.641% | 6      |  0.551% | 
 | 44   | Quaquaval          |  2.31607% | 45     |  3.205% | 36     |  3.303% | 
 | 45   | Walking Wake       |  2.24078% | 82     |  5.840% | 57     |  5.230% | 
 | 46   | Ditto              |  1.92861% | 44     |  3.134% | 28     |  2.569% | 
 | 47   | Iron Leaves        |  1.58849% | 64     |  4.558% | 52     |  4.771% | 
 | 48   | Sylveon            |  1.32580% | 47     |  3.348% | 34     |  3.120% | 
 | 49   | Mudsdale           |  1.32580% | 20     |  1.425% | 18     |  1.652% | 
 | 50   | Meowscarada        |  1.27680% | 83     |  5.912% | 69     |  6.331% | 
 | 51   | Ceruledge          |  1.06065% | 81     |  5.769% | 64     |  5.872% | 
 | 52   | Jumpluff           |  0.87830% | 11     |  0.783% | 7      |  0.642% | 
 | 53   | Scovillain         |  0.84024% | 15     |  1.068% | 10     |  0.918% | 
 | 54   | Polteageist        |  0.84024% | 5      |  0.356% | 3      |  0.275% | 
 | 55   | Pelipper           |  0.82634% | 32     |  2.279% | 25     |  2.294% | 
 | 56   | Cinderace          |  0.67689% | 92     |  6.553% | 66     |  6.056% | 
 | 57   | Maushold           |  0.53639% | 85     |  6.054% | 65     |  5.964% | 
 | 58   | Braviary           |  0.51823% | 4      |  0.285% | 2      |  0.184% | 
 | 59   | Barraskewda        |  0.49192% | 6      |  0.427% | 5      |  0.459% | 
 | 60   | Cloyster           |  0.48677% | 62     |  4.416% | 39     |  3.579% | 
 | 61   | Garchomp           |  0.37960% | 68     |  4.843% | 54     |  4.955% | 
 | 62   | Hawlucha           |  0.35301% | 34     |  2.422% | 24     |  2.202% | 
