 Total battles: 27184
 Avg. weight/team: 0.532
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Pawniard           | 44.87672% | 23023  | 42.347% | 18376  | 42.622% | 
 | 2    | Toedscool          | 43.63858% | 21635  | 39.794% | 17398  | 40.353% | 
 | 3    | Zorua-Hisui        | 35.95896% | 18597  | 34.206% | 10470  | 24.284% | 
 | 4    | Glimmet            | 35.25553% | 19033  | 35.008% | 16700  | 38.734% | 
 | 5    | Diglett            | 28.65261% | 14239  | 26.190% | 11408  | 26.460% | 
 | 6    | Crabrawler         | 22.59559% | 11335  | 20.849% | 9098   | 21.102% | 
 | 7    | Drifloon           | 22.01505% | 11417  | 20.999% | 9008   | 20.893% | 
 | 8    | Quaxly             | 19.09744% | 10050  | 18.485% | 8122   | 18.838% | 
 | 9    | Nymble             | 18.62933% | 9562   | 17.588% | 7677   | 17.806% | 
 | 10   | Mareanie           | 15.30875% | 7548   | 13.883% | 6267   | 14.536% | 
 | 11   | Magnemite          | 12.98037% | 7009   | 12.892% | 5660   | 13.128% | 
 | 12   | Mudbray            | 10.59751% | 5664   | 10.418% | 4498   | 10.433% | 
 | 13   | Wattrel            | 10.57065% | 5195   |  9.555% | 4382   | 10.164% | 
 | 14   | Larvesta           | 10.46558% | 5116   |  9.410% | 4152   |  9.630% | 
 | 15   | Shroodle           |  9.69407% | 5049   |  9.287% | 4347   | 10.082% | 
 | 16   | Fuecoco            |  9.17496% | 5071   |  9.327% | 3958   |  9.180% | 
 | 17   | Voltorb            |  9.15785% | 4737   |  8.713% | 3842   |  8.911% | 
 | 18   | Foongus            |  7.86223% | 4082   |  7.508% | 3381   |  7.842% | 
 | 19   | Buizel             |  7.14509% | 4137   |  7.609% | 3285   |  7.619% | 
 | 20   | Meowth             |  6.82773% | 3835   |  7.054% | 3280   |  7.608% | 
 | 21   | Mankey             |  6.73735% | 3472   |  6.386% | 2739   |  6.353% | 
 | 22   | Surskit            |  6.70418% | 3368   |  6.195% | 3134   |  7.269% | 
 | 23   | Greavard           |  6.37699% | 3042   |  5.595% | 2505   |  5.810% | 
 | 24   | Cetoddle           |  6.33963% | 3945   |  7.256% | 3083   |  7.151% | 
 | 25   | Tinkatink          |  5.97038% | 3091   |  5.685% | 2647   |  6.139% | 
 | 26   | Shellder           |  5.49133% | 2967   |  5.457% | 2410   |  5.590% | 
 | 27   | Gothita            |  5.39424% | 2486   |  4.573% | 1914   |  4.439% | 
 | 28   | Deerling           |  5.27057% | 3095   |  5.693% | 2458   |  5.701% | 
 | 29   | Bramblin           |  5.16992% | 3047   |  5.604% | 2460   |  5.706% | 
 | 30   | Clauncher          |  5.03804% | 2992   |  5.503% | 2477   |  5.745% | 
 | 31   | Impidimp           |  4.96116% | 2981   |  5.483% | 2554   |  5.924% | 
 | 32   | Sandile            |  4.94990% | 2506   |  4.609% | 2066   |  4.792% | 
 | 33   | Axew               |  4.92567% | 3201   |  5.888% | 2429   |  5.634% | 
 | 34   | Wingull            |  4.44042% | 2187   |  4.023% | 1851   |  4.293% | 
