 Total battles: 63787
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Venusaur-Mega      | 16.31837% | 20818  | 16.318% | 8604   | 40.306% | 
 | 2    | Zoroark-Hisui      |  8.65772% | 11045  |  8.658% | 5303   | 24.842% | 
 | 3    | Heracross-Mega     |  8.14429% | 10390  |  8.144% | 5103   | 23.905% | 
 | 4    | Ting-Lu            |  7.07589% | 9027   |  7.076% | 4662   | 21.839% | 
 | 5    | Gengar-Mega        |  4.76429% | 6078   |  4.764% | 2529   | 11.847% | 
 | 6    | Blissey            |  4.72197% | 6024   |  4.722% | 3088   | 14.466% | 
 | 7    | Sableye-Mega       |  4.70002% | 5996   |  4.700% | 3529   | 16.532% | 
 | 8    | Ampharos-Mega      |  3.59791% | 4590   |  3.598% | 2460   | 11.524% | 
 | 9    | Dragapult          |  3.41057% | 4351   |  3.411% | 2419   | 11.332% | 
 | 10   | Alakazam-Mega      |  3.26712% | 4168   |  3.267% | 1423   |  6.666% | 
 | 11   | Glastrier          |  3.13779% | 4003   |  3.138% | 1684   |  7.889% | 
 | 12   | Dusclops           |  2.82738% | 3607   |  2.827% | 2366   | 11.084% | 
 | 13   | Mew                |  2.80230% | 3575   |  2.802% | 1702   |  7.973% | 
 | 14   | Gallade-Mega       |  2.10623% | 2687   |  2.106% | 1127   |  5.280% | 
 | 15   | Necturna           |  2.03803% | 2600   |  2.038% | 1938   |  9.079% | 
 | 16   | Deoxys-Attack      |  1.96749% | 2510   |  1.967% | 1326   |  6.212% | 
 | 17   | Dondozo            |  1.96670% | 2509   |  1.967% | 1269   |  5.945% | 
 | 18   | Baxcalibur         |  1.94319% | 2479   |  1.943% | 1489   |  6.975% | 
 | 19   | Tyranitar          |  1.91967% | 2449   |  1.920% | 1679   |  7.865% | 
 | 20   | Dragonite          |  1.88440% | 2404   |  1.884% | 1312   |  6.146% | 
 | 21   | Landorus-Therian   |  1.86950% | 2385   |  1.870% | 911    |  4.268% | 
 | 22   | Deoxys-Defense     |  1.82169% | 2324   |  1.822% | 1016   |  4.760% | 
 | 23   | Gardevoir-Mega     |  1.79739% | 2293   |  1.797% | 1536   |  7.196% | 
 | 24   | Snorlax            |  1.63513% | 2086   |  1.635% | 801    |  3.752% | 
 | 25   | Iron Valiant       |  1.63199% | 2082   |  1.632% | 995    |  4.661% | 
 | 26   | Iron Hands         |  1.61867% | 2065   |  1.619% | 1042   |  4.881% | 
 | 27   | Blacephalon        |  1.61397% | 2059   |  1.614% | 1020   |  4.778% | 
 | 28   | Diancie            |  1.57634% | 2011   |  1.576% | 924    |  4.329% | 
 | 29   | Type: Null         |  1.52617% | 1947   |  1.526% | 565    |  2.647% | 
 | 30   | Astrolotl          |  1.51520% | 1933   |  1.515% | 735    |  3.443% | 
 | 31   | Shuckle            |  1.46660% | 1871   |  1.467% | 952    |  4.460% | 
 | 32   | Guzzlord           |  1.46346% | 1867   |  1.463% | 844    |  3.954% | 
 | 33   | Chansey            |  1.42741% | 1821   |  1.427% | 725    |  3.396% | 
 | 34   | Walking Wake       |  1.40859% | 1797   |  1.409% | 924    |  4.329% | 
 | 35   | Camerupt-Mega      |  1.38273% | 1764   |  1.383% | 1243   |  5.823% | 
 | 36   | Regieleki          |  1.35686% | 1731   |  1.357% | 803    |  3.762% | 
 | 37   | Ursaluna           |  1.30983% | 1671   |  1.310% | 459    |  2.150% | 
 | 38   | Grimmsnarl         |  1.25339% | 1599   |  1.253% | 726    |  3.401% | 
 | 39   | Chromera           |  1.24555% | 1589   |  1.246% | 864    |  4.047% | 
 | 40   | Enamorus-Therian   |  1.15384% | 1472   |  1.154% | 681    |  3.190% | 
 | 41   | Shedinja           |  1.13581% | 1449   |  1.136% | 632    |  2.961% | 
