 Total battles: 139862
 Avg. weight/team: 0.007
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ting-Lu            | 22.13818% | 25800  |  9.223% | 22196  | 10.567% | 
 | 2    | Flutter Mane       | 21.28943% | 46601  | 16.660% | 34892  | 16.612% | 
 | 3    | Greninja           | 20.49002% | 29947  | 10.706% | 21803  | 10.380% | 
 | 4    | Kingambit          | 18.80108% | 30554  | 10.923% | 21205  | 10.095% | 
 | 5    | Chien-Pao          | 18.50394% | 30624  | 10.948% | 21495  | 10.234% | 
 | 6    | Mimikyu            | 16.74507% | 34617  | 12.375% | 25148  | 11.973% | 
 | 7    | Meowscarada        | 16.06379% | 27842  |  9.953% | 21296  | 10.139% | 
 | 8    | Iron Valiant       | 15.89899% | 26776  |  9.572% | 18431  |  8.775% | 
 | 9    | Azumarill          | 15.01293% | 23053  |  8.241% | 17396  |  8.282% | 
 | 10   | Toxapex            | 14.99767% | 24417  |  8.729% | 19688  |  9.373% | 
 | 11   | Gholdengo          | 13.56542% | 39066  | 13.966% | 28780  | 13.702% | 
 | 12   | Quaquaval          | 13.45241% | 24047  |  8.597% | 17131  |  8.156% | 
 | 13   | Dragapult          | 13.44086% | 47632  | 17.028% | 35036  | 16.680% | 
 | 14   | Sableye            | 12.82472% | 17297  |  6.184% | 14460  |  6.884% | 
 | 15   | Hatterene          | 12.62737% | 22038  |  7.878% | 16829  |  8.012% | 
 | 16   | Garchomp           | 11.41044% | 22076  |  7.892% | 17260  |  8.217% | 
 | 17   | Quagsire           | 10.96332% | 8093   |  2.893% | 6401   |  3.047% | 
 | 18   | Corviknight        | 10.96018% | 17264  |  6.172% | 13431  |  6.394% | 
 | 19   | Iron Treads        | 10.89423% | 15671  |  5.602% | 12471  |  5.937% | 
 | 20   | Great Tusk         | 10.60762% | 19994  |  7.148% | 15109  |  7.193% | 
 | 21   | Klefki             |  9.86666% | 9825   |  3.512% | 8639   |  4.113% | 
 | 22   | Pelipper           |  9.22531% | 20832  |  7.447% | 18322  |  8.723% | 
 | 23   | Zoroark-Hisui      |  9.03424% | 39159  | 13.999% | 16015  |  7.625% | 
 | 24   | Scizor             |  8.75983% | 18371  |  6.568% | 13672  |  6.509% | 
 | 25   | Walking Wake       |  8.56350% | 23536  |  8.414% | 16809  |  8.003% | 
 | 26   | Clodsire           |  8.54230% | 18144  |  6.486% | 14550  |  6.927% | 
 | 27   | Dragonite          |  8.18870% | 17643  |  6.307% | 12819  |  6.103% | 
 | 28   | Lokix              |  7.19551% | 17296  |  6.183% | 13108  |  6.241% | 
 | 29   | Gastrodon          |  7.14960% | 13858  |  4.954% | 10735  |  5.111% | 
 | 30   | Skuntank           |  6.97629% | 10155  |  3.630% | 7998   |  3.808% | 
 | 31   | Kilowattrel        |  6.76839% | 9824   |  3.512% | 7777   |  3.703% | 
 | 32   | Baxcalibur         |  6.52613% | 22618  |  8.086% | 16272  |  7.747% | 
 | 33   | Gyarados           |  6.40156% | 7091   |  2.535% | 5338   |  2.541% | 
 | 34   | Tinkaton           |  6.16617% | 14025  |  5.014% | 11677  |  5.559% | 
 | 35   | Forretress         |  6.06068% | 12394  |  4.431% | 10938  |  5.207% | 
 | 36   | Volcarona          |  5.91778% | 20413  |  7.298% | 15032  |  7.157% | 
 | 37   | Skeledirge         |  5.39972% | 30231  | 10.807% | 23064  | 10.981% | 
 | 38   | Hydreigon          |  5.36536% | 18133  |  6.482% | 12704  |  6.048% | 
 | 39   | Brambleghast       |  5.17459% | 11705  |  4.184% | 8965   |  4.268% | 
 | 40   | Iron Hands         |  5.15261% | 12470  |  4.458% | 9669   |  4.603% | 
 | 41   | Slither Wing       |  5.07035% | 11858  |  4.239% | 8557   |  4.074% | 
 | 42   | Bombirdier         |  4.97194% | 2419   |  0.865% | 1981   |  0.943% | 
 | 43   | Iron Jugulis       |  4.90916% | 8680   |  3.103% | 6672   |  3.176% | 
 | 44   | Roaring Moon       |  4.72054% | 14867  |  5.315% | 10117  |  4.817% | 
 | 45   | Amoonguss          |  4.63009% | 16308  |  5.830% | 12539  |  5.970% | 
 | 46   | Dragalge           |  4.52189% | 9348   |  3.342% | 6793   |  3.234% | 
 | 47   | Lucario            |  4.48950% | 10483  |  3.748% | 7687   |  3.660% | 
 | 48   | Rotom-Wash         |  4.30806% | 15045  |  5.379% | 11902  |  5.666% | 
 | 49   | Iron Moth          |  4.20078% | 14749  |  5.273% | 10705  |  5.097% | 
 | 50   | Breloom            |  4.05303% | 17613  |  6.297% | 13394  |  6.377% | 
 | 51   | Ceruledge          |  3.99308% | 27058  |  9.673% | 20205  |  9.619% | 
 | 52   | Glimmora           |  3.82960% | 18119  |  6.477% | 15852  |  7.547% | 
 | 53   | Sandy Shocks       |  3.71446% | 10180  |  3.639% | 7627   |  3.631% | 
 | 54   | Tauros-Paldea-Aqua |  3.62124% | 2616   |  0.935% | 1971   |  0.938% | 
 | 55   | Dondozo            |  3.36643% | 7224   |  2.583% | 5227   |  2.489% | 
 | 56   | Froslass           |  3.11875% | 14414  |  5.153% | 12710  |  6.051% | 
 | 57   | Tauros-Paldea-Blaze |  3.11248% | 9018   |  3.224% | 7011   |  3.338% | 
 | 58   | Cyclizar           |  2.81676% | 24243  |  8.667% | 20241  |  9.637% | 
 | 59   | Talonflame         |  2.73194% | 6892   |  2.464% | 5078   |  2.418% | 
 | 60   | Salamence          |  2.69213% | 5385   |  1.925% | 3914   |  1.863% | 
 | 61   | Magnezone          |  2.56692% | 6871   |  2.456% | 5179   |  2.466% | 
 | 62   | Gallade            |  2.32994% | 14941  |  5.341% | 10438  |  4.969% | 
 | 63   | Barraskewda        |  2.28253% | 6638   |  2.373% | 4880   |  2.323% | 
 | 64   | Gengar             |  2.18834% | 15435  |  5.518% | 11195  |  5.330% | 
 | 65   | Cinderace          |  2.15493% | 8439   |  3.017% | 6057   |  2.884% | 
 | 66   | Abomasnow          |  2.11773% | 10649  |  3.807% | 9353   |  4.453% | 
 | 67   | Torkoal            |  2.04879% | 11024  |  3.941% | 10001  |  4.761% | 
 | 68   | Grimmsnarl         |  1.99567% | 16889  |  6.038% | 14473  |  6.890% | 
 | 69   | Cloyster           |  1.90387% | 9545   |  3.412% | 7074   |  3.368% | 
 | 70   | Ditto              |  1.88192% | 12305  |  4.399% | 9686   |  4.611% | 
 | 71   | Rabsca             |  1.77627% | 5490   |  1.963% | 3446   |  1.641% | 
 | 72   | Masquerain         |  1.77142% | 5306   |  1.897% | 4507   |  2.146% | 
 | 73   | Indeedee           |  1.76539% | 13205  |  4.721% | 10200  |  4.856% | 
 | 74   | Scovillain         |  1.60654% | 7690   |  2.749% | 5598   |  2.665% | 
