 Total battles: 881842
 Avg. weight/team: 0.008
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Kingambit          | 36.75052% | 230818 | 13.087% | 158937 | 12.106% | 
 | 2    | Great Tusk         | 20.51501% | 195943 | 11.110% | 145218 | 11.061% | 
 | 3    | Landorus-Therian   | 20.35366% | 189692 | 10.755% | 158847 | 12.099% | 
 | 4    | Walking Wake       | 18.01630% | 210899 | 11.958% | 159452 | 12.145% | 
 | 5    | Dragapult          | 17.27800% | 200643 | 11.376% | 146334 | 11.146% | 
 | 6    | Gholdengo          | 14.92516% | 140519 |  7.967% | 100991 |  7.692% | 
 | 7    | Charizard-Mega-Y   | 14.19433% | 179175 | 10.159% | 141060 | 10.744% | 
 | 8    | Heatran            | 13.84389% | 121103 |  6.866% | 95845  |  7.300% | 
 | 9    | Tapu Lele          | 13.28333% | 107922 |  6.119% | 82443  |  6.280% | 
 | 10   | Tapu Koko          | 12.12973% | 134102 |  7.604% | 112895 |  8.599% | 
 | 11   | Zapdos             | 12.04123% | 122418 |  6.941% | 96588  |  7.357% | 
 | 12   | Tornadus-Therian   | 11.72338% | 89757  |  5.089% | 66993  |  5.103% | 
 | 13   | Diancie-Mega       | 10.39692% | 78360  |  4.443% | 64171  |  4.888% | 
 | 14   | Clodsire           | 10.06830% | 129862 |  7.363% | 101900 |  7.762% | 
 | 15   | Rillaboom          |  9.84517% | 100369 |  5.691% | 74798  |  5.697% | 
 | 16   | Scizor-Mega        |  9.59710% | 102227 |  5.796% | 79119  |  6.026% | 
 | 17   | Iron Valiant       |  9.32469% | 105786 |  5.998% | 73972  |  5.634% | 
 | 18   | Garchomp           |  9.00509% | 129748 |  7.357% | 101091 |  7.700% | 
 | 19   | Ferrothorn         |  8.66976% | 170819 |  9.685% | 139530 | 10.628% | 
 | 20   | Lopunny-Mega       |  8.28688% | 140724 |  7.979% | 113116 |  8.616% | 
