 Total battles: 18214
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Zacian-Crowned     | 25.66432% | 9349   | 25.664% | 6346   | 27.039% | 
 | 2    | Mewtwo-Mega-Y      | 19.72933% | 7187   | 19.729% | 4489   | 19.127% | 
 | 3    | Mewtwo-Mega-X      | 17.38772% | 6334   | 17.388% | 4137   | 17.627% | 
 | 4    | Chansey            | 15.88339% | 5786   | 15.883% | 4163   | 17.738% | 
 | 5    | Zygarde-Complete   | 14.58219% | 5312   | 14.582% | 3740   | 15.935% | 
 | 6    | Regieleki          | 14.53827% | 5296   | 14.538% | 3938   | 16.779% | 
 | 7    | Giratina           | 14.15944% | 5158   | 14.159% | 3742   | 15.944% | 
 | 8    | Regigigas          | 13.69276% | 4988   | 13.693% | 3414   | 14.546% | 
 | 9    | Kyogre-Primal      | 11.31273% | 4121   | 11.313% | 2724   | 11.606% | 
 | 10   | Deoxys-Attack      | 10.73350% | 3910   | 10.734% | 2670   | 11.376% | 
 | 11   | Dialga-Origin      | 10.43977% | 3803   | 10.440% | 2753   | 11.730% | 
 | 12   | Miraidon           |  9.96761% | 3631   |  9.968% | 2369   | 10.094% | 
 | 13   | Zamazenta-Crowned  |  8.34797% | 3041   |  8.348% | 2020   |  8.607% | 
 | 14   | Groudon-Primal     |  8.29856% | 3023   |  8.299% | 2043   |  8.705% | 
 | 15   | Palafin            |  8.23268% | 2999   |  8.233% | 1899   |  8.091% | 
 | 16   | Blissey            |  8.08170% | 2944   |  8.082% | 1873   |  7.980% | 
 | 17   | Gengar-Mega        |  8.05150% | 2933   |  8.051% | 1919   |  8.176% | 
 | 18   | Gyarados-Mega      |  6.24245% | 2274   |  6.242% | 1626   |  6.928% | 
 | 19   | Shuckle            |  6.11892% | 2229   |  6.119% | 1785   |  7.606% | 
 | 20   | Yveltal            |  6.06951% | 2211   |  6.070% | 1427   |  6.080% | 
 | 21   | Eternatus          |  5.69617% | 2075   |  5.696% | 1432   |  6.101% | 
 | 22   | Kartana            |  5.60558% | 2042   |  5.606% | 1344   |  5.726% | 
 | 23   | Arceus             |  5.28165% | 1924   |  5.282% | 1193   |  5.083% | 
 | 24   | Rayquaza           |  5.25420% | 1914   |  5.254% | 1174   |  5.002% | 
 | 25   | Ho-Oh              |  4.80674% | 1751   |  4.807% | 1122   |  4.781% | 
 | 26   | Necrozma-Ultra     |  4.78478% | 1743   |  4.785% | 1005   |  4.282% | 
 | 27   | Palkia-Origin      |  4.64203% | 1691   |  4.642% | 1024   |  4.363% | 
 | 28   | Blaziken-Mega      |  4.63654% | 1689   |  4.637% | 1108   |  4.721% | 
