 Total battles: 102199
 Avg. weight/team: 0.525
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Volcarona          |  9.64009% | 19056  |  9.323% | 13098  |  8.696% | 
 | 2    | Zoroark-Hisui      |  9.51136% | 19533  |  9.556% | 8038   |  5.337% | 
 | 3    | Heatran            |  8.25934% | 15730  |  7.696% | 12048  |  7.999% | 
 | 4    | Scizor-Mega        |  7.31684% | 14426  |  7.058% | 10314  |  6.848% | 
 | 5    | Toxapex            |  7.23352% | 14208  |  6.951% | 11006  |  7.307% | 
 | 6    | Tapu Koko          |  6.90042% | 13328  |  6.521% | 11508  |  7.640% | 
 | 7    | Lopunny-Mega       |  6.80976% | 13917  |  6.809% | 11164  |  7.412% | 
 | 8    | Kingambit          |  6.72764% | 13029  |  6.374% | 7872   |  5.226% | 
 | 9    | Gholdengo          |  6.62547% | 12697  |  6.212% | 9005   |  5.979% | 
 | 10   | Rotom-Wash         |  6.35244% | 12365  |  6.049% | 9752   |  6.475% | 
 | 11   | Cyclizar           |  6.30936% | 12810  |  6.267% | 10755  |  7.141% | 
 | 12   | Ferrothorn         |  6.28200% | 12344  |  6.039% | 10067  |  6.684% | 
 | 13   | Pelipper           |  5.69022% | 11188  |  5.474% | 10017  |  6.651% | 
 | 14   | Tapu Lele          |  5.51754% | 10322  |  5.050% | 7421   |  4.927% | 
 | 15   | Kommo-o            |  5.25535% | 10367  |  5.072% | 7683   |  5.101% | 
 | 16   | Swampert-Mega      |  5.13916% | 10192  |  4.986% | 7878   |  5.230% | 
 | 17   | Muk-Alola          |  5.08778% | 9521   |  4.658% | 7345   |  4.877% | 
 | 18   | Buzzwole           |  5.08362% | 9804   |  4.797% | 6882   |  4.569% | 
 | 19   | Urshifu-Rapid-Strike |  5.00576% | 9611   |  4.702% | 6773   |  4.497% | 
 | 20   | Galvantula         |  4.98053% | 9873   |  4.830% | 8418   |  5.589% | 
 | 21   | Corviknight        |  4.96313% | 9785   |  4.787% | 7069   |  4.693% | 
 | 22   | Zapdos             |  4.95488% | 9045   |  4.425% | 6954   |  4.617% | 
 | 23   | Dragonite          |  4.84854% | 9370   |  4.584% | 6467   |  4.294% | 
 | 24   | Excadrill          |  4.76067% | 9028   |  4.417% | 6730   |  4.468% | 
 | 25   | Iron Valiant       |  4.73099% | 9243   |  4.522% | 5996   |  3.981% | 
 | 26   | Great Tusk         |  4.71170% | 9118   |  4.461% | 6387   |  4.241% | 
 | 27   | Venusaur-Mega      |  4.69452% | 9230   |  4.516% | 6972   |  4.629% | 
 | 28   | Walking Wake       |  4.54837% | 9081   |  4.443% | 6231   |  4.137% | 
 | 29   | Araquanid          |  4.41572% | 8704   |  4.258% | 7060   |  4.687% | 
 | 30   | Charizard-Mega-Y   |  4.38337% | 8494   |  4.156% | 6326   |  4.200% | 
 | 31   | Aegislash          |  4.33062% | 9025   |  4.415% | 6554   |  4.351% | 
 | 32   | Sableye-Mega       |  4.25570% | 8381   |  4.100% | 7119   |  4.727% | 
 | 33   | Skeledirge         |  4.20116% | 8766   |  4.289% | 6255   |  4.153% | 
 | 34   | Grimmsnarl         |  4.17856% | 8529   |  4.173% | 7221   |  4.794% | 
 | 35   | Garchomp           |  4.10692% | 7866   |  3.848% | 5857   |  3.889% | 
 | 36   | Mimikyu            |  4.10457% | 8509   |  4.163% | 6211   |  4.124% | 
 | 37   | Clodsire           |  4.10074% | 7910   |  3.870% | 6037   |  4.008% | 
 | 38   | Roaring Moon       |  3.99542% | 7798   |  3.815% | 5208   |  3.458% | 
 | 39   | Celesteela         |  3.97918% | 7301   |  3.572% | 5555   |  3.688% | 
 | 40   | Regieleki          |  3.87874% | 7279   |  3.561% | 5513   |  3.660% | 
 | 41   | Ditto              |  3.87372% | 7514   |  3.676% | 5705   |  3.788% | 
 | 42   | Victini            |  3.85906% | 7242   |  3.543% | 5343   |  3.547% | 
 | 43   | Iron Hands         |  3.82625% | 7053   |  3.451% | 5444   |  3.614% | 
 | 44   | Slowking-Galar     |  3.72942% | 7039   |  3.444% | 5142   |  3.414% | 
 | 45   | Greninja           |  3.70238% | 7131   |  3.489% | 5132   |  3.407% | 
 | 46   | Ninetales-Alola    |  3.65448% | 7578   |  3.707% | 6458   |  4.288% | 
 | 47   | Landorus           |  3.64312% | 6679   |  3.268% | 4844   |  3.216% | 
