 Total battles: 281806
 Avg. weight/team: 0.011
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon-Primal     | 53.51896% | 124783 | 22.140% | 96205  | 24.228% | 
 | 2    | Necrozma-Dusk-Mane | 39.72894% | 78012  | 13.841% | 55493  | 13.975% | 
 | 3    | Koraidon           | 38.68589% | 57151  | 10.140% | 42161  | 10.618% | 
 | 4    | Ho-Oh              | 36.05767% | 46549  |  8.259% | 35503  |  8.941% | 
 | 5    | Arceus             | 31.52258% | 52522  |  9.319% | 36226  |  9.123% | 
 | 6    | Xerneas            | 29.23591% | 56370  | 10.002% | 38556  |  9.710% | 
 | 7    | Eternatus          | 26.02146% | 32291  |  5.729% | 22185  |  5.587% | 
 | 8    | Yveltal            | 24.58422% | 55141  |  9.784% | 40191  | 10.121% | 
 | 9    | Arceus-Ground      | 20.06337% | 15184  |  2.694% | 11147  |  2.807% | 
 | 10   | Zacian-Crowned     | 19.68581% | 76354  | 13.547% | 52577  | 13.241% | 
 | 11   | Kyogre-Primal      | 17.15387% | 67610  | 11.996% | 46577  | 11.730% | 
 | 12   | Zygarde            | 15.49084% | 39085  |  6.935% | 28185  |  7.098% | 
 | 13   | Marshadow          | 15.21872% | 65432  | 11.609% | 45875  | 11.553% | 
 | 14   | Deoxys-Attack      | 11.43482% | 23487  |  4.167% | 17417  |  4.386% | 
 | 15   | Ditto              | 10.86650% | 22945  |  4.071% | 15486  |  3.900% | 
 | 16   | Chansey            | 10.59012% | 9392   |  1.666% | 6711   |  1.690% | 
 | 17   | Dondozo            |  9.85126% | 6835   |  1.213% | 5080   |  1.279% | 
 | 18   | Giratina           |  9.71374% | 9254   |  1.642% | 6634   |  1.671% | 
 | 19   | Mewtwo-Mega-Y      |  8.20522% | 31256  |  5.546% | 20424  |  5.143% | 
 | 20   | Salamence-Mega     |  7.59709% | 28581  |  5.071% | 19517  |  4.915% | 
 | 21   | Deoxys-Speed       |  7.53248% | 17891  |  3.174% | 16376  |  4.124% | 
 | 22   | Arceus-Fairy       |  6.94697% | 7623   |  1.353% | 5641   |  1.421% | 
 | 23   | Rayquaza           |  5.88915% | 27430  |  4.867% | 19237  |  4.845% | 
 | 24   | Arceus-Dark        |  5.39450% | 5216   |  0.925% | 3871   |  0.975% | 
 | 25   | Magearna           |  4.89454% | 14541  |  2.580% | 10298  |  2.593% | 
 | 26   | Ferrothorn         |  4.88888% | 21900  |  3.886% | 17416  |  4.386% | 
 | 27   | Giratina-Origin    |  4.77408% | 15198  |  2.697% | 11494  |  2.895% | 
 | 28   | Kyogre             |  4.21900% | 19055  |  3.381% | 13744  |  3.461% | 
 | 29   | Palkia-Origin      |  3.99557% | 11050  |  1.961% | 7490   |  1.886% | 
 | 30   | Arceus-Ghost       |  3.62842% | 7610   |  1.350% | 5147   |  1.296% | 
 | 31   | Melmetal           |  3.60452% | 26495  |  4.701% | 20088  |  5.059% | 
 | 32   | Calyrex-Ice        |  3.35022% | 17057  |  3.026% | 11778  |  2.966% | 
 | 33   | Excadrill          |  3.28504% | 10429  |  1.850% | 8130   |  2.047% | 
 | 34   | Smeargle           |  2.90030% | 8865   |  1.573% | 7608   |  1.916% | 
 | 35   | Lugia              |  2.66017% | 24019  |  4.262% | 17066  |  4.298% | 
 | 36   | Lunala             |  2.62515% | 9501   |  1.686% | 6753   |  1.701% | 
 | 37   | Glimmora           |  2.59312% | 18144  |  3.219% | 16218  |  4.084% | 
 | 38   | Palkia             |  2.58872% | 6247   |  1.108% | 4339   |  1.093% | 
 | 39   | Hatterene          |  2.51954% | 15588  |  2.766% | 12082  |  3.043% | 
 | 40   | Regieleki          |  2.45592% | 34274  |  6.081% | 25378  |  6.391% | 
 | 41   | Sableye-Mega       |  2.31873% | 5191   |  0.921% | 4322   |  1.088% | 
 | 42   | Arceus-Water       |  2.24900% | 5764   |  1.023% | 4317   |  1.087% | 
 | 43   | Kyurem-Black       |  2.21604% | 13516  |  2.398% | 8967   |  2.258% | 
 | 44   | Grimmsnarl         |  2.14725% | 22012  |  3.906% | 18933  |  4.768% | 
 | 45   | Chi-Yu             |  2.13410% | 14768  |  2.620% | 9702   |  2.443% | 
 | 46   | Flutter Mane       |  2.03657% | 21958  |  3.896% | 14928  |  3.759% | 
 | 47   | Toxapex            |  1.97677% | 15674  |  2.781% | 11584  |  2.917% | 
 | 48   | Necrozma-Dawn-Wings |  1.94394% | 12091  |  2.145% | 8130   |  2.047% | 
 | 49   | Zekrom             |  1.63090% | 8055   |  1.429% | 5390   |  1.357% | 
 | 50   | Landorus           |  1.59227% | 9175   |  1.628% | 6547   |  1.649% | 
 | 51   | Lucario-Mega       |  1.46560% | 30965  |  5.494% | 21919  |  5.520% | 
 | 52   | Chien-Pao          |  1.28741% | 17868  |  3.170% | 12444  |  3.134% | 
