 Total battles: 48318
 Avg. weight/team: 0.051
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Gliscor            | 28.24485% | 18802  | 19.457% | 14624  | 20.142% | 
 | 2    | Celesteela         | 12.60974% | 7273   |  7.526% | 5585   |  7.692% | 
 | 3    | Tapu Fini          | 12.29092% | 8039   |  8.319% | 6426   |  8.851% | 
 | 4    | Gyarados-Mega      | 11.77844% | 5950   |  6.157% | 4444   |  6.121% | 
 | 5    | Iron Treads        | 11.59124% | 7944   |  8.221% | 6128   |  8.440% | 
 | 6    | Excadrill          | 11.35041% | 8123   |  8.406% | 6188   |  8.523% | 
 | 7    | Baxcalibur         | 11.29738% | 8586   |  8.885% | 5879   |  8.097% | 
 | 8    | Iron Moth          | 10.90785% | 6608   |  6.838% | 4615   |  6.356% | 
 | 9    | Clefable           | 10.79078% | 7678   |  7.945% | 5546   |  7.639% | 
 | 10   | Aegislash          | 10.64903% | 10906  | 11.286% | 8208   | 11.305% | 
 | 11   | Dondozo            | 10.26726% | 5500   |  5.691% | 4139   |  5.701% | 
 | 12   | Slowking-Galar     | 10.20643% | 7077   |  7.323% | 5379   |  7.409% | 
 | 13   | Kyurem             | 10.09646% | 6069   |  6.280% | 4370   |  6.019% | 
 | 14   | Skarmory           | 10.07327% | 5416   |  5.605% | 4366   |  6.013% | 
 | 15   | Blacephalon        |  9.92881% | 7300   |  7.554% | 5231   |  7.205% | 
 | 16   | Chansey            |  9.28481% | 3600   |  3.725% | 2606   |  3.589% | 
 | 17   | Ting-Lu            |  9.12807% | 4214   |  4.361% | 3442   |  4.741% | 
 | 18   | Serperior          |  8.97592% | 9207   |  9.528% | 6483   |  8.929% | 
 | 19   | Cinderace          |  8.93690% | 6969   |  7.212% | 5139   |  7.078% | 
 | 20   | Blaziken           |  8.74069% | 8582   |  8.881% | 6277   |  8.645% | 
 | 21   | Hydreigon          |  8.32783% | 6172   |  6.387% | 4424   |  6.093% | 
 | 22   | Weavile            |  8.30715% | 8552   |  8.850% | 6115   |  8.422% | 
 | 23   | Beedrill-Mega      |  7.94149% | 9022   |  9.336% | 6902   |  9.506% | 
 | 24   | Victini            |  7.76912% | 6678   |  6.910% | 4951   |  6.819% | 
 | 25   | Venusaur-Mega      |  7.63101% | 4007   |  4.146% | 2966   |  4.085% | 
 | 26   | Quaquaval          |  7.40239% | 5889   |  6.094% | 4391   |  6.048% | 
 | 27   | Sableye-Mega       |  6.89965% | 3431   |  3.550% | 2917   |  4.018% | 
 | 28   | Manectric-Mega     |  6.59224% | 5359   |  5.546% | 4099   |  5.646% | 
 | 29   | Tyranitar-Mega     |  6.49651% | 4323   |  4.473% | 3347   |  4.610% | 
 | 30   | Pinsir-Mega        |  6.48332% | 4513   |  4.670% | 3226   |  4.443% | 
 | 31   | Tangrowth          |  5.91288% | 2354   |  2.436% | 1819   |  2.505% | 
 | 32   | Blissey            |  5.75057% | 3859   |  3.993% | 2753   |  3.792% | 
