 Total battles: 41764
 Avg. weight/team: 0.047
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Passimian          | 47.00270% | 22410  | 26.829% | 18547  | 28.206% | 
 | 2    | Sandaconda         | 45.41299% | 23741  | 28.423% | 20331  | 30.919% | 
 | 3    | Muk                | 26.58290% | 13060  | 15.635% | 10869  | 16.530% | 
 | 4    | Drifblim           | 23.07233% | 14374  | 17.209% | 11357  | 17.272% | 
 | 5    | Zoroark            | 22.53356% | 12472  | 14.932% | 4648   |  7.069% | 
 | 6    | Eelektross         | 20.06546% | 12865  | 15.402% | 10971  | 16.685% | 
 | 7    | Frosmoth           | 19.06600% | 14510  | 17.371% | 10715  | 16.295% | 
 | 8    | Jolteon            | 17.09644% | 18145  | 21.723% | 14668  | 22.307% | 
 | 9    | Oricorio           | 17.05376% | 6804   |  8.146% | 5355   |  8.144% | 
 | 10   | Copperajah         | 14.66210% | 10013  | 11.988% | 8269   | 12.576% | 
 | 11   | Vaporeon           | 14.66120% | 11103  | 13.293% | 8424   | 12.811% | 
 | 12   | Qwilfish           | 14.32011% | 8493   | 10.168% | 7391   | 11.240% | 
 | 13   | Rotom              | 12.78880% | 7682   |  9.197% | 6534   |  9.937% | 
 | 14   | Medicham           | 12.61885% | 12340  | 14.773% | 9516   | 14.472% | 
 | 15   | Clawitzer          | 11.51538% | 11204  | 13.413% | 8524   | 12.963% | 
 | 16   | Toxicroak          | 11.43291% | 7830   |  9.374% | 6183   |  9.403% | 
 | 17   | Chansey            | 11.00000% | 8454   | 10.121% | 6790   | 10.326% | 
 | 18   | Bruxish            | 10.87978% | 8914   | 10.672% | 6752   | 10.268% | 
 | 19   | Umbreon            | 10.75165% | 7273   |  8.707% | 5606   |  8.526% | 
 | 20   | Bombirdier         | 10.74152% | 8229   |  9.852% | 7071   | 10.754% | 
 | 21   | Dudunsparce        | 10.55595% | 9865   | 11.810% | 7445   | 11.322% | 
 | 22   | Veluza             |  9.91719% | 7905   |  9.464% | 5620   |  8.547% | 
 | 23   | Scyther            |  9.34681% | 11045  | 13.223% | 8835   | 13.436% | 
 | 24   | Braviary           |  9.34521% | 12966  | 15.523% | 9911   | 15.073% | 
 | 25   | Mabosstiff         |  8.83190% | 9475   | 11.344% | 7210   | 10.965% | 
 | 26   | Tauros-Paldea-Combat |  7.93480% | 6888   |  8.246% | 5365   |  8.159% | 
 | 27   | Lycanroc           |  7.84082% | 8744   | 10.468% | 7649   | 11.633% | 
