 Total battles: 70251
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Miraidon           | 52.81419% | 74205  | 52.814% | 42746  | 67.021% | 
 | 2    | Flutter Mane       | 42.89903% | 60274  | 42.899% | 30687  | 48.114% | 
 | 3    | Iron Bundle        | 37.88273% | 53226  | 37.883% | 24616  | 38.595% | 
 | 4    | Koraidon           | 36.91976% | 51873  | 36.920% | 29241  | 45.846% | 
 | 5    | Iron Hands         | 26.19678% | 36807  | 26.197% | 19176  | 30.066% | 
 | 6    | Chi-Yu             | 25.63665% | 36020  | 25.637% | 15287  | 23.968% | 
 | 7    | Chien-Pao          | 23.29931% | 32736  | 23.299% | 13590  | 21.308% | 
 | 8    | Ting-Lu            | 21.95058% | 30841  | 21.951% | 14934  | 23.415% | 
 | 9    | Talonflame         | 17.09300% | 24016  | 17.093% | 7648   | 11.991% | 
 | 10   | Great Tusk         | 16.23963% | 22817  | 16.240% | 11003  | 17.251% | 
 | 11   | Dragonite          | 16.06739% | 22575  | 16.067% | 9588   | 15.033% | 
 | 12   | Wo-Chien           | 15.60974% | 21932  | 15.610% | 9573   | 15.009% | 
 | 13   | Arcanine           | 14.75637% | 20733  | 14.756% | 9443   | 14.806% | 
 | 14   | Iron Treads        | 10.67245% | 14995  | 10.672% | 7179   | 11.256% | 
 | 15   | Indeedee-F         | 10.51017% | 14767  | 10.510% | 6402   | 10.038% | 
 | 16   | Iron Moth          | 10.36854% | 14568  | 10.369% | 6130   |  9.611% | 
 | 17   | Amoonguss          | 10.33295% | 14518  | 10.333% | 4118   |  6.457% | 
 | 18   | Grimmsnarl         |  9.69168% | 13617  |  9.692% | 5464   |  8.567% | 
 | 19   | Pelipper           |  9.46463% | 13298  |  9.465% | 4859   |  7.618% | 
 | 20   | Palafin            |  7.65968% | 10762  |  7.660% | 4571   |  7.167% | 
 | 21   | Iron Valiant       |  7.14865% | 10044  |  7.149% | 4897   |  7.678% | 
 | 22   | Murkrow            |  6.67321% | 9376   |  6.673% | 2983   |  4.677% | 
 | 23   | Maushold           |  6.30454% | 8858   |  6.305% | 3183   |  4.991% | 
 | 24   | Armarouge          |  5.83195% | 8194   |  5.832% | 3455   |  5.417% | 
 | 25   | Gholdengo          |  5.81344% | 8168   |  5.813% | 2796   |  4.384% | 
 | 26   | Roaring Moon       |  5.13587% | 7216   |  5.136% | 2816   |  4.415% | 
 | 27   | Garganacl          |  5.10882% | 7178   |  5.109% | 3099   |  4.859% | 
 | 28   | Scream Tail        |  4.65260% | 6537   |  4.653% | 2840   |  4.453% | 
 | 29   | Annihilape         |  4.63481% | 6512   |  4.635% | 2843   |  4.457% | 
 | 30   | Ceruledge          |  4.61630% | 6486   |  4.616% | 2824   |  4.428% | 
 | 31   | Dondozo            |  4.52876% | 6363   |  4.529% | 3031   |  4.752% | 
 | 32   | Tatsugiri          |  4.45474% | 6259   |  4.455% | 3348   |  5.249% | 
 | 33   | Iron Jugulis       |  4.34015% | 6098   |  4.340% | 2204   |  3.456% | 
 | 34   | Tyranitar          |  4.23482% | 5950   |  4.235% | 2511   |  3.937% | 
 | 35   | Kingambit          |  4.10101% | 5762   |  4.101% | 1915   |  3.002% | 
 | 36   | Jumpluff           |  3.97147% | 5580   |  3.971% | 2616   |  4.102% | 
 | 37   | Brute Bonnet       |  3.64479% | 5121   |  3.645% | 1733   |  2.717% | 
 | 38   | Gastrodon          |  3.50386% | 4923   |  3.504% | 1820   |  2.854% | 
 | 39   | Sandy Shocks       |  3.46330% | 4866   |  3.463% | 2238   |  3.509% | 
 | 40   | Torkoal            |  3.03056% | 4258   |  3.031% | 1766   |  2.769% | 
 | 41   | Gothitelle         |  2.97576% | 4181   |  2.976% | 1669   |  2.617% | 
 | 42   | Klefki             |  2.97362% | 4178   |  2.974% | 1611   |  2.526% | 
 | 43   | Scizor             |  2.95227% | 4148   |  2.952% | 1649   |  2.585% | 
 | 44   | Mimikyu            |  2.93305% | 4121   |  2.933% | 1594   |  2.499% | 
