 Total battles: 112746
 Avg. weight/team: 0.03
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Quaxwell           | 30.23687% | 53912  | 23.909% | 43655  | 24.312% | 
 | 2    | Magneton           | 28.11742% | 44309  | 19.650% | 36787  | 20.487% | 
 | 3    | Skuntank           | 25.05225% | 29588  | 13.122% | 24608  | 13.705% | 
 | 4    | Houndoom           | 21.92432% | 45042  | 19.975% | 35030  | 19.509% | 
 | 5    | Gabite             | 19.70259% | 21938  |  9.729% | 19457  | 10.836% | 
 | 6    | Lycanroc-Midnight  | 19.62699% | 33161  | 14.706% | 26497  | 14.757% | 
 | 7    | Perrserker         | 17.31950% | 41340  | 18.333% | 34731  | 19.342% | 
 | 8    | Crabominable       | 16.90271% | 32627  | 14.469% | 24818  | 13.821% | 
 | 9    | Misdreavus         | 16.43891% | 15640  |  6.936% | 13011  |  7.246% | 
 | 10   | Haunter            | 14.15550% | 32267  | 14.310% | 24754  | 13.786% | 
 | 11   | Pyroar             | 13.55392% | 25015  | 11.094% | 19483  | 10.850% | 
 | 12   | Dugtrio            | 13.53730% | 27777  | 12.318% | 23232  | 12.938% | 
 | 13   | Cacturne           | 13.22791% | 30237  | 13.409% | 24106  | 13.425% | 
 | 14   | Camerupt           | 12.97245% | 33233  | 14.738% | 28432  | 15.834% | 
 | 15   | Squawkabilly       | 11.69463% | 31904  | 14.149% | 25049  | 13.950% | 
 | 16   | Vivillon           | 11.61794% | 27002  | 11.975% | 19686  | 10.963% | 
 | 17   | Oricorio-Pa'u      | 11.07565% | 38556  | 17.099% | 27868  | 15.520% | 
 | 18   | Falinks            | 10.37187% | 24466  | 10.850% | 18024  | 10.038% | 
 | 19   | Gogoat             |  9.48058% | 22694  | 10.064% | 17545  |  9.771% | 
 | 20   | Raichu             |  9.03718% | 21657  |  9.604% | 17142  |  9.547% | 
 | 21   | Hattrem            |  8.99896% | 16833  |  7.465% | 13970  |  7.780% | 
 | 22   | Rotom-Frost        |  8.82642% | 21413  |  9.496% | 17727  |  9.872% | 
 | 23   | Lilligant          |  8.77445% | 17846  |  7.914% | 13107  |  7.299% | 
 | 24   | Tinkatuff          |  8.60137% | 13135  |  5.825% | 11769  |  6.554% | 
 | 25   | Rotom-Fan          |  8.46228% | 13604  |  6.033% | 11441  |  6.372% | 
 | 26   | Indeedee-F         |  7.89544% | 15534  |  6.889% | 11995  |  6.680% | 
 | 27   | Carkol             |  7.72356% | 19529  |  8.661% | 16669  |  9.283% | 
 | 28   | Glimmet            |  7.69918% | 11315  |  5.018% | 10455  |  5.823% | 
 | 29   | Frogadier          |  6.86067% | 10004  |  4.437% | 8678   |  4.833% | 
 | 30   | Golduck            |  6.81231% | 20075  |  8.903% | 15701  |  8.744% | 
 | 31   | Dartrix            |  6.57899% | 4107   |  1.821% | 3326   |  1.852% | 
 | 32   | Sawsbuck           |  6.53828% | 13983  |  6.201% | 10446  |  5.818% | 
 | 33   | Flapple            |  6.52398% | 17862  |  7.921% | 13613  |  7.581% | 
 | 34   | Dragonair          |  6.50519% | 12313  |  5.461% | 9260   |  5.157% | 
 | 35   | Drakloak           |  6.45778% | 7011   |  3.109% | 5679   |  3.163% | 
 | 36   | Rabsca             |  6.45266% | 20794  |  9.222% | 15011  |  8.360% | 
 | 37   | Wugtrio            |  6.36725% | 24847  | 11.019% | 19089  | 10.631% | 
 | 38   | Raboot             |  5.90862% | 8338   |  3.698% | 6960   |  3.876% | 
 | 39   | Oricorio           |  5.16162% | 18623  |  8.259% | 14451  |  8.048% | 
 | 40   | Grumpig            |  4.97182% | 10191  |  4.519% | 8060   |  4.489% | 
 | 41   | Ampharos           |  4.90471% | 16986  |  7.533% | 13784  |  7.676% | 
 | 42   | Electrode          |  4.87850% | 15629  |  6.931% | 13361  |  7.441% | 
 | 43   | Banette            |  4.72768% | 16565  |  7.346% | 13274  |  7.392% | 
 | 44   | Glaceon            |  4.57412% | 13506  |  5.990% | 10188  |  5.674% | 
 | 45   | Stonjourner        |  4.54190% | 13116  |  5.817% | 10527  |  5.863% | 
 | 46   | Leafeon            |  4.42720% | 12599  |  5.587% | 9635   |  5.366% | 
 | 47   | Slaking            |  4.22137% | 18551  |  8.227% | 14424  |  8.033% | 
 | 48   | Swalot             |  4.12161% | 10446  |  4.633% | 8662   |  4.824% | 
 | 49   | Flareon            |  3.81528% | 13744  |  6.095% | 10797  |  6.013% | 
 | 50   | Vigoroth           |  3.76016% | 5500   |  2.439% | 4260   |  2.372% | 
 | 51   | Eiscue             |  3.75106% | 11798  |  5.232% | 8821   |  4.913% | 
 | 52   | Persian            |  3.60960% | 13693  |  6.072% | 11578  |  6.448% | 
 | 53   | Scovillain         |  3.60815% | 13882  |  6.156% | 10714  |  5.967% | 
 | 54   | Sneasel            |  3.35238% | 5435   |  2.410% | 4301   |  2.395% | 
 | 55   | Fraxure            |  3.19631% | 6482   |  2.875% | 4851   |  2.702% | 
 | 56   | Pincurchin         |  3.05414% | 6447   |  2.859% | 5444   |  3.032% | 
 | 57   | Girafarig          |  2.90824% | 4350   |  1.929% | 3396   |  1.891% | 
 | 58   | Dunsparce          |  2.89671% | 8614   |  3.820% | 6996   |  3.896% | 
 | 59   | Luxray             |  2.82307% | 13460  |  5.969% | 10366  |  5.773% | 
 | 60   | Sudowoodo          |  2.79636% | 8538   |  3.786% | 7101   |  3.955% | 
 | 61   | Kricketune         |  2.75866% | 13111  |  5.814% | 11877  |  6.614% | 
 | 62   | Beartic            |  2.57838% | 9516   |  4.220% | 7361   |  4.099% | 
 | 63   | Wigglytuff         |  2.49031% | 10048  |  4.456% | 7929   |  4.416% | 
 | 64   | Toedscool          |  2.34395% | 5661   |  2.511% | 4644   |  2.586% | 
 | 65   | Murkrow            |  2.26236% | 6819   |  3.024% | 5718   |  3.184% | 
 | 66   | Tropius            |  2.26188% | 10497  |  4.655% | 8010   |  4.461% | 
 | 67   | Jumpluff           |  2.12395% | 11632  |  5.158% | 9382   |  5.225% | 
 | 68   | Delibird           |  1.87075% | 6957   |  3.085% | 5345   |  2.977% | 
 | 69   | Fletchinder        |  1.54040% | 3164   |  1.403% | 2471   |  1.376% | 
 | 70   | Lumineon           |  1.52079% | 5414   |  2.401% | 4274   |  2.380% | 
 | 71   | Greedent           |  1.35689% | 5139   |  2.279% | 3986   |  2.220% | 
 | 72   | Zweilous           |  1.35029% | 2196   |  0.974% | 1803   |  1.004% | 
 | 73   | Oinkologne-F       |  1.31689% | 4300   |  1.907% | 3430   |  1.910% | 
 | 74   | Seviper            |  1.28484% | 4778   |  2.119% | 3719   |  2.071% | 
 | 75   | Shroodle           |  1.26131% | 4406   |  1.954% | 3756   |  2.092% | 
 | 76   | Hypno              |  1.15386% | 3667   |  1.626% | 2809   |  1.564% | 
 | 77   | Gumshoos           |  1.14977% | 4424   |  1.962% | 3431   |  1.911% | 
 | 78   | Sliggoo            |  1.12877% | 4199   |  1.862% | 3302   |  1.839% | 
 | 79   | Meditite           |  1.12365% | 1279   |  0.567% | 994    |  0.554% | 
 | 80   | Oranguru           |  1.09746% | 3920   |  1.738% | 3156   |  1.758% | 
 | 81   | Hippopotas         |  1.08429% | 1703   |  0.755% | 1530   |  0.852% | 
 | 82   | Stantler           |  1.05755% | 3070   |  1.361% | 2560   |  1.426% | 
