 Total battles: 47522
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Slowbro            | 23.51858% | 22353  | 23.519% | 17971  | 23.949% | 
 | 2    | Krookodile         | 23.39969% | 22240  | 23.400% | 18061  | 24.069% | 
 | 3    | Flamigo            | 20.08964% | 19094  | 20.090% | 14846  | 19.785% | 
 | 4    | Toxtricity         | 17.74547% | 16866  | 17.745% | 13115  | 17.478% | 
 | 5    | Gardevoir          | 17.41194% | 16549  | 17.412% | 12856  | 17.133% | 
 | 6    | Revavroom          | 15.89264% | 15105  | 15.893% | 12084  | 16.104% | 
 | 7    | Tatsugiri          | 14.12188% | 13422  | 14.122% | 9996   | 13.321% | 
 | 8    | Arboliva           | 14.02719% | 13332  | 14.027% | 10149  | 13.525% | 
 | 9    | Altaria            | 13.93986% | 13249  | 13.940% | 10467  | 13.949% | 
 | 10   | Heracross          | 13.45061% | 12784  | 13.451% | 9397   | 12.523% | 
 | 11   | Kilowattrel        | 13.28016% | 12622  | 13.280% | 10488  | 13.977% | 
 | 12   | Arcanine           | 13.12655% | 12476  | 13.127% | 9888   | 13.177% | 
 | 13   | Klefki             | 12.91086% | 12271  | 12.911% | 10875  | 14.493% | 
 | 14   | Mudsdale           | 12.20066% | 11596  | 12.201% | 9935   | 13.240% | 
 | 15   | Cloyster           | 11.74298% | 11161  | 11.743% | 8075   | 10.761% | 
 | 16   | Weavile            | 11.65881% | 11081  | 11.659% | 8113   | 10.812% | 
 | 17   | Bellibolt          | 11.38841% | 10824  | 11.388% | 8703   | 11.598% | 
 | 18   | Tauros-Paldea-Aqua | 11.38525% | 10821  | 11.385% | 8749   | 11.659% | 
 | 19   | Salazzle           | 11.12432% | 10573  | 11.124% | 8079   | 10.767% | 
 | 20   | Palossand          | 11.00122% | 10456  | 11.001% | 8932   | 11.903% | 
 | 21   | Primeape           | 10.92021% | 10379  | 10.920% | 8187   | 10.911% | 
 | 22   | Bronzong           | 10.65717% | 10129  | 10.657% | 8693   | 11.585% | 
 | 23   | Mismagius          | 10.64034% | 10113  | 10.640% | 7580   | 10.102% | 
 | 24   | Tauros-Paldea-Blaze | 10.45095% | 9933   | 10.451% | 7735   | 10.308% | 
 | 25   | Blissey            | 10.33416% | 9822   | 10.334% | 8170   | 10.888% | 
 | 26   | Rotom-Heat         | 10.02799% | 9531   | 10.028% | 8206   | 10.936% | 
 | 27   | Dragalge           |  9.80388% | 9318   |  9.804% | 7493   |  9.986% | 
 | 28   | Sylveon            |  9.54505% | 9072   |  9.545% | 6925   |  9.229% | 
 | 29   | Sableye            |  9.38723% | 8922   |  9.387% | 7564   | 10.080% | 
 | 30   | Naclstack          |  9.24414% | 8786   |  9.244% | 7239   |  9.647% | 
