 Total battles: 23685
 Avg. weight/team: 0.006
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Toxapex            | 52.96737% | 7026   | 14.832% | 5843   | 16.426% | 
 | 2    | Great Tusk         | 43.08366% | 11425  | 24.119% | 8516   | 23.940% | 
 | 3    | Tyranitar          | 28.21228% | 9770   | 20.625% | 8112   | 22.804% | 
 | 4    | Kingambit          | 24.89680% | 8576   | 18.104% | 6015   | 16.909% | 
 | 5    | Azumarill          | 24.81673% | 10782  | 22.761% | 8552   | 24.041% | 
 | 6    | Roaring Moon       | 24.79434% | 7910   | 16.698% | 5842   | 16.423% | 
 | 7    | Gholdengo          | 24.31830% | 6412   | 13.536% | 4671   | 13.131% | 
 | 8    | Clodsire           | 18.48445% | 4376   |  9.238% | 3351   |  9.420% | 
 | 9    | Skeledirge         | 17.78086% | 4494   |  9.487% | 3331   |  9.364% | 
 | 10   | Ting-Lu            | 16.70078% | 5057   | 10.676% | 4036   | 11.346% | 
 | 11   | Weavile            | 16.03025% | 1952   |  4.121% | 1423   |  4.000% | 
 | 12   | Gyarados           | 15.99340% | 6242   | 13.177% | 5048   | 14.191% | 
 | 13   | Iron Valiant       | 15.25344% | 7084   | 14.955% | 5066   | 14.241% | 
 | 14   | Iron Moth          | 15.05086% | 7740   | 16.339% | 5430   | 15.265% | 
 | 15   | Cyclizar           | 14.30618% | 5217   | 11.013% | 4329   | 12.169% | 
 | 16   | Sylveon            | 13.25960% | 4494   |  9.487% | 3265   |  9.178% | 
 | 17   | Rotom-Wash         | 12.61200% | 7108   | 15.005% | 5891   | 16.560% | 
 | 18   | Wo-Chien           | 12.49642% | 1118   |  2.360% | 858    |  2.412% | 
 | 19   | Lokix              | 11.28967% | 1621   |  3.422% | 1347   |  3.787% | 
 | 20   | Walking Wake       | 11.12864% | 6938   | 14.646% | 5217   | 14.666% | 
 | 21   | Meowscarada        | 10.49434% | 2736   |  5.776% | 2149   |  6.041% | 
 | 22   | Iron Hands         |  8.62620% | 4202   |  8.871% | 3011   |  8.464% | 
 | 23   | Hydreigon          |  8.43842% | 2919   |  6.162% | 2029   |  5.704% | 
 | 24   | Rotom-Mow          |  8.42478% | 845    |  1.784% | 668    |  1.878% | 
 | 25   | Zoroark-Hisui      |  7.93786% | 6167   | 13.019% | 2200   |  6.185% | 
 | 26   | Talonflame         |  7.29193% | 4674   |  9.867% | 3582   | 10.070% | 
 | 27   | Baxcalibur         |  6.93641% | 4954   | 10.458% | 3434   |  9.653% | 
 | 28   | Torkoal            |  6.36306% | 3693   |  7.796% | 3211   |  9.027% | 
 | 29   | Houndstone         |  6.21472% | 961    |  2.029% | 671    |  1.886% | 
 | 30   | Volcarona          |  6.18276% | 5512   | 11.636% | 3724   | 10.469% | 
 | 31   | Garganacl          |  5.31779% | 2121   |  4.478% | 1597   |  4.489% | 
 | 32   | Salamence          |  5.28306% | 2301   |  4.858% | 1666   |  4.683% | 
 | 33   | Corviknight        |  5.25614% | 3812   |  8.047% | 2947   |  8.284% | 
 | 34   | Magnezone          |  4.68877% | 726    |  1.533% | 581    |  1.633% | 
 | 35   | Indeedee           |  4.40106% | 1886   |  3.981% | 1387   |  3.899% | 
 | 36   | Ceruledge          |  4.15549% | 3146   |  6.641% | 2347   |  6.598% | 
 | 37   | Hatterene          |  4.08012% | 2787   |  5.883% | 1967   |  5.530% | 
 | 38   | Annihilape         |  4.02134% | 1438   |  3.036% | 1072   |  3.014% | 
 | 39   | Amoonguss          |  3.90530% | 2338   |  4.936% | 1779   |  5.001% | 
 | 40   | Palafin            |  3.62993% | 2052   |  4.332% | 1811   |  5.091% | 
 | 41   | Greninja           |  3.39692% | 4344   |  9.170% | 3188   |  8.962% | 
 | 42   | Staraptor          |  3.01397% | 2885   |  6.090% | 2096   |  5.892% | 
 | 43   | Dondozo            |  2.81275% | 2309   |  4.874% | 1814   |  5.099% | 
 | 44   | Glimmora           |  2.60727% | 2002   |  4.226% | 1762   |  4.953% | 
 | 45   | Rotom-Heat         |  2.58461% | 967    |  2.041% | 752    |  2.114% | 
 | 46   | Espathra           |  2.18007% | 553    |  1.167% | 406    |  1.141% | 
 | 47   | Slowking           |  2.17136% | 575    |  1.214% | 450    |  1.265% | 
 | 48   | Iron Leaves        |  2.06868% | 2343   |  4.946% | 1696   |  4.768% | 
 | 49   | Orthworm           |  2.02837% | 6285   | 13.268% | 5628   | 15.821% | 
 | 50   | Mimikyu            |  1.94757% | 1785   |  3.768% | 1392   |  3.913% | 
 | 51   | Klefki             |  1.88742% | 116    |  0.245% | 97     |  0.273% | 
 | 52   | Slowbro            |  1.88129% | 840    |  1.773% | 673    |  1.892% | 
