 Total battles: 3410
 Avg. weight/team: 0.001
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Walking Wake       | 40.13208% | 1957   | 28.695% | 1558   | 30.370% | 
 | 2    | Baxcalibur         | 39.40735% | 688    | 10.088% | 477    |  9.298% | 
 | 3    | Great Tusk         | 28.50539% | 1699   | 24.912% | 1244   | 24.250% | 
 | 4    | Roaring Moon       | 25.76564% | 1008   | 14.780% | 745    | 14.522% | 
 | 5    | Iron Moth          | 23.95620% | 564    |  8.270% | 397    |  7.739% | 
 | 6    | Hatterene          | 22.75043% | 521    |  7.639% | 378    |  7.368% | 
 | 7    | Gholdengo          | 21.77265% | 1737   | 25.469% | 1277   | 24.893% | 
 | 8    | Torkoal            | 21.32617% | 1285   | 18.842% | 1118   | 21.793% | 
 | 9    | Iron Treads        | 19.83201% | 370    |  5.425% | 282    |  5.497% | 
 | 10   | Iron Hands         | 18.91023% | 164    |  2.405% | 125    |  2.437% | 
 | 11   | Orthworm           | 18.66655% | 770    | 11.290% | 601    | 11.715% | 
 | 12   | Annihilape         | 17.91141% | 174    |  2.551% | 138    |  2.690% | 
 | 13   | Volcarona          | 16.72189% | 625    |  9.164% | 458    |  8.928% | 
 | 14   | Polteageist        | 15.88005% | 218    |  3.196% | 133    |  2.593% | 
 | 15   | Gyarados           | 15.68715% | 262    |  3.842% | 208    |  4.055% | 
 | 16   | Chi-Yu             | 15.62335% | 233    |  3.416% | 178    |  3.470% | 
 | 17   | Kingambit          | 14.95286% | 922    | 13.519% | 678    | 13.216% | 
 | 18   | Dragonite          | 14.94319% | 1045   | 15.323% | 807    | 15.731% | 
 | 19   | Garganacl          | 14.73061% | 1085   | 15.909% | 878    | 17.115% | 
 | 20   | Iron Valiant       | 13.68801% | 812    | 11.906% | 549    | 10.702% | 
 | 21   | Meowscarada        | 13.16467% | 513    |  7.522% | 417    |  8.129% | 
 | 22   | Quaquaval          | 11.51503% | 363    |  5.323% | 261    |  5.088% | 
 | 23   | Iron Leaves        | 11.20048% | 397    |  5.821% | 287    |  5.595% | 
 | 24   | Cloyster           | 10.84386% | 111    |  1.628% | 68     |  1.326% | 
 | 25   | Dragapult          |  8.59752% | 848    | 12.434% | 620    | 12.086% | 
 | 26   | Tinkaton           |  8.25505% | 199    |  2.918% | 165    |  3.216% | 
 | 27   | Arboliva           |  7.57008% | 98     |  1.437% | 75     |  1.462% | 
 | 28   | Umbreon            |  7.52311% | 55     |  0.806% | 44     |  0.858% | 
 | 29   | Cryogonal          |  7.50718% | 76     |  1.114% | 62     |  1.209% | 
 | 30   | Breloom            |  6.68226% | 316    |  4.633% | 247    |  4.815% | 
 | 31   | Glimmora           |  6.46169% | 905    | 13.270% | 765    | 14.912% | 
 | 32   | Ceruledge          |  5.79191% | 687    | 10.073% | 511    |  9.961% | 
 | 33   | Zoroark-Hisui      |  5.33167% | 1051   | 15.411% | 374    |  7.290% | 
 | 34   | Armarouge          |  5.13535% | 305    |  4.472% | 215    |  4.191% | 
 | 35   | Ting-Lu            |  4.47888% | 393    |  5.762% | 322    |  6.277% | 
 | 36   | Indeedee           |  4.22149% | 84     |  1.232% | 66     |  1.287% | 
 | 37   | Skeledirge         |  3.92752% | 1000   | 14.663% | 784    | 15.283% | 
 | 38   | Clodsire           |  3.63217% | 846    | 12.405% | 679    | 13.236% | 
 | 39   | Pincurchin         |  3.45854% | 195    |  2.859% | 176    |  3.431% | 
 | 40   | Iron Thorns        |  3.37045% | 101    |  1.481% | 77     |  1.501% | 
 | 41   | Corviknight        |  3.24945% | 1016   | 14.897% | 781    | 15.224% | 
 | 42   | Pelipper           |  2.50835% | 558    |  8.182% | 472    |  9.201% | 
 | 43   | Hydreigon          |  2.42651% | 754    | 11.056% | 583    | 11.365% | 
 | 44   | Cyclizar           |  2.36708% | 396    |  5.806% | 327    |  6.374% | 
 | 45   | Scream Tail        |  2.31725% | 351    |  5.147% | 244    |  4.756% | 
 | 46   | Houndstone         |  2.26887% | 70     |  1.026% | 45     |  0.877% | 
 | 47   | Toxapex            |  1.71449% | 419    |  6.144% | 311    |  6.062% | 
 | 48   | Maushold           |  1.43967% | 210    |  3.079% | 159    |  3.099% | 
 | 49   | Cinderace          |  1.37129% | 393    |  5.762% | 263    |  5.127% | 
 | 50   | Dondozo            |  1.36204% | 405    |  5.938% | 312    |  6.082% | 
 | 51   | Rotom-Wash         |  1.34658% | 552    |  8.094% | 456    |  8.889% | 
 | 52   | Sandy Shocks       |  1.07003% | 267    |  3.915% | 216    |  4.211% | 
 | 53   | Amoonguss          |  1.06783% | 350    |  5.132% | 300    |  5.848% | 
 | 54   | Lucario            |  1.06643% | 169    |  2.478% | 111    |  2.164% | 
 | 55   | Slither Wing       |  0.89898% | 266    |  3.900% | 198    |  3.860% | 
 | 56   | Scovillain         |  0.89241% | 195    |  2.859% | 145    |  2.827% | 
 | 57   | Mimikyu            |  0.86356% | 149    |  2.185% | 115    |  2.242% | 
 | 58   | Greninja           |  0.82954% | 285    |  4.179% | 226    |  4.405% | 
 | 59   | Froslass           |  0.80477% | 22     |  0.323% | 15     |  0.292% | 
 | 60   | Slowking           |  0.71637% | 140    |  2.053% | 113    |  2.203% | 
 | 61   | Revavroom          |  0.69998% | 45     |  0.660% | 29     |  0.565% | 
 | 62   | Masquerain         |  0.54549% | 100    |  1.466% | 89     |  1.735% | 
 | 63   | Noivern            |  0.48140% | 362    |  5.308% | 279    |  5.439% | 
 | 64   | Ditto              |  0.48033% | 67     |  0.982% | 57     |  1.111% | 
 | 65   | Jolteon            |  0.46183% | 79     |  1.158% | 55     |  1.072% | 
 | 66   | Abomasnow          |  0.45619% | 93     |  1.364% | 81     |  1.579% | 
 | 67   | Hariyama           |  0.37967% | 105    |  1.540% | 80     |  1.559% | 
 | 68   | Leafeon            |  0.35794% | 68     |  0.997% | 47     |  0.916% | 
 | 69   | Klefki             |  0.35794% | 55     |  0.806% | 41     |  0.799% | 
 | 70   | Rotom-Heat         |  0.35794% | 110    |  1.613% | 82     |  1.598% | 
 | 71   | Blissey            |  0.34850% | 322    |  4.721% | 235    |  4.581% | 
 | 72   | Altaria            |  0.34703% | 31     |  0.455% | 21     |  0.409% | 
 | 73   | Iron Jugulis       |  0.31025% | 154    |  2.258% | 128    |  2.495% | 
 | 74   | Frosmoth           |  0.30593% | 105    |  1.540% | 81     |  1.579% | 
 | 75   | Weavile            |  0.30233% | 51     |  0.748% | 36     |  0.702% | 
 | 76   | Pawmot             |  0.29572% | 320    |  4.692% | 230    |  4.483% | 
 | 77   | Chien-Pao          |  0.21163% | 140    |  2.053% | 108    |  2.105% | 
 | 78   | Gallade            |  0.19254% | 82     |  1.202% | 68     |  1.326% | 
 | 79   | Barraskewda        |  0.18324% | 101    |  1.481% | 70     |  1.365% | 
 | 80   | Rabsca             |  0.17014% | 32     |  0.469% | 26     |  0.507% | 
 | 81   | Coalossal          |  0.13203% | 45     |  0.660% | 40     |  0.780% | 
 | 82   | Flamigo            |  0.12676% | 58     |  0.850% | 47     |  0.916% | 
 | 83   | Tyranitar          |  0.12490% | 147    |  2.155% | 118    |  2.300% | 
 | 84   | Forretress         |  0.12430% | 50     |  0.733% | 39     |  0.760% | 
 | 85   | Glaceon            |  0.12429% | 56     |  0.821% | 46     |  0.897% | 
 | 86   | Garchomp           |  0.10670% | 414    |  6.070% | 332    |  6.472% | 
 | 87   | Azumarill          |  0.10346% | 374    |  5.484% | 295    |  5.750% | 
 | 88   | Toxtricity         |  0.09672% | 217    |  3.182% | 166    |  3.236% | 
 | 89   | Primeape           |  0.08183% | 26     |  0.381% | 19     |  0.370% | 
 | 90   | Slaking            |  0.08183% | 16     |  0.235% | 12     |  0.234% | 
 | 91   | Magnezone          |  0.08159% | 155    |  2.273% | 111    |  2.164% | 
 | 92   | Dachsbun           |  0.07871% | 179    |  2.625% | 140    |  2.729% | 
 | 93   | Florges            |  0.06661% | 30     |  0.440% | 23     |  0.448% | 
 | 94   | Arcanine           |  0.06598% | 102    |  1.496% | 79     |  1.540% | 
 | 95   | Lycanroc-Dusk      |  0.06298% | 124    |  1.818% | 99     |  1.930% | 
 | 96   | Kilowattrel        |  0.05875% | 178    |  2.610% | 130    |  2.534% | 
 | 97   | Skuntank           |  0.05340% | 56     |  0.821% | 40     |  0.780% | 
 | 98   | Scizor             |  0.04685% | 234    |  3.431% | 179    |  3.489% | 
 | 99   | Lycanroc           |  0.04550% | 32     |  0.469% | 20     |  0.390% | 
 | 100  | Salamence          |  0.04457% | 98     |  1.437% | 76     |  1.481% | 
 | 101  | Ursaring           |  0.04455% | 29     |  0.425% | 23     |  0.448% | 
 | 102  | Lokix              |  0.03933% | 158    |  2.317% | 124    |  2.417% | 
 | 103  | Espeon             |  0.03657% | 86     |  1.261% | 59     |  1.150% | 
 | 104  | Wo-Chien           |  0.03066% | 65     |  0.953% | 56     |  1.092% | 
 | 105  | Vespiquen          |  0.03065% | 26     |  0.381% | 24     |  0.468% | 
 | 106  | Indeedee-F         |  0.03007% | 26     |  0.381% | 20     |  0.390% | 
 | 107  | Toedscruel         |  0.02982% | 42     |  0.616% | 34     |  0.663% | 
 | 108  | Stantler           |  0.02982% | 7      |  0.103% | 4      |  0.078% | 
 | 109  | Bronzong           |  0.02927% | 75     |  1.100% | 58     |  1.131% | 
