 Total battles: 108707
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Miraidon           | 42.60443% | 92628  | 42.604% | 67532  | 42.419% | 
 | 2    | Koraidon           | 38.15532% | 82955  | 38.155% | 62003  | 38.946% | 
 | 3    | Flutter Mane       | 34.43477% | 74866  | 34.435% | 52792  | 33.160% | 
 | 4    | Iron Bundle        | 22.26398% | 48405  | 22.264% | 34718  | 21.807% | 
 | 5    | Chien-Pao          | 20.86572% | 45365  | 20.866% | 31052  | 19.505% | 
 | 6    | Palafin            | 18.42246% | 40053  | 18.422% | 33743  | 21.195% | 
 | 7    | Great Tusk         | 18.36680% | 39932  | 18.367% | 29188  | 18.334% | 
 | 8    | Espathra           | 16.70086% | 36310  | 16.701% | 25590  | 16.074% | 
 | 9    | Annihilape         | 16.12224% | 35052  | 16.122% | 25820  | 16.218% | 
 | 10   | Cyclizar           | 16.04772% | 34890  | 16.048% | 27698  | 17.398% | 
 | 11   | Chi-Yu             | 14.37948% | 31263  | 14.379% | 20978  | 13.177% | 
 | 12   | Walking Wake       | 13.66931% | 29719  | 13.669% | 20172  | 12.671% | 
 | 13   | Clodsire           | 12.51851% | 27217  | 12.519% | 21840  | 13.718% | 
 | 14   | Iron Treads        | 12.00107% | 26092  | 12.001% | 20504  | 12.879% | 
 | 15   | Glimmora           | 11.37093% | 24722  | 11.371% | 21948  | 13.786% | 
 | 16   | Houndstone         | 11.21133% | 24375  | 11.211% | 14378  |  9.031% | 
 | 17   | Gholdengo          | 10.49334% | 22814  | 10.493% | 16008  | 10.055% | 
 | 18   | Grimmsnarl         | 10.06283% | 21878  | 10.063% | 19387  | 12.178% | 
 | 19   | Corviknight        |  9.57482% | 20817  |  9.575% | 15989  | 10.043% | 
 | 20   | Kingambit          |  8.52889% | 18543  |  8.529% | 12471  |  7.833% | 
 | 21   | Ting-Lu            |  7.91025% | 17198  |  7.910% | 13925  |  8.747% | 
 | 22   | Iron Valiant       |  7.51516% | 16339  |  7.515% | 11240  |  7.060% | 
 | 23   | Skeledirge         |  7.28012% | 15828  |  7.280% | 11670  |  7.330% | 
 | 24   | Garganacl          |  6.43197% | 13984  |  6.432% | 10360  |  6.507% | 
 | 25   | Dragonite          |  6.24063% | 13568  |  6.241% | 9308   |  5.847% | 
 | 26   | Dragapult          |  6.10080% | 13264  |  6.101% | 9704   |  6.095% | 
 | 27   | Meowscarada        |  6.06769% | 13192  |  6.068% | 9776   |  6.141% | 
 | 28   | Zoroark-Hisui      |  5.95546% | 12948  |  5.955% | 5272   |  3.312% | 
 | 29   | Ceruledge          |  5.75446% | 12511  |  5.754% | 9287   |  5.833% | 
 | 30   | Roaring Moon       |  5.26783% | 11453  |  5.268% | 7360   |  4.623% | 
 | 31   | Garchomp           |  4.99370% | 10857  |  4.994% | 8686   |  5.456% | 
