 Total battles: 865851
 Avg. weight/team: 0.545
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flutter Mane       | 54.59837% | 885469 | 51.133% | 455273 | 56.413% | 
 | 2    | Chi-Yu             | 31.04582% | 516399 | 29.820% | 239918 | 29.728% | 
 | 3    | Chien-Pao          | 30.27642% | 509151 | 29.402% | 244308 | 30.272% | 
 | 4    | Ting-Lu            | 28.86298% | 476972 | 27.544% | 211125 | 26.161% | 
 | 5    | Amoonguss          | 28.82157% | 474036 | 27.374% | 188076 | 23.305% | 
 | 6    | Dragonite          | 26.35581% | 430702 | 24.872% | 197658 | 24.492% | 
 | 7    | Arcanine           | 24.88328% | 417143 | 24.089% | 201226 | 24.934% | 
 | 8    | Palafin            | 21.67255% | 365424 | 21.102% | 200279 | 24.817% | 
 | 9    | Iron Bundle        | 21.64223% | 368094 | 21.256% | 170786 | 21.162% | 
 | 10   | Iron Hands         | 21.28045% | 371385 | 21.446% | 205214 | 25.428% | 
 | 11   | Wo-Chien           | 20.93929% | 367155 | 21.202% | 179754 | 22.273% | 
 | 12   | Maushold           | 15.33985% | 257086 | 14.846% | 106800 | 13.234% | 
 | 13   | Glimmora           | 15.24700% | 248000 | 14.321% | 105724 | 13.100% | 
 | 14   | Annihilape         | 15.22045% | 255507 | 14.755% | 128395 | 15.909% | 
 | 15   | Great Tusk         | 13.16928% | 219569 | 12.679% | 113776 | 14.098% | 
 | 16   | Gholdengo          | 12.10894% | 206907 | 11.948% | 91360  | 11.320% | 
 | 17   | Talonflame         | 11.23275% | 192636 | 11.124% | 56098  |  6.951% | 
 | 18   | Dondozo            |  8.20131% | 124379 |  7.182% | 66506  |  8.241% | 
 | 19   | Torkoal            |  7.98333% | 145241 |  8.387% | 75482  |  9.353% | 
 | 20   | Tatsugiri          |  7.68656% | 117655 |  6.794% | 66253  |  8.209% | 
 | 21   | Indeedee-F         |  6.91519% | 124557 |  7.193% | 52485  |  6.503% | 
 | 22   | Gyarados           |  6.73577% | 102938 |  5.944% | 52239  |  6.473% | 
 | 23   | Tyranitar          |  6.64784% | 117251 |  6.771% | 56729  |  7.029% | 
 | 24   | Baxcalibur         |  6.57499% | 110037 |  6.354% | 56277  |  6.973% | 
 | 25   | Gothitelle         |  6.49049% | 120473 |  6.957% | 53279  |  6.602% | 
 | 26   | Garganacl          |  5.99594% | 113899 |  6.577% | 58426  |  7.240% | 
 | 27   | Roaring Moon       |  5.84124% | 103212 |  5.960% | 41800  |  5.179% | 
 | 28   | Scizor             |  5.32430% | 93951  |  5.425% | 44422  |  5.504% | 
 | 29   | Kingambit          |  5.19337% | 94091  |  5.433% | 38584  |  4.781% | 
 | 30   | Grimmsnarl         |  4.96999% | 95320  |  5.504% | 39119  |  4.847% | 
 | 31   | Pelipper           |  4.76388% | 88880  |  5.133% | 40678  |  5.040% | 
 | 32   | Volcarona          |  4.34597% | 78872  |  4.555% | 33322  |  4.129% | 
 | 33   | Murkrow            |  4.31984% | 76752  |  4.432% | 23134  |  2.867% | 
 | 34   | Ceruledge          |  4.25599% | 79309  |  4.580% | 40583  |  5.029% | 
 | 35   | Armarouge          |  4.16124% | 79492  |  4.590% | 35550  |  4.405% | 
 | 36   | Azumarill          |  4.10274% | 69252  |  3.999% | 38025  |  4.712% | 
 | 37   | Corviknight        |  3.96683% | 71137  |  4.108% | 29910  |  3.706% | 
 | 38   | Garchomp           |  3.83177% | 66517  |  3.841% | 33886  |  4.199% | 
 | 39   | Scream Tail        |  3.69994% | 69257  |  3.999% | 31075  |  3.851% | 
