 Total battles: 807139
 Avg. weight/team: 0.503
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flutter Mane       | 43.97024% | 670038 | 41.507% | 347732 | 47.213% | 
 | 2    | Iron Bundle        | 31.12484% | 477869 | 29.603% | 227827 | 30.933% | 
 | 3    | Iron Hands         | 27.40006% | 423127 | 26.212% | 228172 | 30.980% | 
 | 4    | Amoonguss          | 26.40645% | 422997 | 26.203% | 161022 | 21.862% | 
 | 5    | Great Tusk         | 23.82729% | 358174 | 22.188% | 189138 | 25.680% | 
 | 6    | Arcanine           | 22.47856% | 355436 | 22.018% | 161085 | 21.871% | 
 | 7    | Gholdengo          | 18.83225% | 298255 | 18.476% | 138582 | 18.816% | 
 | 8    | Dragonite          | 16.97910% | 260431 | 16.133% | 98498  | 13.373% | 
 | 9    | Palafin            | 15.66615% | 248468 | 15.392% | 136354 | 18.513% | 
 | 10   | Kingambit          | 15.31847% | 236855 | 14.673% | 99165  | 13.464% | 
 | 11   | Maushold           | 14.98326% | 237508 | 14.713% | 98375  | 13.357% | 
 | 12   | Torkoal            | 14.75461% | 232883 | 14.426% | 122630 | 16.650% | 
 | 13   | Indeedee-F         | 14.44862% | 227936 | 14.120% | 100769 | 13.682% | 
 | 14   | Roaring Moon       | 14.33046% | 220259 | 13.644% | 90303  | 12.261% | 
 | 15   | Armarouge          | 14.30715% | 226915 | 14.057% | 110167 | 14.958% | 
 | 16   | Talonflame         | 13.65107% | 213712 | 13.239% | 59908  |  8.134% | 
 | 17   | Annihilape         | 13.47288% | 218800 | 13.554% | 102422 | 13.906% | 
 | 18   | Tyranitar          | 10.57662% | 160792 |  9.961% | 77230  | 10.486% | 
 | 19   | Dondozo            |  8.95368% | 134552 |  8.335% | 74230  | 10.078% | 
 | 20   | Tatsugiri          |  8.84208% | 132814 |  8.227% | 76940  | 10.446% | 
 | 21   | Baxcalibur         |  8.83664% | 138990 |  8.610% | 65494  |  8.892% | 
 | 22   | Garganacl          |  7.94598% | 129564 |  8.026% | 61800  |  8.391% | 
 | 23   | Brute Bonnet       |  7.87909% | 123365 |  7.642% | 50831  |  6.901% | 
 | 24   | Gothitelle         |  7.74187% | 122556 |  7.592% | 48849  |  6.632% | 
 | 25   | Grimmsnarl         |  7.55339% | 127556 |  7.902% | 50722  |  6.887% | 
 | 26   | Ceruledge          |  7.23894% | 117243 |  7.263% | 60073  |  8.156% | 
 | 27   | Garchomp           |  6.67652% | 113691 |  7.043% | 57536  |  7.812% | 
 | 28   | Pelipper           |  6.22850% | 103963 |  6.440% | 50180  |  6.813% | 
 | 29   | Meowscarada        |  5.88093% | 108061 |  6.694% | 47747  |  6.483% | 
 | 30   | Glimmora           |  5.86009% | 88981  |  5.512% | 38151  |  5.180% | 
 | 31   | Murkrow            |  5.76320% | 99049  |  6.136% | 32146  |  4.365% | 
 | 32   | Volcarona          |  5.46380% | 89036  |  5.516% | 38151  |  5.180% | 
 | 33   | Gastrodon          |  5.25489% | 86315  |  5.347% | 40250  |  5.465% | 
 | 34   | Iron Moth          |  4.84445% | 77133  |  4.778% | 35005  |  4.753% | 
 | 35   | Sylveon            |  4.79524% | 78880  |  4.886% | 38308  |  5.201% | 
 | 36   | Iron Jugulis       |  4.50238% | 68792  |  4.261% | 23053  |  3.130% | 
 | 37   | Hydreigon          |  4.38920% | 77722  |  4.815% | 33615  |  4.564% | 
 | 38   | Scream Tail        |  4.03943% | 68325  |  4.233% | 31045  |  4.215% | 
 | 39   | Hatterene          |  4.03589% | 63219  |  3.916% | 27672  |  3.757% | 
 | 40   | Lilligant          |  3.91214% | 60547  |  3.751% | 21415  |  2.908% | 
 | 41   | Sandy Shocks       |  3.68575% | 58187  |  3.605% | 30818  |  4.184% | 
 | 42   | Sableye            |  3.54801% | 59767  |  3.702% | 24515  |  3.328% | 
 | 43   | Corviknight        |  3.54544% | 57189  |  3.543% | 23472  |  3.187% | 
 | 44   | Scizor             |  3.22432% | 54734  |  3.391% | 24242  |  3.291% | 
 | 45   | Farigiraf          |  3.08630% | 51116  |  3.166% | 16630  |  2.258% | 
 | 46   | Mimikyu            |  2.93071% | 47934  |  2.969% | 20559  |  2.791% | 
 | 47   | Rotom-Wash         |  2.88695% | 48020  |  2.975% | 23526  |  3.194% | 
 | 48   | Abomasnow          |  2.77284% | 46139  |  2.858% | 21813  |  2.962% | 
 | 49   | Dragapult          |  2.74531% | 49247  |  3.051% | 22578  |  3.065% | 
 | 50   | Skeledirge         |  2.42904% | 43877  |  2.718% | 20370  |  2.766% | 
 | 51   | Iron Valiant       |  2.10526% | 37850  |  2.345% | 17577  |  2.386% | 
 | 52   | Gyarados           |  1.94845% | 33140  |  2.053% | 16127  |  2.190% | 
 | 53   | Lycanroc           |  1.90482% | 28018  |  1.736% | 12317  |  1.672% | 
 | 54   | Kilowattrel        |  1.74819% | 32820  |  2.033% | 13251  |  1.799% | 
 | 55   | Tinkaton           |  1.74315% | 31080  |  1.925% | 12989  |  1.764% | 
 | 56   | Azumarill          |  1.71763% | 29565  |  1.831% | 14776  |  2.006% | 
 | 57   | Flamigo            |  1.68799% | 31464  |  1.949% | 17859  |  2.425% | 
 | 58   | Oranguru           |  1.65628% | 30034  |  1.861% | 12780  |  1.735% | 
 | 59   | Arboliva           |  1.64930% | 30482  |  1.888% | 13217  |  1.795% | 
 | 60   | Bellibolt          |  1.49694% | 25313  |  1.568% | 11357  |  1.542% | 
 | 61   | Espathra           |  1.46889% | 26493  |  1.641% | 11794  |  1.601% | 
 | 62   | Tauros-Paldea-Aqua |  1.46333% | 24919  |  1.544% | 11876  |  1.612% | 
 | 63   | Pawmot             |  1.45548% | 24766  |  1.534% | 10512  |  1.427% | 
 | 64   | Iron Treads        |  1.36224% | 23384  |  1.449% | 11030  |  1.498% | 
 | 65   | Klefki             |  1.28636% | 21426  |  1.327% | 7537   |  1.023% | 
 | 66   | Umbreon            |  1.22869% | 20967  |  1.299% | 6877   |  0.934% | 
 | 67   | Houndstone         |  1.22330% | 20268  |  1.256% | 10355  |  1.406% | 
 | 68   | Breloom            |  1.21804% | 23275  |  1.442% | 10351  |  1.405% | 
 | 69   | Gardevoir          |  1.20598% | 21584  |  1.337% | 7936   |  1.077% | 
 | 70   | Salamence          |  1.14796% | 19823  |  1.228% | 8865   |  1.204% | 
 | 71   | Gallade            |  1.12072% | 19453  |  1.205% | 9775   |  1.327% | 
 | 72   | Tauros-Paldea-Blaze |  1.02142% | 17945  |  1.112% | 8476   |  1.151% | 
 | 73   | Orthworm           |  1.01542% | 18082  |  1.120% | 9271   |  1.259% | 
 | 74   | Gengar             |  0.97120% | 18020  |  1.116% | 7409   |  1.006% | 
 | 75   | Quaquaval          |  0.94804% | 18967  |  1.175% | 9392   |  1.275% | 
 | 76   | Cetitan            |  0.94445% | 17516  |  1.085% | 7547   |  1.025% | 
 | 77   | Hariyama           |  0.92460% | 15637  |  0.969% | 7809   |  1.060% | 
 | 78   | Pincurchin         |  0.90986% | 17417  |  1.079% | 7040   |  0.956% | 
 | 79   | Raichu             |  0.90633% | 16882  |  1.046% | 7234   |  0.982% | 
 | 80   | Slither Wing       |  0.88862% | 15773  |  0.977% | 7450   |  1.012% | 
 | 81   | Grafaiai           |  0.87635% | 17898  |  1.109% | 7184   |  0.975% | 
 | 82   | Rotom-Heat         |  0.87175% | 14355  |  0.889% | 7175   |  0.974% | 
 | 83   | Iron Thorns        |  0.79583% | 13879  |  0.860% | 6880   |  0.934% | 
 | 84   | Clodsire           |  0.79210% | 15768  |  0.977% | 6145   |  0.834% | 
 | 85   | Drifblim           |  0.76945% | 13129  |  0.813% | 5973   |  0.811% | 
 | 86   | Magnezone          |  0.73446% | 12149  |  0.753% | 5621   |  0.763% | 
 | 87   | Stonjourner        |  0.67700% | 10595  |  0.656% | 4516   |  0.613% | 
 | 88   | Tsareena           |  0.65088% | 11501  |  0.712% | 4453   |  0.605% | 
 | 89   | Vivillon           |  0.64653% | 10464  |  0.648% | 3860   |  0.524% | 
 | 90   | Bronzong           |  0.63838% | 11822  |  0.732% | 3914   |  0.531% | 
 | 91   | Mudsdale           |  0.62569% | 10954  |  0.679% | 5176   |  0.703% | 
 | 92   | Brambleghast       |  0.60718% | 10853  |  0.672% | 5227   |  0.710% | 
 | 93   | Vaporeon           |  0.60250% | 10975  |  0.680% | 4661   |  0.633% | 
 | 94   | Scovillain         |  0.58452% | 11724  |  0.726% | 5062   |  0.687% | 
 | 95   | Jumpluff           |  0.55000% | 9840   |  0.610% | 3867   |  0.525% | 
 | 96   | Lucario            |  0.54916% | 11105  |  0.688% | 4521   |  0.614% | 
 | 97   | Toxtricity         |  0.54104% | 10218  |  0.633% | 5109   |  0.694% | 
 | 98   | Coalossal          |  0.51686% | 9782   |  0.606% | 4498   |  0.611% | 
 | 99   | Goodra             |  0.50734% | 10008  |  0.620% | 4629   |  0.628% | 
 | 100  | Toxapex            |  0.50714% | 10119  |  0.627% | 4255   |  0.578% | 
 | 101  | Toedscruel         |  0.50178% | 9956   |  0.617% | 3879   |  0.527% | 
 | 102  | Zoroark            |  0.49072% | 8817   |  0.546% | 3382   |  0.459% | 
 | 103  | Krookodile         |  0.48697% | 9623   |  0.596% | 4488   |  0.609% | 
 | 104  | Slowking           |  0.47801% | 9419   |  0.583% | 3952   |  0.537% | 
 | 105  | Rabsca             |  0.47779% | 8834   |  0.547% | 3767   |  0.511% | 
 | 106  | Misdreavus         |  0.46901% | 7949   |  0.492% | 2524   |  0.343% | 
 | 107  | Staraptor          |  0.46732% | 7819   |  0.484% | 3767   |  0.511% | 
 | 108  | Dudunsparce        |  0.46451% | 8888   |  0.551% | 3632   |  0.493% | 
 | 109  | Florges            |  0.45439% | 8692   |  0.538% | 3982   |  0.541% | 
 | 110  | Braviary           |  0.45053% | 7859   |  0.487% | 2972   |  0.404% | 
 | 111  | Drednaw            |  0.43254% | 7775   |  0.482% | 4119   |  0.559% | 
 | 112  | Hawlucha           |  0.41961% | 7647   |  0.474% | 4093   |  0.556% | 
 | 113  | Barraskewda        |  0.41504% | 8195   |  0.508% | 3816   |  0.518% | 
 | 114  | Slaking            |  0.41240% | 9264   |  0.574% | 4195   |  0.570% | 
 | 115  | Dachsbun           |  0.39734% | 7377   |  0.457% | 3534   |  0.480% | 
 | 116  | Cyclizar           |  0.39149% | 7980   |  0.494% | 3845   |  0.522% | 
 | 117  | Medicham           |  0.37923% | 7217   |  0.447% | 3313   |  0.450% | 
 | 118  | Indeedee           |  0.35888% | 6598   |  0.409% | 2951   |  0.401% | 
 | 119  | Rotom-Mow          |  0.35672% | 5765   |  0.357% | 2277   |  0.309% | 
 | 120  | Spiritomb          |  0.35343% | 6366   |  0.394% | 1985   |  0.270% | 
 | 121  | Floatzel           |  0.34474% | 6473   |  0.401% | 3363   |  0.457% | 
 | 122  | Clawitzer          |  0.34381% | 6864   |  0.425% | 3522   |  0.478% | 
 | 123  | Pachirisu          |  0.33593% | 6975   |  0.432% | 2798   |  0.380% | 
 | 124  | Hippowdon          |  0.32984% | 5840   |  0.362% | 2981   |  0.405% | 
 | 125  | Jolteon            |  0.32697% | 6491   |  0.402% | 3185   |  0.432% | 
 | 126  | Salazzle           |  0.32479% | 6295   |  0.390% | 2735   |  0.371% | 
 | 127  | Bisharp            |  0.31748% | 5952   |  0.369% | 2435   |  0.331% | 
 | 128  | Grumpig            |  0.31700% | 5555   |  0.344% | 1672   |  0.227% | 
 | 129  | Glaceon            |  0.31378% | 6133   |  0.380% | 3093   |  0.420% | 
 | 130  | Eelektross         |  0.31140% | 6091   |  0.377% | 3019   |  0.410% | 
 | 131  | Noivern            |  0.30212% | 6173   |  0.382% | 2377   |  0.323% | 
 | 132  | Luxray             |  0.29575% | 5576   |  0.345% | 2591   |  0.352% | 
 | 133  | Frosmoth           |  0.29560% | 5544   |  0.343% | 2195   |  0.298% | 
 | 134  | Ditto              |  0.29092% | 6002   |  0.372% | 2410   |  0.327% | 
 | 135  | Altaria            |  0.27343% | 5826   |  0.361% | 1897   |  0.258% | 
 | 136  | Slowbro            |  0.27319% | 5340   |  0.331% | 1981   |  0.269% | 
 | 137  | Dragalge           |  0.27110% | 5392   |  0.334% | 2255   |  0.306% | 
 | 138  | Revavroom          |  0.26985% | 5146   |  0.319% | 2196   |  0.298% | 
 | 139  | Oricorio-Pom-Pom   |  0.26879% | 5750   |  0.356% | 2754   |  0.374% | 
 | 140  | Bombirdier         |  0.26446% | 4918   |  0.305% | 2128   |  0.289% | 
 | 141  | Espeon             |  0.25376% | 5279   |  0.327% | 1839   |  0.250% | 
 | 142  | Appletun           |  0.25294% | 5031   |  0.312% | 2080   |  0.282% | 
 | 143  | Haxorus            |  0.25015% | 5223   |  0.324% | 2389   |  0.324% | 
 | 144  | Weavile            |  0.24134% | 4639   |  0.287% | 1665   |  0.226% | 
 | 145  | Beartic            |  0.23774% | 4565   |  0.283% | 2369   |  0.322% | 
 | 146  | Electrode          |  0.23191% | 4405   |  0.273% | 1493   |  0.203% | 
 | 147  | Froslass           |  0.22483% | 4851   |  0.301% | 2163   |  0.294% | 
 | 148  | Houndoom           |  0.22390% | 4175   |  0.259% | 1629   |  0.221% | 
 | 149  | Masquerain         |  0.22304% | 4606   |  0.285% | 1808   |  0.245% | 
 | 150  | Oricorio-Sensu     |  0.21262% | 4492   |  0.278% | 2013   |  0.273% | 
 | 151  | Lurantis           |  0.21240% | 4201   |  0.260% | 2147   |  0.292% | 
 | 152  | Ursaring           |  0.20805% | 4001   |  0.248% | 2302   |  0.313% | 
 | 153  | Cloyster           |  0.19517% | 3917   |  0.243% | 1852   |  0.251% | 
 | 154  | Camerupt           |  0.18759% | 3617   |  0.224% | 1843   |  0.250% | 
 | 155  | Leafeon            |  0.18733% | 3573   |  0.221% | 1572   |  0.213% | 
 | 156  | Lumineon           |  0.18216% | 3187   |  0.197% | 1165   |  0.158% | 
 | 157  | Heracross          |  0.18103% | 3658   |  0.227% | 1686   |  0.229% | 
 | 158  | Toxicroak          |  0.17687% | 3512   |  0.218% | 1767   |  0.240% | 
 | 159  | Bruxish            |  0.17068% | 3364   |  0.208% | 1441   |  0.196% | 
 | 160  | Avalugg            |  0.17050% | 3281   |  0.203% | 1413   |  0.192% | 
 | 161  | Lokix              |  0.16641% | 3434   |  0.213% | 1572   |  0.213% | 
 | 162  | Pikachu            |  0.16620% | 2943   |  0.182% | 1216   |  0.165% | 
 | 163  | Ampharos           |  0.16270% | 3439   |  0.213% | 1397   |  0.190% | 
 | 164  | Blissey            |  0.15771% | 3416   |  0.212% | 1191   |  0.162% | 
 | 165  | Palossand          |  0.15538% | 3251   |  0.201% | 1599   |  0.217% | 
 | 166  | Tropius            |  0.15389% | 3113   |  0.193% | 1207   |  0.164% | 
 | 167  | Lycanroc-Dusk      |  0.15216% | 2989   |  0.185% | 1427   |  0.194% | 
 | 168  | Greedent           |  0.15183% | 2885   |  0.179% | 1474   |  0.200% | 
 | 169  | Scyther            |  0.15111% | 2935   |  0.182% | 1176   |  0.160% | 
 | 170  | Gothorita          |  0.13765% | 2300   |  0.142% | 822    |  0.112% | 
 | 171  | Polteageist        |  0.13408% | 2688   |  0.167% | 1208   |  0.164% | 
 | 172  | Mabosstiff         |  0.13185% | 2646   |  0.164% | 1116   |  0.152% | 
 | 173  | Mismagius          |  0.12926% | 2614   |  0.162% | 1129   |  0.153% | 
 | 174  | Honchkrow          |  0.12803% | 2391   |  0.148% | 1038   |  0.141% | 
 | 175  | Muk                |  0.12431% | 2494   |  0.154% | 1042   |  0.141% | 
 | 176  | Forretress         |  0.12049% | 2756   |  0.171% | 962    |  0.131% | 
 | 177  | Crabominable       |  0.11810% | 2503   |  0.155% | 1209   |  0.164% | 
 | 178  | Rotom-Frost        |  0.11786% | 2271   |  0.141% | 1079   |  0.146% | 
 | 179  | Klawf              |  0.11426% | 2081   |  0.129% | 878    |  0.119% | 
 | 180  | Cryogonal          |  0.11220% | 2204   |  0.137% | 858    |  0.116% | 
 | 181  | Copperajah         |  0.11026% | 2188   |  0.136% | 1025   |  0.139% | 
 | 182  | Flapple            |  0.10846% | 2371   |  0.147% | 1273   |  0.173% | 
 | 183  | Gogoat             |  0.10710% | 2203   |  0.136% | 945    |  0.128% | 
 | 184  | Golduck            |  0.10591% | 2247   |  0.139% | 880    |  0.119% | 
 | 185  | Stantler           |  0.10559% | 2032   |  0.126% | 733    |  0.100% | 
 | 186  | Primeape           |  0.10486% | 2062   |  0.128% | 920    |  0.125% | 
 | 187  | Flareon            |  0.10130% | 2163   |  0.134% | 977    |  0.133% | 
 | 188  | Dugtrio            |  0.10073% | 2068   |  0.128% | 918    |  0.125% | 
 | 189  | Squawkabilly       |  0.10019% | 1954   |  0.121% | 983    |  0.133% | 
 | 190  | Chansey            |  0.10005% | 2034   |  0.126% | 788    |  0.107% | 
 | 191  | Donphan            |  0.09661% | 1890   |  0.117% | 694    |  0.094% | 
 | 192  | Cacturne           |  0.09420% | 1893   |  0.117% | 771    |  0.105% | 
 | 193  | Slowpoke           |  0.09365% | 1596   |  0.099% | 548    |  0.074% | 
 | 194  | Eiscue             |  0.09286% | 1869   |  0.116% | 755    |  0.103% | 
 | 195  | Wigglytuff         |  0.08318% | 1675   |  0.104% | 592    |  0.080% | 
 | 196  | Veluza             |  0.07689% | 1573   |  0.097% | 706    |  0.096% | 
 | 197  | Sunflora           |  0.07446% | 1448   |  0.090% | 672    |  0.091% | 
 | 198  | Sandaconda         |  0.07403% | 1437   |  0.089% | 584    |  0.079% | 
 | 199  | Banette            |  0.07205% | 1502   |  0.093% | 561    |  0.076% | 
 | 200  | Lycanroc-Midnight  |  0.07204% | 1628   |  0.101% | 860    |  0.117% | 
 | 201  | Falinks            |  0.07201% | 1675   |  0.104% | 630    |  0.086% | 
 | 202  | Magneton           |  0.06737% | 1219   |  0.076% | 496    |  0.067% | 
 | 203  | Glalie             |  0.06450% | 1366   |  0.085% | 643    |  0.087% | 
